#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FME,2017-04-01 00:00,-76.7594,39.0854,46.40,44.60,93.40,290.00,5.00,0.00,29.67,M,4.00,M,BKN,OVC,M,M,700.00,1000.00,M,M,M,KFME 010000Z AUTO 29005KT 4SM BKN007 OVC010 08/07 A2967 RMK AO1
FME,2017-04-01 00:21,-76.7594,39.0854,46.40,44.60,93.40,300.00,3.00,0.00,29.68,M,4.00,M,OVC,M,M,M,700.00,M,M,M,M,KFME 010021Z AUTO 30003KT 4SM OVC007 08/07 A2968 RMK AO1
FME,2017-04-01 00:39,-76.7594,39.0854,46.40,44.60,93.40,320.00,4.00,0.00,29.68,M,4.00,M,BKN,BKN,OVC,M,700.00,3100.00,7500.00,M,M,KFME 010039Z AUTO 32004KT 4SM BKN007 BKN031 OVC075 08/07 A2968 RMK AO1
FME,2017-04-01 01:00,-76.7594,39.0854,44.60,44.60,100.00,280.00,5.00,0.00,29.69,M,5.00,M,SCT,BKN,OVC,M,700.00,8500.00,9000.00,M,M,KFME 010100Z AUTO 28005KT 5SM SCT007 BKN085 OVC090 07/07 A2969 RMK AO1
FME,2017-04-01 01:21,-76.7594,39.0854,44.60,42.80,93.35,310.00,3.00,0.00,29.68,M,5.00,M,BKN,BKN,OVC,M,900.00,6500.00,8000.00,M,M,KFME 010121Z AUTO 31003KT 5SM BKN009 BKN065 OVC080 07/06 A2968 RMK AO1
FME,2017-04-01 01:39,-76.7594,39.0854,44.60,42.80,93.35,310.00,4.00,0.00,29.68,M,5.00,M,SCT,SCT,BKN,M,700.00,6500.00,8000.00,M,M,KFME 010139Z AUTO 31004KT 5SM SCT007 SCT065 BKN080 07/06 A2968 RMK AO1
FME,2017-04-01 02:00,-76.7594,39.0854,44.60,42.80,93.35,0.00,0.00,0.00,29.68,M,7.00,M,SCT,SCT,OVC,M,700.00,6500.00,9500.00,M,M,KFME 010200Z AUTO 00000KT 7SM SCT007 SCT065 OVC095 07/06 A2968 RMK AO1
FME,2017-04-01 02:21,-76.7594,39.0854,44.60,42.80,93.35,0.00,0.00,0.00,29.68,M,4.00,M,BKN,OVC,M,M,700.00,9500.00,M,M,M,KFME 010221Z AUTO 00000KT 4SM BKN007 OVC095 07/06 A2968 RMK AO1
FME,2017-04-01 02:39,-76.7594,39.0854,44.60,42.80,93.35,310.00,3.00,0.00,29.67,M,4.00,M,OVC,M,M,M,700.00,M,M,M,M,KFME 010239Z AUTO 31003KT 4SM OVC007 07/06 A2967 RMK AO1
FME,2017-04-01 03:00,-76.7594,39.0854,44.60,42.80,93.35,0.00,0.00,0.00,29.68,M,4.00,M,OVC,M,M,M,700.00,M,M,M,M,KFME 010300Z AUTO 00000KT 4SM OVC007 07/06 A2968 RMK AO1
FME,2017-04-01 03:21,-76.7594,39.0854,44.60,42.80,93.35,0.00,0.00,0.00,29.68,M,4.00,M,OVC,M,M,M,700.00,M,M,M,M,KFME 010321Z AUTO 00000KT 4SM OVC007 07/06 A2968 RMK AO1
FME,2017-04-01 03:39,-76.7594,39.0854,44.60,42.80,93.35,0.00,0.00,0.00,29.68,M,3.00,M,OVC,M,M,M,900.00,M,M,M,M,KFME 010339Z AUTO 00000KT 3SM OVC009 07/06 A2968 RMK AO1
FME,2017-04-01 04:00,-76.7594,39.0854,44.60,42.80,93.35,0.00,0.00,0.00,29.68,M,4.00,M,OVC,M,M,M,900.00,M,M,M,M,KFME 010400Z AUTO 00000KT 4SM OVC009 07/06 A2968 RMK AO1
FME,2017-04-01 04:21,-76.7594,39.0854,44.60,42.80,93.35,0.00,0.00,0.00,29.68,M,2.50,M,OVC,M,M,M,900.00,M,M,M,M,KFME 010421Z AUTO 00000KT 2 1/2SM OVC009 07/06 A2968 RMK AO1
FME,2017-04-01 04:39,-76.7594,39.0854,44.60,42.80,93.35,290.00,3.00,0.00,29.68,M,3.00,M,OVC,M,M,M,900.00,M,M,M,M,KFME 010439Z AUTO 29003KT 3SM OVC009 07/06 A2968 RMK AO1
FME,2017-04-01 05:00,-76.7594,39.0854,42.80,42.80,100.00,290.00,3.00,0.00,29.68,M,3.00,M,OVC,M,M,M,900.00,M,M,M,M,KFME 010500Z AUTO 29003KT 3SM OVC009 06/06 A2968 RMK AO1
FME,2017-04-01 05:21,-76.7594,39.0854,44.60,42.80,93.35,310.00,3.00,0.00,29.69,M,4.00,M,OVC,M,M,M,900.00,M,M,M,M,KFME 010521Z AUTO 31003KT 4SM OVC009 07/06 A2969 RMK AO1
FME,2017-04-01 05:39,-76.7594,39.0854,44.60,42.80,93.35,310.00,3.00,0.00,29.69,M,5.00,M,OVC,M,M,M,900.00,M,M,M,M,KFME 010539Z AUTO 31003KT 5SM OVC009 07/06 A2969 RMK AO1
FME,2017-04-01 06:00,-76.7594,39.0854,44.60,42.80,93.35,300.00,4.00,0.00,29.69,M,5.00,M,OVC,M,M,M,900.00,M,M,M,M,KFME 010600Z AUTO 30004KT 5SM OVC009 07/06 A2969 RMK AO1
