#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FNB,2017-04-01 00:00,-95.5920,40.0788,M,M,M,70.00,5.00,M,30.01,M,10.00,M,BKN,M,M,M,3000.00,M,M,M,M,KFNB 010000Z AUTO 07005KT 10SM BKN030 A3001 RMK MADISHF
FNB,2017-04-01 00:05,-95.5920,40.0788,M,M,M,100.00,5.00,M,30.02,M,10.00,M,SCT,M,M,M,3000.00,M,M,M,M,KFNB 010005Z AUTO 10005KT 10SM SCT030 A3002 RMK MADISHF
FNB,2017-04-01 00:10,-95.5920,40.0788,M,M,M,120.00,4.00,M,30.02,M,10.00,M,SCT,M,M,M,3000.00,M,M,M,M,KFNB 010010Z AUTO 12004KT 10SM SCT030 A3002 RMK MADISHF
FNB,2017-04-01 00:15,-95.5920,40.0788,M,M,M,100.00,4.00,M,30.02,M,10.00,M,FEW,M,M,M,3100.00,M,M,M,M,KFNB 010015Z AUTO 10004KT 10SM FEW031 A3002 RMK MADISHF
FNB,2017-04-01 00:40,-95.5920,40.0788,M,M,M,100.00,3.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFNB 010040Z AUTO 10003KT 10SM CLR A3001 RMK MADISHF
FNB,2017-04-01 00:45,-95.5920,40.0788,M,M,M,100.00,3.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFNB 010045Z AUTO 10003KT 10SM CLR A3001 RMK MADISHF
FNB,2017-04-01 00:50,-95.5920,40.0788,M,M,M,100.00,3.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFNB 010050Z AUTO 10003KT 10SM CLR A3001 RMK MADISHF
FNB,2017-04-01 00:53,-95.5920,40.0788,48.00,42.10,79.91,100.00,3.00,0.00,30.01,1016.50,10.00,M,CLR,M,M,M,M,M,M,M,M,KFNB 010053Z AUTO 10003KT 10SM CLR 09/06 A3001 RMK AO2 SLP165 T00890056
FNB,2017-04-01 00:55,-95.5920,40.0788,M,M,M,0.00,0.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFNB 010055Z AUTO 00000KT 10SM CLR A3001 RMK MADISHF
FNB,2017-04-01 01:00,-95.5920,40.0788,M,M,M,90.00,3.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFNB 010100Z AUTO 09003KT 10SM CLR A3001 RMK MADISHF
