#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FPK,2017-04-01 00:15,-84.8114,42.5745,36.10,34.70,94.59,360.00,6.00,0.00,29.88,M,3.00,M,OVC,M,M,M,900.00,M,M,M,BR,KFPK 010015Z AUTO 36006KT 3SM BR OVC009 02/02 A2988 RMK AO2 T00230015
FPK,2017-04-01 00:36,-84.8114,42.5745,36.00,34.90,95.73,10.00,6.00,0.00,29.89,M,4.00,M,OVC,M,M,M,700.00,M,M,M,BR,KFPK 010036Z AUTO 01006KT 4SM BR OVC007 02/02 A2989 RMK AO2 T00220016
FPK,2017-04-01 00:56,-84.8114,42.5745,36.00,34.90,95.73,10.00,6.00,0.00,29.89,M,5.00,M,BKN,OVC,M,M,700.00,1300.00,M,M,BR,KFPK 010056Z AUTO 01006KT 5SM BR BKN007 OVC013 02/02 A2989 RMK AO2 T00220016
FPK,2017-04-01 01:15,-84.8114,42.5745,36.10,34.20,92.73,360.00,7.00,0.00,29.91,M,10.00,M,BKN,OVC,M,M,1000.00,1900.00,M,M,M,KFPK 010115Z AUTO 36007KT 10SM BKN010 OVC019 02/01 A2991 RMK AO2 T00230012
FPK,2017-04-01 01:36,-84.8114,42.5745,36.10,33.80,91.26,360.00,8.00,0.00,29.91,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KFPK 010136Z AUTO 36008KT 10SM OVC012 02/01 A2991 RMK AO2 T00230010
FPK,2017-04-01 01:56,-84.8114,42.5745,36.00,34.00,92.35,10.00,6.00,0.00,29.93,M,10.00,M,BKN,OVC,M,M,1200.00,2100.00,M,M,M,KFPK 010156Z AUTO 01006KT 10SM BKN012 OVC021 02/01 A2993 RMK AO2 T00220011
FPK,2017-04-01 02:15,-84.8114,42.5745,35.80,33.80,92.35,10.00,4.00,0.00,29.94,M,10.00,M,BKN,OVC,M,M,1200.00,1800.00,M,M,M,KFPK 010215Z AUTO 01004KT 10SM BKN012 OVC018 02/01 A2994 RMK AO2 T00210010
FPK,2017-04-01 02:36,-84.8114,42.5745,35.60,33.80,93.08,10.00,8.00,0.00,29.93,M,7.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFPK 010236Z AUTO 01008KT 7SM OVC010 02/01 A2993 RMK AO2 T00200010
FPK,2017-04-01 02:56,-84.8114,42.5745,35.60,33.80,93.08,10.00,8.00,0.00,29.93,M,10.00,M,BKN,OVC,M,M,800.00,1300.00,M,M,M,KFPK 010256Z AUTO 01008KT 10SM BKN008 OVC013 02/01 A2993 RMK AO2 T00200010
FPK,2017-04-01 03:15,-84.8114,42.5745,35.60,33.60,92.34,10.00,8.00,0.00,29.93,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,KFPK 010315Z AUTO 01008KT 10SM OVC008 02/01 A2993 RMK AO2 T00200009
FPK,2017-04-01 03:36,-84.8114,42.5745,35.40,33.10,91.23,10.00,7.00,0.00,29.95,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFPK 010336Z AUTO 01007KT 10SM OVC010 02/01 A2995 RMK AO2 T00190006
FPK,2017-04-01 03:56,-84.8114,42.5745,35.60,33.30,91.24,10.00,6.00,0.00,29.95,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFPK 010356Z AUTO 01006KT 10SM OVC010 02/01 A2995 RMK AO2 T00200007
FPK,2017-04-01 04:15,-84.8114,42.5745,35.60,33.30,91.24,350.00,7.00,0.00,29.96,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFPK 010415Z AUTO 35007KT 10SM OVC010 02/01 A2996 RMK AO2 T00200007
FPK,2017-04-01 04:36,-84.8114,42.5745,35.60,33.10,90.51,360.00,6.00,0.00,29.96,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFPK 010436Z AUTO 36006KT 10SM OVC010 02/01 A2996 RMK AO2 T00200006
FPK,2017-04-01 04:55,-84.8114,42.5745,35.80,33.40,90.88,350.00,9.00,0.00,29.98,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFPK 010455Z AUTO 35009KT 10SM OVC010 02/01 A2998 RMK AO2 T00210008
FPK,2017-04-01 05:15,-84.8114,42.5745,35.60,33.30,91.24,350.00,6.00,0.00,29.98,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFPK 010515Z AUTO 35006KT 10SM OVC010 02/01 A2998 RMK AO2 T00200007
FPK,2017-04-01 05:36,-84.8114,42.5745,35.60,33.30,91.24,350.00,9.00,0.00,29.99,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFPK 010536Z AUTO 35009KT 10SM OVC010 02/01 A2999 RMK AO2 T00200007
FPK,2017-04-01 05:55,-84.8114,42.5745,35.60,33.30,91.24,350.00,5.00,0.00,29.99,M,10.00,M,BKN,BKN,OVC,M,1000.00,1700.00,4500.00,M,M,KFPK 010555Z AUTO 35005KT 10SM BKN010 BKN017 OVC045 02/01 A2999 RMK AO2 T00200007 10024 20018 400380018
FPK,2017-04-01 06:15,-84.8114,42.5745,35.60,33.10,90.51,340.00,6.00,0.00,29.99,M,10.00,M,BKN,OVC,M,M,1200.00,4500.00,M,M,M,KFPK 010615Z AUTO 34006KT 10SM BKN012 OVC045 02/01 A2999 RMK AO2 T00200006
FPK,2017-04-01 06:36,-84.8114,42.5745,35.80,33.30,90.52,350.00,5.00,0.00,30.00,M,10.00,M,BKN,OVC,M,M,1200.00,4500.00,M,M,M,KFPK 010636Z AUTO 35005KT 10SM BKN012 OVC045 02/01 A3000 RMK AO2 T00210007
FPK,2017-04-01 06:55,-84.8114,42.5745,35.80,33.30,90.52,340.00,5.00,0.00,30.00,M,10.00,M,SCT,BKN,OVC,M,1000.00,1400.00,4500.00,M,M,KFPK 010655Z AUTO 34005KT 10SM SCT010 BKN014 OVC045 02/01 A3000 RMK AO2 T00210007
FPK,2017-04-01 07:15,-84.8114,42.5745,35.60,33.30,91.24,350.00,6.00,0.00,30.00,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KFPK 010715Z AUTO 35006KT 10SM OVC014 02/01 A3000 RMK AO2 T00200007
FPK,2017-04-01 07:36,-84.8114,42.5745,35.60,33.30,91.24,360.00,5.00,0.00,30.01,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KFPK 010736Z AUTO 36005KT 10SM OVC014 02/01 A3001 RMK AO2 T00200007
FPK,2017-04-01 07:55,-84.8114,42.5745,35.80,33.10,89.79,340.00,8.00,0.00,30.03,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KFPK 010755Z AUTO 34008KT 10SM OVC014 02/01 A3003 RMK AO2 T00210006
FPK,2017-04-01 08:16,-84.8114,42.5745,35.80,33.10,89.79,340.00,5.00,0.00,30.03,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KFPK 010816Z AUTO 34005KT 10SM OVC014 02/01 A3003 RMK AO2 T00210006
FPK,2017-04-01 08:36,-84.8114,42.5745,35.80,32.90,89.08,340.00,7.00,0.00,30.05,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KFPK 010836Z AUTO 34007KT 10SM OVC014 02/01 A3005 RMK AO2 T00210005
FPK,2017-04-01 08:55,-84.8114,42.5745,35.60,32.20,87.29,340.00,7.00,0.00,30.04,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KFPK 010855Z AUTO 34007KT 10SM OVC014 02/00 A3004 RMK AO2 T00200001
FPK,2017-04-01 09:16,-84.8114,42.5745,35.60,32.00,86.59,360.00,9.00,0.00,30.05,M,10.00,16.00,OVC,M,M,M,1400.00,M,M,M,M,KFPK 010916Z AUTO 36009G16KT 10SM OVC014 02/00 A3005 RMK AO2 T00200000
FPK,2017-04-01 09:36,-84.8114,42.5745,35.60,32.00,86.59,360.00,6.00,0.00,30.05,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KFPK 010936Z AUTO 36006KT 10SM OVC014 02/00 A3005 RMK AO2 T00200000
FPK,2017-04-01 09:55,-84.8114,42.5745,35.20,32.00,87.98,360.00,4.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KFPK 010955Z AUTO 36004KT 10SM OVC014 02/00 A3006 RMK AO2 T00180000
FPK,2017-04-01 10:16,-84.8114,42.5745,34.70,32.00,89.75,330.00,3.00,0.00,30.07,M,10.00,M,BKN,M,M,M,1400.00,M,M,M,M,KFPK 011016Z AUTO 33003KT 10SM BKN014 02/00 A3007 RMK AO2 T00150000
FPK,2017-04-01 10:36,-84.8114,42.5745,33.80,32.00,93.03,0.00,0.00,0.00,30.08,M,10.00,M,SCT,M,M,M,1400.00,M,M,M,M,KFPK 011036Z AUTO 00000KT 10SM SCT014 01/00 A3008 RMK AO2 T00100000
FPK,2017-04-01 10:55,-84.8114,42.5745,33.30,31.80,94.15,0.00,0.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFPK 011055Z AUTO 00000KT 10SM CLR 01/00 A3010 RMK AO2 T00071001
FPK,2017-04-01 11:16,-84.8114,42.5745,33.30,32.00,94.91,0.00,0.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFPK 011116Z AUTO 00000KT 10SM CLR 01/00 A3011 RMK AO2 T00070000
FPK,2017-04-01 11:36,-84.8114,42.5745,32.70,31.60,95.67,0.00,0.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFPK 011136Z AUTO 00000KT 10SM CLR 00/00 A3011 RMK AO2 T00041002
FPK,2017-04-01 11:55,-84.8114,42.5745,33.60,32.00,93.78,0.00,0.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFPK 011155Z AUTO 00000KT 10SM CLR 01/00 A3011 RMK AO2 70001 T00090000 10021 20003
