#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FSM,2017-04-01 00:00,-94.3674,35.3366,M,M,M,50.00,6.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010000Z AUTO 05006KT 10SM CLR A2983 RMK MADISHF
FSM,2017-04-01 00:05,-94.3674,35.3366,M,M,M,70.00,5.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010005Z AUTO 07005KT 10SM CLR A2983 RMK MADISHF
FSM,2017-04-01 00:10,-94.3674,35.3366,M,M,M,90.00,5.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010010Z AUTO 09005KT 10SM CLR A2983 RMK MADISHF
FSM,2017-04-01 00:15,-94.3674,35.3366,M,M,M,80.00,5.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010015Z AUTO 08005KT 10SM CLR A2983 RMK MADISHF
FSM,2017-04-01 00:20,-94.3674,35.3366,M,M,M,80.00,5.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010020Z AUTO 08005KT 10SM CLR A2983 RMK MADISHF
FSM,2017-04-01 00:25,-94.3674,35.3366,M,M,M,70.00,6.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010025Z AUTO 07006KT 10SM CLR A2983 RMK MADISHF
FSM,2017-04-01 00:30,-94.3674,35.3366,M,M,M,60.00,6.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010030Z AUTO 06006KT 10SM CLR A2983 RMK MADISHF
FSM,2017-04-01 00:35,-94.3674,35.3366,M,M,M,60.00,6.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010035Z AUTO 06006KT 10SM CLR A2983 RMK MADISHF
FSM,2017-04-01 00:40,-94.3674,35.3366,M,M,M,60.00,5.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010040Z AUTO 06005KT 10SM CLR A2983 RMK MADISHF
FSM,2017-04-01 00:45,-94.3674,35.3366,M,M,M,70.00,5.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010045Z AUTO 07005KT 10SM CLR A2984 RMK MADISHF
FSM,2017-04-01 00:50,-94.3674,35.3366,M,M,M,70.00,6.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010050Z AUTO 07006KT 10SM CLR A2984 RMK MADISHF
FSM,2017-04-01 00:53,-94.3674,35.3366,66.00,46.90,50.10,70.00,5.00,0.00,29.84,1010.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010053Z 07005KT 10SM CLR 19/08 A2984 RMK AO2 SLP102 T01890083
FSM,2017-04-01 00:55,-94.3674,35.3366,M,M,M,70.00,5.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010055Z AUTO 07005KT 10SM CLR A2984 RMK MADISHF
FSM,2017-04-01 01:00,-94.3674,35.3366,M,M,M,70.00,5.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010100Z AUTO 07005KT 10SM CLR A2984 RMK MADISHF
FSM,2017-04-01 01:05,-94.3674,35.3366,M,M,M,60.00,5.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010105Z AUTO 06005KT 10SM CLR A2984 RMK MADISHF
FSM,2017-04-01 01:10,-94.3674,35.3366,M,M,M,70.00,5.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010110Z AUTO 07005KT 10SM CLR A2985 RMK MADISHF
FSM,2017-04-01 01:15,-94.3674,35.3366,M,M,M,60.00,5.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010115Z AUTO 06005KT 10SM CLR A2985 RMK MADISHF
FSM,2017-04-01 01:20,-94.3674,35.3366,M,M,M,60.00,5.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010120Z AUTO 06005KT 10SM CLR A2985 RMK MADISHF
FSM,2017-04-01 01:25,-94.3674,35.3366,M,M,M,70.00,4.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010125Z AUTO 07004KT 10SM CLR A2985 RMK MADISHF
FSM,2017-04-01 01:30,-94.3674,35.3366,M,M,M,70.00,4.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010130Z AUTO 07004KT 10SM CLR A2985 RMK MADISHF
FSM,2017-04-01 01:35,-94.3674,35.3366,M,M,M,60.00,4.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010135Z AUTO 06004KT 10SM CLR A2986 RMK MADISHF
FSM,2017-04-01 01:40,-94.3674,35.3366,M,M,M,60.00,4.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010140Z AUTO 06004KT 10SM CLR A2986 RMK MADISHF
FSM,2017-04-01 01:45,-94.3674,35.3366,M,M,M,50.00,3.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010145Z AUTO 05003KT 10SM CLR A2986 RMK MADISHF
FSM,2017-04-01 01:50,-94.3674,35.3366,M,M,M,50.00,3.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010150Z AUTO 05003KT 10SM CLR A2986 RMK MADISHF
FSM,2017-04-01 01:53,-94.3674,35.3366,64.90,48.90,56.12,0.00,0.00,0.00,29.86,1011.00,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010153Z 00000KT 10SM CLR 18/09 A2986 RMK AO2 SLP110 T01830094
FSM,2017-04-01 01:55,-94.3674,35.3366,M,M,M,0.00,0.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010155Z AUTO 00000KT 10SM CLR A2986 RMK MADISHF
FSM,2017-04-01 02:00,-94.3674,35.3366,M,M,M,60.00,3.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010200Z AUTO 06003KT 10SM CLR A2986 RMK MADISHF
FSM,2017-04-01 02:05,-94.3674,35.3366,M,M,M,60.00,3.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010205Z AUTO 06003KT 10SM CLR A2987 RMK MADISHF
FSM,2017-04-01 02:10,-94.3674,35.3366,M,M,M,60.00,4.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010210Z AUTO 06004KT 10SM CLR A2987 RMK MADISHF
FSM,2017-04-01 02:15,-94.3674,35.3366,M,M,M,60.00,3.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010215Z AUTO 06003KT 10SM CLR A2987 RMK MADISHF
FSM,2017-04-01 02:20,-94.3674,35.3366,M,M,M,0.00,0.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010220Z AUTO 00000KT 10SM CLR A2987 RMK MADISHF
FSM,2017-04-01 02:25,-94.3674,35.3366,M,M,M,0.00,0.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010225Z AUTO 00000KT 10SM CLR A2987 RMK MADISHF
FSM,2017-04-01 02:30,-94.3674,35.3366,M,M,M,0.00,0.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010230Z AUTO 00000KT 10SM CLR A2988 RMK MADISHF
FSM,2017-04-01 02:35,-94.3674,35.3366,M,M,M,0.00,0.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFSM 010235Z AUTO 00000KT 10SM CLR A2988 RMK MADISHF
