#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FTK,2017-04-01 00:03,-85.9721,37.9071,46.40,46.40,100.00,260.00,7.00,0.00,29.91,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KFTK 010003Z AUTO 26007KT 10SM OVC007 08/08 A2991 RMK AO2
FTK,2017-04-01 00:23,-85.9721,37.9071,46.40,44.60,93.40,270.00,11.00,0.00,29.91,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,KFTK 010023Z AUTO 27011KT 10SM OVC008 08/07 A2991 RMK AO2
FTK,2017-04-01 00:49,-85.9721,37.9071,46.40,44.60,93.40,290.00,7.00,0.00,29.92,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFTK 010049Z AUTO 29007KT 10SM OVC010 08/07 A2992 RMK AO2
FTK,2017-04-01 00:58,-85.9721,37.9071,46.60,43.90,90.25,280.00,9.00,0.00,29.92,1013.60,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFTK 010058Z AUTO 28009KT 10SM OVC010 08/07 A2992 RMK AO2 SLP136 T00810066
FTK,2017-04-01 01:26,-85.9721,37.9071,46.40,42.80,87.19,280.00,9.00,0.00,29.94,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KFTK 010126Z AUTO 28009KT 10SM OVC011 08/06 A2994 RMK AO2
FTK,2017-04-01 01:58,-85.9721,37.9071,46.00,42.60,87.84,290.00,7.00,0.00,29.95,1014.60,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KFTK 010158Z AUTO 29007KT 10SM OVC011 08/06 A2995 RMK AO2 SLP146 T00780059
FTK,2017-04-01 02:53,-85.9721,37.9071,46.40,42.80,87.19,280.00,6.00,0.00,29.97,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFTK 010253Z AUTO 28006KT 10SM OVC010 08/06 A2997 RMK AO2
FTK,2017-04-01 02:58,-85.9721,37.9071,45.70,42.40,88.16,270.00,7.00,0.00,29.96,1014.90,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KFTK 010258Z AUTO 27007KT 10SM OVC010 08/06 A2996 RMK AO2 SLP149 T00760058
FTK,2017-04-01 03:25,-85.9721,37.9071,46.40,42.80,87.19,290.00,6.00,0.00,29.98,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KFTK 010325Z AUTO 29006KT 10SM OVC011 08/06 A2998 RMK AO2
FTK,2017-04-01 04:58,-85.9721,37.9071,44.60,40.60,85.75,290.00,10.00,0.00,30.00,1016.30,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KFTK 010458Z AUTO 29010KT 10SM OVC013 07/05 A3000 RMK AO2 SLP163 T00700048 401430070
FTK,2017-04-01 05:58,-85.9721,37.9071,44.20,40.80,87.75,310.00,7.00,0.00,30.01,1016.60,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KFTK 010558Z AUTO 31007KT 10SM OVC011 07/05 A3001 RMK AO2 SLP166 T00680049 10082 20068
FTK,2017-04-01 06:32,-85.9721,37.9071,44.60,41.00,87.09,290.00,8.00,0.00,30.03,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KFTK 010632Z AUTO 29008KT 10SM OVC012 07/05 A3003 RMK AO2 OVC V BKN
FTK,2017-04-01 06:42,-85.9721,37.9071,44.60,41.00,87.09,300.00,9.00,0.00,30.02,M,9.00,M,BKN,OVC,M,M,900.00,1400.00,M,M,M,KFTK 010642Z AUTO 30009KT 9SM R18/5500FT BKN009 OVC014 07/05 A3002 RMK AO2 CIG 009V012
FTK,2017-04-01 06:44,-85.9721,37.9071,42.80,41.00,93.30,300.00,8.00,0.00,30.02,M,8.00,M,BKN,OVC,M,M,900.00,1400.00,M,M,UP,KFTK 010644Z AUTO 30008KT 8SM R18/5500FT UP BKN009 OVC014 06/05 A3002 RMK AO2 UPB44 CIG 009V012
FTK,2017-04-01 06:58,-85.9721,37.9071,42.80,41.00,93.30,300.00,7.00,0.00,30.02,1017.00,9.00,M,BKN,BKN,OVC,M,700.00,1200.00,1700.00,M,M,KFTK 010658Z AUTO 30007KT 9SM R18/5500FT BKN007 BKN012 OVC017 06/05 A3002 RMK AO2 UPB44E55 CIG 006V008 SLP170 P0000
FTK,2017-04-01 07:08,-85.9721,37.9071,42.80,41.00,93.30,300.00,7.00,0.00,30.02,M,10.00,M,SCT,OVC,M,M,700.00,1700.00,M,M,M,KFTK 010708Z AUTO 30007KT 10SM SCT007 OVC017 06/05 A3002 RMK AO2 CIG 007V017
FTK,2017-04-01 07:13,-85.9721,37.9071,42.80,41.00,93.30,300.00,6.00,0.00,30.02,M,10.00,M,SCT,BKN,OVC,M,700.00,1200.00,1700.00,M,M,KFTK 010713Z AUTO 30006KT 10SM SCT007 BKN012 OVC017 06/05 A3002 RMK AO2 CIG 007V017
FTK,2017-04-01 07:18,-85.9721,37.9071,42.80,41.00,93.30,320.00,8.00,0.00,30.03,M,10.00,M,SCT,OVC,M,M,1000.00,1800.00,M,M,M,KFTK 010718Z AUTO 32008KT 10SM SCT010 OVC018 06/05 A3003 RMK AO2 CIG 012V018
FTK,2017-04-01 07:58,-85.9721,37.9071,42.80,39.20,86.99,300.00,6.00,0.00,30.03,1017.40,10.00,M,FEW,OVC,M,M,1200.00,2000.00,M,M,M,KFTK 010758Z AUTO 30006KT 10SM FEW012 OVC020 06/04 A3003 RMK AO2 SLP174
FTK,2017-04-01 08:23,-85.9721,37.9071,42.80,37.40,81.07,290.00,8.00,0.00,30.04,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KFTK 010823Z AUTO 29008KT 10SM OVC018 06/03 A3004 RMK AO2
FTK,2017-04-01 08:58,-85.9721,37.9071,43.20,37.00,78.59,310.00,7.00,0.00,30.05,1018.10,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,KFTK 010858Z AUTO 31007KT 10SM OVC017 06/03 A3005 RMK AO2 SLP181 60000 T00620028 52012
FTK,2017-04-01 09:54,-85.9721,37.9071,42.80,37.40,81.07,300.00,6.00,0.00,30.07,M,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,KFTK 010954Z AUTO 30006KT 10SM OVC017 06/03 A3007 RMK AO2
