#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FTY,2017-04-01 00:00,-84.5200,33.7800,M,M,M,300.00,8.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFTY 010000Z AUTO 30008KT 10SM CLR A2986 RMK MADISHF
FTY,2017-04-01 00:05,-84.5200,33.7800,M,M,M,300.00,6.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFTY 010005Z AUTO 30006KT 10SM CLR A2986 RMK MADISHF
FTY,2017-04-01 00:10,-84.5200,33.7800,M,M,M,300.00,6.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFTY 010010Z AUTO 30006KT 10SM CLR A2986 RMK MADISHF
FTY,2017-04-01 00:15,-84.5200,33.7800,M,M,M,290.00,6.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFTY 010015Z AUTO 29006KT 10SM CLR A2986 RMK MADISHF
FTY,2017-04-01 00:20,-84.5200,33.7800,M,M,M,300.00,8.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFTY 010020Z AUTO 30008KT 10SM CLR A2987 RMK MADISHF
FTY,2017-04-01 00:25,-84.5200,33.7800,M,M,M,300.00,7.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFTY 010025Z AUTO 30007KT 10SM CLR A2987 RMK MADISHF
FTY,2017-04-01 00:30,-84.5200,33.7800,M,M,M,300.00,6.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFTY 010030Z AUTO 30006KT 10SM CLR A2987 RMK MADISHF
FTY,2017-04-01 00:35,-84.5200,33.7800,M,M,M,310.00,4.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFTY 010035Z AUTO 31004KT 10SM CLR A2987 RMK MADISHF
FTY,2017-04-01 00:40,-84.5200,33.7800,M,M,M,320.00,4.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFTY 010040Z AUTO 32004KT 10SM CLR A2987 RMK MADISHF
FTY,2017-04-01 00:45,-84.5200,33.7800,M,M,M,310.00,4.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFTY 010045Z AUTO 31004KT 10SM CLR A2988 RMK MADISHF
