#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FWB,2017-04-01 00:15,-93.4022,36.6985,51.80,44.60,76.34,40.00,7.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010015Z AUTO 04007KT 10SM CLR 11/07 A2995 RMK AO2
FWB,2017-04-01 00:35,-93.4022,36.6985,50.00,44.60,81.61,50.00,7.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010035Z AUTO 05007KT 10SM CLR 10/07 A2995 RMK AO2
FWB,2017-04-01 00:55,-93.4022,36.6985,50.00,44.60,81.61,60.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010055Z AUTO 06005KT 10SM CLR 10/07 A2996 RMK AO2
FWB,2017-04-01 01:15,-93.4022,36.6985,50.00,44.60,81.61,50.00,4.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010115Z AUTO 05004KT 10SM CLR 10/07 A2997 RMK AO2
FWB,2017-04-01 01:35,-93.4022,36.6985,48.20,44.60,87.28,40.00,4.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010135Z AUTO 04004KT 10SM CLR 09/07 A2998 RMK AO2
FWB,2017-04-01 01:55,-93.4022,36.6985,48.20,44.60,87.28,60.00,4.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010155Z AUTO 06004KT 10SM CLR 09/07 A2999 RMK AO2
FWB,2017-04-01 02:15,-93.4022,36.6985,48.20,44.60,87.28,50.00,6.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010215Z AUTO 05006KT 10SM CLR 09/07 A2999 RMK AO2
FWB,2017-04-01 02:35,-93.4022,36.6985,48.20,44.60,87.28,50.00,4.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010235Z AUTO 05004KT 10SM CLR 09/07 A3000 RMK AO2
FWB,2017-04-01 02:55,-93.4022,36.6985,46.40,44.60,93.40,60.00,4.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010255Z AUTO 06004KT 10SM CLR 08/07 A3001 RMK AO2
FWB,2017-04-01 03:15,-93.4022,36.6985,46.40,44.60,93.40,50.00,6.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010315Z AUTO 05006KT 10SM CLR 08/07 A3001 RMK AO2
FWB,2017-04-01 03:35,-93.4022,36.6985,46.40,42.80,87.19,60.00,5.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010335Z AUTO 06005KT 10SM CLR 08/06 A3001 RMK AO2
FWB,2017-04-01 03:55,-93.4022,36.6985,46.40,42.80,87.19,70.00,5.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010355Z AUTO 07005KT 10SM CLR 08/06 A3002 RMK AO2
FWB,2017-04-01 04:15,-93.4022,36.6985,46.40,42.80,87.19,70.00,7.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010415Z AUTO 07007KT 10SM CLR 08/06 A3002 RMK AO2
FWB,2017-04-01 04:35,-93.4022,36.6985,46.40,42.80,87.19,70.00,5.00,0.00,30.03,M,10.00,M,BKN,M,M,M,4300.00,M,M,M,M,KFWB 010435Z AUTO 07005KT 10SM BKN043 08/06 A3003 RMK AO2
FWB,2017-04-01 04:55,-93.4022,36.6985,46.40,41.00,81.34,60.00,6.00,0.00,30.03,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KFWB 010455Z AUTO 06006KT 10SM OVC043 08/05 A3003 RMK AO2
FWB,2017-04-01 05:15,-93.4022,36.6985,44.60,41.00,87.09,90.00,3.00,0.00,30.04,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KFWB 010515Z AUTO 09003KT 10SM OVC043 07/05 A3004 RMK AO2
FWB,2017-04-01 05:35,-93.4022,36.6985,44.60,41.00,87.09,0.00,0.00,0.00,30.05,M,10.00,M,OVC,M,M,M,4700.00,M,M,M,M,KFWB 010535Z AUTO 00000KT 10SM OVC047 07/05 A3005 RMK AO2
FWB,2017-04-01 05:55,-93.4022,36.6985,44.60,41.00,87.09,70.00,3.00,0.00,30.05,M,10.00,M,OVC,M,M,M,4900.00,M,M,M,M,KFWB 010555Z AUTO 07003KT 10SM OVC049 07/05 A3005 RMK AO2
FWB,2017-04-01 06:15,-93.4022,36.6985,44.60,41.00,87.09,60.00,4.00,0.00,30.06,M,10.00,M,BKN,M,M,M,4900.00,M,M,M,M,KFWB 010615Z AUTO 06004KT 10SM BKN049 07/05 A3006 RMK AO2
FWB,2017-04-01 06:35,-93.4022,36.6985,44.60,41.00,87.09,70.00,4.00,0.00,30.06,M,10.00,M,FEW,M,M,M,4600.00,M,M,M,M,KFWB 010635Z AUTO 07004KT 10SM FEW046 07/05 A3006 RMK AO2
FWB,2017-04-01 06:55,-93.4022,36.6985,44.60,41.00,87.09,60.00,5.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010655Z AUTO 06005KT 10SM CLR 07/05 A3006 RMK AO2
FWB,2017-04-01 07:15,-93.4022,36.6985,44.60,41.00,87.09,70.00,5.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010715Z AUTO 07005KT 10SM CLR 07/05 A3006 RMK AO2
FWB,2017-04-01 07:35,-93.4022,36.6985,44.60,41.00,87.09,110.00,5.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010735Z AUTO 11005KT 10SM CLR 07/05 A3007 RMK AO2
FWB,2017-04-01 07:55,-93.4022,36.6985,44.60,41.00,87.09,0.00,0.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFWB 010755Z AUTO 00000KT 10SM CLR 07/05 A3006 RMK AO2
FWB,2017-04-01 08:15,-93.4022,36.6985,42.80,41.00,93.30,80.00,3.00,0.00,30.06,M,10.00,M,FEW,M,M,M,1300.00,M,M,M,M,KFWB 010815Z AUTO 08003KT 10SM FEW013 06/05 A3006 RMK AO2
FWB,2017-04-01 08:35,-93.4022,36.6985,44.60,41.00,87.09,100.00,4.00,0.00,30.06,M,10.00,M,BKN,M,M,M,1100.00,M,M,M,M,KFWB 010835Z AUTO 10004KT 10SM BKN011 07/05 A3006 RMK AO2
FWB,2017-04-01 08:55,-93.4022,36.6985,44.60,41.00,87.09,120.00,4.00,0.00,30.07,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KFWB 010855Z AUTO 12004KT 10SM OVC011 07/05 A3007 RMK AO2
