#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FWN,2017-04-01 00:00,-74.6231,41.2002,M,M,M,40.00,8.00,M,29.78,M,9.00,M,OVC,M,M,M,1500.00,M,M,M,-RA,KFWN 010000Z AUTO 04008KT 9SM -RA OVC015 A2978 RMK MADISHF
FWN,2017-04-01 00:05,-74.6231,41.2002,M,M,M,50.00,8.00,M,29.77,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,-RA,KFWN 010005Z AUTO 05008KT 10SM -RA OVC015 A2977 RMK MADISHF
FWN,2017-04-01 00:10,-74.6231,41.2002,M,M,M,50.00,10.00,M,29.77,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,-RA,KFWN 010010Z AUTO 05010KT 10SM -RA OVC015 A2977 RMK MADISHF
FWN,2017-04-01 00:15,-74.6231,41.2002,M,M,M,40.00,10.00,M,29.77,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,-RA,KFWN 010015Z AUTO 04010KT 10SM -RA OVC015 A2977 RMK MADISHF
FWN,2017-04-01 00:20,-74.6231,41.2002,M,M,M,40.00,9.00,0.01,29.77,M,7.00,M,OVC,M,M,M,1500.00,M,M,M,-RA,KFWN 010020Z AUTO 04009KT 7SM -RA OVC015 A2977 RMK P0001 MADISHF
FWN,2017-04-01 00:25,-74.6231,41.2002,M,M,M,40.00,10.00,0.01,29.77,M,6.00,M,OVC,M,M,M,1500.00,M,M,M,-RA BR,KFWN 010025Z AUTO 04010KT 6SM -RA BR OVC015 A2977 RMK P0001 MADISHF
FWN,2017-04-01 00:30,-74.6231,41.2002,M,M,M,30.00,7.00,0.02,29.78,M,6.00,M,OVC,M,M,M,1500.00,M,M,M,-RA BR,KFWN 010030Z AUTO 03007KT 6SM -RA BR OVC015 A2978 RMK P0002 MADISHF
FWN,2017-04-01 00:35,-74.6231,41.2002,M,M,M,50.00,8.00,0.02,29.78,M,6.00,M,OVC,M,M,M,1500.00,M,M,M,-RA BR,KFWN 010035Z AUTO 05008KT 6SM -RA BR OVC015 A2978 RMK P0002 MADISHF
FWN,2017-04-01 00:40,-74.6231,41.2002,M,M,M,30.00,9.00,0.02,29.78,M,5.00,M,OVC,M,M,M,1500.00,M,M,M,-RA BR,KFWN 010040Z AUTO 03009KT 5SM -RA BR OVC015 A2978 RMK P0002 MADISHF
FWN,2017-04-01 00:45,-74.6231,41.2002,M,M,M,40.00,7.00,0.02,29.77,M,5.00,M,OVC,M,M,M,1500.00,M,M,M,-RA BR,KFWN 010045Z AUTO 04007KT 5SM -RA BR OVC015 A2977 RMK P0002 MADISHF
