#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
FYV,2017-04-01 00:00,-94.1701,36.0051,M,M,M,60.00,7.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010000Z AUTO 06007KT 10SM CLR A2989 RMK MADISHF
FYV,2017-04-01 00:05,-94.1701,36.0051,M,M,M,70.00,7.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010005Z AUTO 07007KT 10SM CLR A2989 RMK MADISHF
FYV,2017-04-01 00:10,-94.1701,36.0051,M,M,M,60.00,7.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010010Z AUTO 06007KT 10SM CLR A2989 RMK MADISHF
FYV,2017-04-01 00:15,-94.1701,36.0051,M,M,M,50.00,5.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010015Z AUTO 05005KT 10SM CLR A2989 RMK MADISHF
FYV,2017-04-01 00:20,-94.1701,36.0051,M,M,M,50.00,6.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010020Z AUTO 05006KT 10SM CLR A2989 RMK MADISHF
FYV,2017-04-01 00:25,-94.1701,36.0051,M,M,M,60.00,6.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010025Z AUTO 06006KT 10SM CLR A2989 RMK MADISHF
FYV,2017-04-01 00:30,-94.1701,36.0051,M,M,M,50.00,5.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010030Z AUTO 05005KT 10SM CLR A2990 RMK MADISHF
FYV,2017-04-01 00:35,-94.1701,36.0051,M,M,M,40.00,4.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010035Z AUTO 04004KT 10SM CLR A2990 RMK MADISHF
FYV,2017-04-01 00:40,-94.1701,36.0051,M,M,M,40.00,3.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010040Z AUTO 04003KT 10SM CLR A2990 RMK MADISHF
FYV,2017-04-01 00:45,-94.1701,36.0051,M,M,M,50.00,6.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010045Z AUTO 05006KT 10SM CLR A2990 RMK MADISHF
FYV,2017-04-01 00:50,-94.1701,36.0051,M,M,M,50.00,3.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010050Z AUTO 05003KT 10SM CLR A2990 RMK MADISHF
FYV,2017-04-01 00:53,-94.1701,36.0051,57.90,46.90,66.70,50.00,4.00,0.00,29.90,1012.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010053Z 05004KT 10SM CLR 14/08 A2990 RMK AO2 SLP123 T01440083
FYV,2017-04-01 00:55,-94.1701,36.0051,M,M,M,40.00,3.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010055Z AUTO 04003KT 10SM CLR A2990 RMK VRB03KT  MADISHF
FYV,2017-04-01 01:00,-94.1701,36.0051,M,M,M,10.00,3.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010100Z AUTO 01003KT 10SM CLR A2991 RMK MADISHF
FYV,2017-04-01 01:05,-94.1701,36.0051,M,M,M,20.00,3.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010105Z AUTO 02003KT 10SM CLR A2991 RMK MADISHF
FYV,2017-04-01 01:10,-94.1701,36.0051,M,M,M,30.00,3.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010110Z AUTO 03003KT 10SM CLR A2991 RMK MADISHF
FYV,2017-04-01 01:15,-94.1701,36.0051,M,M,M,0.00,0.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010115Z AUTO 00000KT 10SM CLR A2991 RMK MADISHF
FYV,2017-04-01 01:20,-94.1701,36.0051,M,M,M,20.00,3.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010120Z AUTO 02003KT 10SM CLR A2991 RMK MADISHF
FYV,2017-04-01 01:25,-94.1701,36.0051,M,M,M,0.00,0.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010125Z AUTO 00000KT 10SM CLR A2991 RMK MADISHF
FYV,2017-04-01 01:30,-94.1701,36.0051,M,M,M,0.00,0.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010130Z AUTO 00000KT 10SM CLR A2992 RMK MADISHF
FYV,2017-04-01 01:35,-94.1701,36.0051,M,M,M,50.00,3.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010135Z AUTO 05003KT 10SM CLR A2992 RMK VRB03KT  MADISHF
FYV,2017-04-01 01:40,-94.1701,36.0051,M,M,M,50.00,5.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010140Z AUTO 05005KT 10SM CLR A2992 RMK MADISHF
FYV,2017-04-01 01:45,-94.1701,36.0051,M,M,M,50.00,4.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010145Z AUTO 05004KT 10SM CLR A2992 RMK MADISHF
FYV,2017-04-01 01:50,-94.1701,36.0051,M,M,M,50.00,4.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010150Z AUTO 05004KT 10SM CLR A2992 RMK MADISHF
FYV,2017-04-01 01:53,-94.1701,36.0051,55.00,46.90,74.08,50.00,4.00,0.00,29.92,1013.10,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010153Z 05004KT 10SM CLR 13/08 A2992 RMK AO2 SLP131 T01280083
FYV,2017-04-01 01:55,-94.1701,36.0051,M,M,M,50.00,5.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010155Z AUTO 05005KT 10SM CLR A2992 RMK MADISHF
FYV,2017-04-01 02:00,-94.1701,36.0051,M,M,M,0.00,0.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010200Z AUTO 00000KT 10SM CLR A2993 RMK MADISHF
FYV,2017-04-01 02:05,-94.1701,36.0051,M,M,M,M,M,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010205Z AUTO /////KT 10SM CLR A2993 RMK MADISHF
FYV,2017-04-01 02:10,-94.1701,36.0051,M,M,M,70.00,3.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010210Z AUTO 07003KT 10SM CLR A2993 RMK VRB03KT  MADISHF
FYV,2017-04-01 02:15,-94.1701,36.0051,M,M,M,60.00,5.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010215Z AUTO 06005KT 10SM CLR A2993 RMK VRB05KT  MADISHF
FYV,2017-04-01 02:20,-94.1701,36.0051,M,M,M,60.00,5.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010220Z AUTO 06005KT 10SM CLR A2994 RMK MADISHF
FYV,2017-04-01 02:25,-94.1701,36.0051,M,M,M,60.00,4.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010225Z AUTO 06004KT 10SM CLR A2994 RMK MADISHF
FYV,2017-04-01 02:30,-94.1701,36.0051,M,M,M,50.00,5.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KFYV 010230Z AUTO 05005KT 10SM CLR A2994 RMK MADISHF
