#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
GCM,2017-04-01 00:15,-95.4800,36.2900,57.20,46.40,67.12,50.00,10.00,0.00,29.91,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,KGCM 010015Z AUTO 05010G14KT 10SM CLR 14/08 A2991 RMK AO2
GCM,2017-04-01 00:35,-95.4800,36.2900,55.40,46.40,71.64,40.00,8.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGCM 010035Z AUTO 04008KT 10SM CLR 13/08 A2991 RMK AO2
GCM,2017-04-01 00:55,-95.4800,36.2900,55.40,46.40,71.64,30.00,7.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGCM 010055Z AUTO 03007KT 10SM CLR 13/08 A2990 RMK AO2
GCM,2017-04-01 01:15,-95.4800,36.2900,53.60,46.40,76.50,30.00,9.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGCM 010115Z AUTO 03009KT 10SM CLR 12/08 A2991 RMK AO2
GCM,2017-04-01 01:35,-95.4800,36.2900,53.60,44.60,71.45,30.00,11.00,0.00,29.91,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,KGCM 010135Z AUTO 03011G14KT 10SM CLR 12/07 A2991 RMK AO2
GCM,2017-04-01 01:55,-95.4800,36.2900,53.60,44.60,71.45,30.00,11.00,0.00,29.93,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,KGCM 010155Z AUTO 03011G15KT 10SM CLR 12/07 A2993 RMK AO2
GCM,2017-04-01 02:15,-95.4800,36.2900,53.60,44.60,71.45,40.00,10.00,0.00,29.93,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,KGCM 010215Z AUTO 04010G15KT 10SM CLR 12/07 A2993 RMK AO2
GCM,2017-04-01 02:35,-95.4800,36.2900,53.60,44.60,71.45,40.00,10.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGCM 010235Z AUTO 04010KT 10SM CLR 12/07 A2994 RMK AO2
GCM,2017-04-01 02:55,-95.4800,36.2900,53.60,44.60,71.45,50.00,11.00,0.00,29.94,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,KGCM 010255Z AUTO 05011G19KT 10SM CLR 12/07 A2994 RMK AO2
GCM,2017-04-01 03:15,-95.4800,36.2900,51.80,44.60,76.34,50.00,12.00,0.00,29.96,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,KGCM 010315Z AUTO 05012G16KT 10SM CLR 11/07 A2996 RMK AO2
GCM,2017-04-01 03:35,-95.4800,36.2900,51.80,44.60,76.34,50.00,12.00,0.00,29.96,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,KGCM 010335Z AUTO 05012G16KT 10SM CLR 11/07 A2996 RMK AO2
GCM,2017-04-01 03:55,-95.4800,36.2900,51.80,44.60,76.34,50.00,11.00,0.00,29.96,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,KGCM 010355Z AUTO 05011G19KT 10SM CLR 11/07 A2996 RMK AO2
GCM,2017-04-01 04:15,-95.4800,36.2900,50.00,44.60,81.61,50.00,10.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGCM 010415Z AUTO 05010KT 10SM CLR 10/07 A2997 RMK AO2
