#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
GED,2017-04-01 00:00,-75.3589,38.6892,M,M,M,180.00,3.00,M,29.63,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KGED 010000Z AUTO 18003KT 10SM OVC009 A2963 RMK CIG 9V13  MADISHF
GED,2017-04-01 00:05,-75.3589,38.6892,M,M,M,170.00,3.00,M,29.63,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KGED 010005Z AUTO 17003KT 10SM OVC011 A2963 RMK MADISHF
GED,2017-04-01 00:07,-75.3589,38.6892,57.90,55.90,93.04,180.00,3.00,0.00,29.63,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KGED 010007Z AUTO 18003KT 10SM OVC011 14/13 A2963 RMK AO2 T01440133
GED,2017-04-01 00:10,-75.3589,38.6892,M,M,M,180.00,3.00,M,29.63,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KGED 010010Z AUTO 18003KT 10SM OVC011 A2963 RMK MADISHF
GED,2017-04-01 00:15,-75.3589,38.6892,M,M,M,170.00,3.00,M,29.62,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KGED 010015Z AUTO 17003KT 10SM OVC011 A2962 RMK CIG 9V14  MADISHF
GED,2017-04-01 00:20,-75.3589,38.6892,M,M,M,150.00,4.00,M,29.61,M,10.00,M,BKN,OVC,M,M,1100.00,1800.00,M,M,M,KGED 010020Z AUTO 15004KT 10SM BKN011 OVC018 A2961 RMK MADISHF
GED,2017-04-01 00:25,-75.3589,38.6892,M,M,M,150.00,3.00,M,29.61,M,10.00,M,SCT,BKN,OVC,M,1100.00,1400.00,4200.00,M,M,KGED 010025Z AUTO 15003KT 10SM SCT011 BKN014 OVC042 A2961 RMK MADISHF
GED,2017-04-01 00:30,-75.3589,38.6892,M,M,M,0.00,0.00,M,29.61,M,10.00,M,SCT,BKN,OVC,M,1100.00,2100.00,4400.00,M,M,KGED 010030Z AUTO 00000KT 10SM SCT011 BKN021 OVC044 A2961 RMK MADISHF
GED,2017-04-01 00:33,-75.3589,38.6892,57.90,55.90,93.04,0.00,0.00,0.00,29.61,M,9.00,M,SCT,SCT,BKN,M,1100.00,2100.00,4400.00,M,M,KGED 010033Z AUTO 00000KT 9SM SCT011 SCT021 BKN044 14/13 A2961 RMK AO2 T01440133
GED,2017-04-01 00:35,-75.3589,38.6892,M,M,M,0.00,0.00,M,29.62,M,9.00,M,SCT,SCT,BKN,M,1100.00,2100.00,4400.00,M,M,KGED 010035Z AUTO 00000KT 9SM SCT011 SCT021 BKN044 A2962 RMK MADISHF
GED,2017-04-01 00:40,-75.3589,38.6892,M,M,M,0.00,0.00,M,29.61,M,8.00,M,FEW,FEW,BKN,M,1100.00,1999.00,4400.00,M,M,KGED 010040Z AUTO 00000KT 8SM FEW011 FEW019 BKN044 A2961 RMK MADISHF
GED,2017-04-01 00:45,-75.3589,38.6892,M,M,M,0.00,0.00,M,29.61,M,7.00,M,SCT,BKN,M,M,1800.00,4200.00,M,M,M,KGED 010045Z AUTO 00000KT 7SM SCT018 BKN042 A2961 RMK MADISHF
GED,2017-04-01 00:50,-75.3589,38.6892,M,M,M,0.00,0.00,M,29.61,M,5.00,M,SCT,BKN,M,M,1800.00,4200.00,M,M,BR,KGED 010050Z AUTO 00000KT 5SM BR SCT018 BKN042 A2961 RMK MADISHF
GED,2017-04-01 00:54,-75.3589,38.6892,57.00,55.90,96.10,0.00,0.00,0.00,29.61,1002.60,4.00,M,BKN,BKN,M,M,1800.00,4200.00,M,M,BR,KGED 010054Z AUTO 00000KT 4SM BR BKN018 BKN042 14/13 A2961 RMK AO2 SLP026 T01390133
GED,2017-04-01 00:55,-75.3589,38.6892,M,M,M,0.00,0.00,M,29.61,M,4.00,M,BKN,BKN,M,M,1800.00,4200.00,M,M,BR,KGED 010055Z AUTO 00000KT 4SM BR BKN018 BKN042 A2961 RMK MADISHF
GED,2017-04-01 01:00,-75.3589,38.6892,M,M,M,0.00,0.00,M,29.61,M,5.00,M,BKN,BKN,M,M,1699.00,4200.00,M,M,BR,KGED 010100Z AUTO 00000KT 5SM BR BKN016 BKN042 A2961 RMK MADISHF
GED,2017-04-01 01:05,-75.3589,38.6892,M,M,M,0.00,0.00,M,29.61,M,6.00,M,BKN,M,M,M,1699.00,M,M,M,BR,KGED 010105Z AUTO 00000KT 6SM BR BKN016 A2961 RMK MADISHF
GED,2017-04-01 01:10,-75.3589,38.6892,M,M,M,0.00,0.00,M,29.62,M,5.00,M,FEW,OVC,M,M,1100.00,1699.00,M,M,BR,KGED 010110Z AUTO 00000KT 5SM BR FEW011 OVC016 A2962 RMK MADISHF
GED,2017-04-01 01:15,-75.3589,38.6892,M,M,M,0.00,0.00,M,29.62,M,4.00,M,SCT,OVC,M,M,900.00,1699.00,M,M,BR,KGED 010115Z AUTO 00000KT 4SM BR SCT009 OVC016 A2962 RMK MADISHF
