#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
GEV,2017-04-01 00:10,-81.4200,36.4300,47.50,38.50,70.80,300.00,20.00,0.00,29.77,M,10.00,29.00,SCT,M,M,M,2600.00,M,M,M,M,KGEV 010010Z AUTO 30020G29KT 10SM SCT026 09/04 A2977 RMK AO2 T00860036
GEV,2017-04-01 00:30,-81.4200,36.4300,47.30,38.50,71.33,300.00,16.00,0.00,29.78,M,10.00,32.00,SCT,M,M,M,2400.00,M,M,M,M,KGEV 010030Z AUTO 30016G32KT 10SM SCT024 09/04 A2978 RMK AO2 T00850036
GEV,2017-04-01 00:50,-81.4200,36.4300,46.90,39.00,73.85,300.00,16.00,0.00,29.79,M,10.00,31.00,BKN,M,M,M,2400.00,M,M,M,M,KGEV 010050Z AUTO 30016G31KT 10SM BKN024 08/04 A2979 RMK AO2 T00830039
GEV,2017-04-01 01:10,-81.4200,36.4300,46.80,38.80,73.55,290.00,17.00,0.00,29.80,M,10.00,29.00,BKN,BKN,M,M,2200.00,2700.00,M,M,M,KGEV 010110Z AUTO 29017G29KT 270V330 10SM BKN022 BKN027 08/04 A2980 RMK AO2 T00820038
GEV,2017-04-01 01:30,-81.4200,36.4300,46.90,38.80,73.27,300.00,15.00,0.00,29.82,M,10.00,21.00,BKN,OVC,M,M,2200.00,3200.00,M,M,M,KGEV 010130Z AUTO 30015G21KT 280V350 10SM BKN022 OVC032 08/04 A2982 RMK AO2 T00830038
GEV,2017-04-01 01:50,-81.4200,36.4300,46.90,39.20,74.43,300.00,13.00,0.00,29.83,M,10.00,21.00,BKN,OVC,M,M,2400.00,3100.00,M,M,M,KGEV 010150Z AUTO 30013G21KT 10SM BKN024 OVC031 08/04 A2983 RMK AO2 T00830040
GEV,2017-04-01 02:10,-81.4200,36.4300,46.80,39.20,74.71,300.00,7.00,0.00,29.85,M,10.00,21.00,BKN,OVC,M,M,2200.00,2700.00,M,M,M,KGEV 010210Z AUTO 30007G21KT 10SM BKN022 OVC027 08/04 A2985 RMK AO2 T00820040
GEV,2017-04-01 02:30,-81.4200,36.4300,46.80,39.00,74.13,310.00,10.00,0.00,29.85,M,10.00,23.00,BKN,BKN,OVC,M,2200.00,2900.00,3700.00,M,M,KGEV 010230Z AUTO 31010G23KT 10SM BKN022 BKN029 OVC037 08/04 A2985 RMK AO2 T00820039
GEV,2017-04-01 02:50,-81.4200,36.4300,46.80,39.20,74.71,290.00,14.00,0.00,29.85,M,10.00,23.00,OVC,M,M,M,2200.00,M,M,M,M,KGEV 010250Z AUTO 29014G23KT 10SM OVC022 08/04 A2985 RMK AO2 T00820040
GEV,2017-04-01 03:10,-81.4200,36.4300,46.60,38.80,74.11,270.00,14.00,0.00,29.85,M,10.00,21.00,OVC,M,M,M,2200.00,M,M,M,M,KGEV 010310Z AUTO 27014G21KT 10SM OVC022 08/04 A2985 RMK AO2 T00810038
