#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
GGW,2017-04-01 00:00,-106.6214,48.2138,M,M,M,100.00,11.00,M,30.14,M,10.00,M,FEW,M,M,M,3999.00,M,M,M,M,KGGW 010000Z AUTO 10011KT 10SM FEW039 A3014 RMK MADISHF
GGW,2017-04-01 00:05,-106.6214,48.2138,M,M,M,90.00,11.00,M,30.14,M,10.00,M,SCT,M,M,M,4200.00,M,M,M,M,KGGW 010005Z AUTO 09011KT 10SM SCT042 A3014 RMK MADISHF
GGW,2017-04-01 00:10,-106.6214,48.2138,M,M,M,90.00,11.00,M,30.14,M,10.00,M,SCT,M,M,M,4200.00,M,M,M,M,KGGW 010010Z AUTO 09011KT 10SM SCT042 A3014 RMK MADISHF
GGW,2017-04-01 00:15,-106.6214,48.2138,M,M,M,80.00,10.00,M,30.14,M,10.00,M,FEW,M,M,M,4200.00,M,M,M,M,KGGW 010015Z AUTO 08010KT 10SM FEW042 A3014 RMK MADISHF
GGW,2017-04-01 00:20,-106.6214,48.2138,M,M,M,80.00,10.00,M,30.14,M,10.00,M,FEW,M,M,M,4200.00,M,M,M,M,KGGW 010020Z AUTO 08010KT 10SM FEW042 A3014 RMK MADISHF
GGW,2017-04-01 00:25,-106.6214,48.2138,M,M,M,80.00,11.00,M,30.14,M,10.00,M,FEW,M,M,M,4200.00,M,M,M,M,KGGW 010025Z AUTO 08011KT 10SM FEW042 A3014 RMK MADISHF
GGW,2017-04-01 00:30,-106.6214,48.2138,M,M,M,80.00,12.00,M,30.14,M,10.00,M,FEW,M,M,M,4200.00,M,M,M,M,KGGW 010030Z AUTO 08012KT 10SM FEW042 A3014 RMK MADISHF
GGW,2017-04-01 00:35,-106.6214,48.2138,M,M,M,80.00,11.00,M,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGGW 010035Z AUTO 08011KT 10SM CLR A3014 RMK MADISHF
GGW,2017-04-01 00:40,-106.6214,48.2138,M,M,M,90.00,10.00,M,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGGW 010040Z AUTO 09010KT 10SM CLR A3014 RMK MADISHF
GGW,2017-04-01 00:45,-106.6214,48.2138,M,M,M,100.00,9.00,M,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGGW 010045Z AUTO 10009KT 10SM CLR A3014 RMK MADISHF
GGW,2017-04-01 00:50,-106.6214,48.2138,M,M,M,120.00,8.00,M,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGGW 010050Z AUTO 12008KT 10SM CLR A3014 RMK MADISHF
