#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
GKY,2017-04-01 00:00,-97.0943,32.6639,M,M,M,M,M,M,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010000Z AUTO /////KT 10SM CLR A2972 RMK MADISHF
GKY,2017-04-01 00:05,-97.0943,32.6639,M,M,M,140.00,16.00,M,29.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010005Z AUTO 14016KT 10SM CLR A2972 RMK MADISHF
GKY,2017-04-01 00:10,-97.0943,32.6639,M,M,M,140.00,12.00,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010010Z AUTO 14012KT 10SM CLR A2973 RMK MADISHF
GKY,2017-04-01 00:15,-97.0943,32.6639,M,M,M,130.00,13.00,M,29.73,M,10.00,18.00,CLR,M,M,M,M,M,M,M,M,KGKY 010015Z AUTO 13013G18KT 10SM CLR A2973 RMK MADISHF
GKY,2017-04-01 00:20,-97.0943,32.6639,M,M,M,130.00,14.00,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010020Z AUTO 13014KT 10SM CLR A2973 RMK MADISHF
GKY,2017-04-01 00:25,-97.0943,32.6639,M,M,M,140.00,14.00,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010025Z AUTO 14014KT 10SM CLR A2973 RMK MADISHF
GKY,2017-04-01 00:30,-97.0943,32.6639,M,M,M,140.00,12.00,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010030Z AUTO 14012KT 10SM CLR A2973 RMK MADISHF
GKY,2017-04-01 00:35,-97.0943,32.6639,M,M,M,140.00,12.00,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010035Z AUTO 14012KT 10SM CLR A2973 RMK MADISHF
GKY,2017-04-01 00:40,-97.0943,32.6639,M,M,M,140.00,12.00,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010040Z AUTO 14012KT 10SM CLR A2973 RMK MADISHF
GKY,2017-04-01 00:45,-97.0943,32.6639,M,M,M,140.00,10.00,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010045Z AUTO 14010KT 10SM CLR A2973 RMK MADISHF
GKY,2017-04-01 00:50,-97.0943,32.6639,M,M,M,140.00,10.00,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010050Z AUTO 14010KT 10SM CLR A2973 RMK MADISHF
GKY,2017-04-01 00:53,-97.0943,32.6639,75.90,51.10,41.86,130.00,11.00,0.00,29.74,1006.40,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010053Z 13011KT 10SM CLR 24/11 A2974 RMK AO2 SLP064 T02440106
GKY,2017-04-01 00:55,-97.0943,32.6639,M,M,M,130.00,10.00,M,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010055Z AUTO 13010KT 10SM CLR A2974 RMK MADISHF
GKY,2017-04-01 01:00,-97.0943,32.6639,M,M,M,140.00,9.00,M,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010100Z AUTO 14009KT 10SM CLR A2974 RMK MADISHF
GKY,2017-04-01 01:05,-97.0943,32.6639,M,M,M,130.00,9.00,M,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010105Z AUTO 13009KT 10SM CLR A2974 RMK MADISHF
GKY,2017-04-01 01:10,-97.0943,32.6639,M,M,M,140.00,9.00,M,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010110Z AUTO 14009KT 10SM CLR A2974 RMK MADISHF
GKY,2017-04-01 01:15,-97.0943,32.6639,M,M,M,130.00,9.00,M,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010115Z AUTO 13009KT 10SM CLR A2974 RMK MADISHF
GKY,2017-04-01 01:20,-97.0943,32.6639,M,M,M,130.00,9.00,M,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010120Z AUTO 13009KT 10SM CLR A2974 RMK MADISHF
GKY,2017-04-01 01:25,-97.0943,32.6639,M,M,M,130.00,9.00,M,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010125Z AUTO 13009KT 10SM CLR A2974 RMK MADISHF
GKY,2017-04-01 01:30,-97.0943,32.6639,M,M,M,130.00,9.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010130Z AUTO 13009KT 10SM CLR A2975 RMK MADISHF
GKY,2017-04-01 01:35,-97.0943,32.6639,M,M,M,120.00,10.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010135Z AUTO 12010KT 10SM CLR A2975 RMK MADISHF
GKY,2017-04-01 01:40,-97.0943,32.6639,M,M,M,130.00,8.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010140Z AUTO 13008KT 10SM CLR A2975 RMK MADISHF
GKY,2017-04-01 01:45,-97.0943,32.6639,M,M,M,130.00,8.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010145Z AUTO 13008KT 10SM CLR A2975 RMK MADISHF
GKY,2017-04-01 01:50,-97.0943,32.6639,M,M,M,120.00,7.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010150Z AUTO 12007KT 10SM CLR A2975 RMK MADISHF
GKY,2017-04-01 01:53,-97.0943,32.6639,71.10,54.00,54.73,120.00,7.00,0.00,29.76,1006.90,10.00,M,CLR,M,M,M,M,M,M,M,M,KGKY 010153Z AUTO 12007KT 10SM CLR 22/12 A2976 RMK AO2 SLP069 T02170122
