#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
GLY,2017-04-01 00:15,-93.6842,38.3566,48.20,41.00,76.01,50.00,5.00,0.00,30.00,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KGLY 010015Z AUTO 05005KT 10SM OVC020 09/05 A3000 RMK AO2
GLY,2017-04-01 00:35,-93.6842,38.3566,48.20,42.80,81.47,40.00,7.00,0.00,30.00,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KGLY 010035Z AUTO 04007KT 10SM OVC020 09/06 A3000 RMK AO2
GLY,2017-04-01 00:55,-93.6842,38.3566,48.20,42.80,81.47,30.00,7.00,0.00,30.01,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KGLY 010055Z AUTO 03007KT 10SM OVC020 09/06 A3001 RMK AO2
GLY,2017-04-01 01:15,-93.6842,38.3566,48.20,42.80,81.47,30.00,7.00,0.00,30.02,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KGLY 010115Z AUTO 03007KT 10SM OVC020 09/06 A3002 RMK AO2
GLY,2017-04-01 01:35,-93.6842,38.3566,48.20,42.80,81.47,40.00,7.00,0.00,30.03,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KGLY 010135Z AUTO 04007KT 10SM OVC020 09/06 A3003 RMK AO2
GLY,2017-04-01 01:55,-93.6842,38.3566,48.20,42.80,81.47,40.00,6.00,0.00,30.04,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KGLY 010155Z AUTO 04006KT 10SM OVC020 09/06 A3004 RMK AO2
GLY,2017-04-01 02:15,-93.6842,38.3566,46.40,41.00,81.34,50.00,7.00,0.00,30.05,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KGLY 010215Z AUTO 05007KT 10SM OVC018 08/05 A3005 RMK AO2
GLY,2017-04-01 02:35,-93.6842,38.3566,46.40,41.00,81.34,40.00,7.00,0.00,30.05,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KGLY 010235Z AUTO 04007KT 10SM OVC018 08/05 A3005 RMK AO2
GLY,2017-04-01 02:55,-93.6842,38.3566,46.40,41.00,81.34,50.00,7.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KGLY 010255Z AUTO 05007KT 10SM OVC018 08/05 A3006 RMK AO2
GLY,2017-04-01 03:15,-93.6842,38.3566,46.40,41.00,81.34,50.00,6.00,0.00,30.07,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KGLY 010315Z AUTO 05006KT 10SM OVC018 08/05 A3007 RMK AO2
GLY,2017-04-01 03:35,-93.6842,38.3566,46.40,41.00,81.34,50.00,6.00,0.00,30.07,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KGLY 010335Z AUTO 05006KT 10SM OVC018 08/05 A3007 RMK AO2
GLY,2017-04-01 03:55,-93.6842,38.3566,46.40,41.00,81.34,60.00,8.00,0.00,30.08,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KGLY 010355Z AUTO 06008KT 10SM OVC018 08/05 A3008 RMK AO2
GLY,2017-04-01 04:15,-93.6842,38.3566,46.40,41.00,81.34,80.00,9.00,0.00,30.08,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KGLY 010415Z AUTO 08009KT 10SM OVC016 08/05 A3008 RMK AO2
GLY,2017-04-01 04:35,-93.6842,38.3566,46.40,41.00,81.34,40.00,7.00,0.00,30.09,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KGLY 010435Z AUTO 04007KT 10SM OVC016 08/05 A3009 RMK AO2
GLY,2017-04-01 04:55,-93.6842,38.3566,46.40,41.00,81.34,40.00,6.00,0.00,30.09,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KGLY 010455Z AUTO 04006KT 10SM OVC016 08/05 A3009 RMK AO2
GLY,2017-04-01 05:15,-93.6842,38.3566,46.40,41.00,81.34,30.00,6.00,0.00,30.09,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KGLY 010515Z AUTO 03006KT 10SM OVC018 08/05 A3009 RMK AO2
GLY,2017-04-01 05:35,-93.6842,38.3566,46.40,41.00,81.34,40.00,6.00,0.00,30.09,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KGLY 010535Z AUTO 04006KT 10SM OVC020 08/05 A3009 RMK AO2
GLY,2017-04-01 05:55,-93.6842,38.3566,46.40,41.00,81.34,40.00,7.00,0.00,30.10,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KGLY 010555Z AUTO 04007KT 10SM OVC020 08/05 A3010 RMK AO2
GLY,2017-04-01 06:15,-93.6842,38.3566,46.40,41.00,81.34,40.00,5.00,0.00,30.11,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KGLY 010615Z AUTO 04005KT 10SM OVC020 08/05 A3011 RMK AO2
GLY,2017-04-01 06:35,-93.6842,38.3566,46.40,41.00,81.34,50.00,6.00,0.00,30.11,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KGLY 010635Z AUTO 05006KT 10SM OVC020 08/05 A3011 RMK AO2
GLY,2017-04-01 06:55,-93.6842,38.3566,46.40,41.00,81.34,50.00,6.00,0.00,30.11,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KGLY 010655Z AUTO 05006KT 10SM OVC020 08/05 A3011 RMK AO2
GLY,2017-04-01 07:15,-93.6842,38.3566,46.40,41.00,81.34,60.00,6.00,0.00,30.12,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KGLY 010715Z AUTO 06006KT 10SM OVC018 08/05 A3012 RMK AO2
GLY,2017-04-01 07:35,-93.6842,38.3566,46.40,41.00,81.34,70.00,7.00,0.00,30.12,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KGLY 010735Z AUTO 07007KT 10SM OVC018 08/05 A3012 RMK AO2
GLY,2017-04-01 07:55,-93.6842,38.3566,46.40,39.20,75.84,60.00,7.00,0.00,30.11,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KGLY 010755Z AUTO 06007KT 10SM OVC018 08/04 A3011 RMK AO2
GLY,2017-04-01 08:15,-93.6842,38.3566,44.60,39.20,81.20,60.00,6.00,0.00,30.12,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KGLY 010815Z AUTO 06006KT 10SM OVC016 07/04 A3012 RMK AO2
GLY,2017-04-01 08:35,-93.6842,38.3566,44.60,39.20,81.20,50.00,9.00,0.00,30.12,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KGLY 010835Z AUTO 05009KT 10SM OVC016 07/04 A3012 RMK AO2
GLY,2017-04-01 08:55,-93.6842,38.3566,44.60,39.20,81.20,50.00,9.00,0.00,30.13,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KGLY 010855Z AUTO 05009KT 10SM OVC016 07/04 A3013 RMK AO2
GLY,2017-04-01 09:15,-93.6842,38.3566,44.60,39.20,81.20,70.00,5.00,0.00,30.13,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KGLY 010915Z AUTO 07005KT 10SM OVC016 07/04 A3013 RMK AO2
GLY,2017-04-01 09:35,-93.6842,38.3566,44.60,39.20,81.20,60.00,7.00,0.00,30.13,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KGLY 010935Z AUTO 06007KT 10SM OVC016 07/04 A3013 RMK AO2
