#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
GRB,2017-04-01 00:00,-88.1367,44.4794,M,M,M,40.00,6.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010000Z AUTO 04006KT 10SM CLR A2998 RMK MADISHF
GRB,2017-04-01 00:05,-88.1367,44.4794,M,M,M,40.00,11.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010005Z AUTO 04011KT 10SM CLR A2998 RMK MADISHF
GRB,2017-04-01 00:10,-88.1367,44.4794,M,M,M,50.00,9.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010010Z AUTO 05009KT 10SM CLR A2998 RMK MADISHF
GRB,2017-04-01 00:15,-88.1367,44.4794,M,M,M,40.00,8.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010015Z AUTO 04008KT 10SM CLR A2998 RMK MADISHF
GRB,2017-04-01 00:20,-88.1367,44.4794,M,M,M,40.00,8.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010020Z AUTO 04008KT 10SM CLR A2998 RMK MADISHF
GRB,2017-04-01 00:25,-88.1367,44.4794,M,M,M,40.00,8.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010025Z AUTO 04008KT 10SM CLR A2999 RMK MADISHF
GRB,2017-04-01 00:30,-88.1367,44.4794,M,M,M,40.00,8.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010030Z AUTO 04008KT 10SM CLR A2999 RMK MADISHF
GRB,2017-04-01 00:35,-88.1367,44.4794,M,M,M,40.00,8.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010035Z AUTO 04008KT 10SM CLR A2999 RMK MADISHF
GRB,2017-04-01 00:40,-88.1367,44.4794,M,M,M,40.00,8.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010040Z AUTO 04008KT 10SM CLR A2999 RMK MADISHF
GRB,2017-04-01 00:45,-88.1367,44.4794,M,M,M,40.00,8.00,M,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010045Z AUTO 04008KT 10SM CLR A3000 RMK MADISHF
GRB,2017-04-01 00:50,-88.1367,44.4794,M,M,M,30.00,9.00,M,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010050Z AUTO 03009KT 10SM CLR A3000 RMK MADISHF
GRB,2017-04-01 00:53,-88.1367,44.4794,42.10,26.10,52.78,30.00,9.00,0.00,30.00,1016.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010053Z 03009KT 10SM CLR 06/M03 A3000 RMK AO2 SLP166 T00561033
GRB,2017-04-01 00:55,-88.1367,44.4794,M,M,M,30.00,9.00,M,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010055Z AUTO 03009KT 10SM CLR A3000 RMK MADISHF
GRB,2017-04-01 01:00,-88.1367,44.4794,M,M,M,40.00,9.00,M,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010100Z AUTO 04009KT 10SM CLR A3000 RMK MADISHF
GRB,2017-04-01 01:05,-88.1367,44.4794,M,M,M,40.00,9.00,M,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010105Z AUTO 04009KT 10SM CLR A3000 RMK MADISHF
GRB,2017-04-01 01:10,-88.1367,44.4794,M,M,M,40.00,10.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010110Z AUTO 04010KT 10SM CLR A3001 RMK MADISHF
GRB,2017-04-01 01:15,-88.1367,44.4794,M,M,M,40.00,8.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010115Z AUTO 04008KT 10SM CLR A3001 RMK MADISHF
GRB,2017-04-01 01:20,-88.1367,44.4794,M,M,M,40.00,8.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010120Z AUTO 04008KT 10SM CLR A3001 RMK MADISHF
GRB,2017-04-01 01:25,-88.1367,44.4794,M,M,M,40.00,9.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010125Z AUTO 04009KT 10SM CLR A3001 RMK MADISHF
GRB,2017-04-01 01:30,-88.1367,44.4794,M,M,M,40.00,8.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010130Z AUTO 04008KT 10SM CLR A3001 RMK MADISHF
GRB,2017-04-01 01:35,-88.1367,44.4794,M,M,M,40.00,8.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010135Z AUTO 04008KT 10SM CLR A3002 RMK MADISHF
GRB,2017-04-01 01:40,-88.1367,44.4794,M,M,M,30.00,7.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010140Z AUTO 03007KT 10SM CLR A3002 RMK MADISHF
GRB,2017-04-01 01:45,-88.1367,44.4794,M,M,M,30.00,7.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRB 010145Z AUTO 03007KT 10SM CLR A3003 RMK MADISHF
