#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
GRF,2017-04-01 00:58,-122.5800,47.0800,55.40,43.70,64.65,M,3.00,0.00,30.27,1025.50,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRF 010058Z VRB03KT 10SM CLR 13/07 A3027 RMK AO2A SLP255 T01300065 PNO $
GRF,2017-04-01 01:58,-122.5800,47.0800,54.50,42.60,64.05,0.00,0.00,0.00,30.25,1024.90,10.00,M,CLR,M,M,M,M,M,M,M,M,KGRF 010158Z 00000KT 10SM CLR 13/06 A3025 RMK AO2A SLP249 T01250059 PNO $
GRF,2017-04-01 02:58,-122.5800,47.0800,52.00,44.40,75.20,0.00,0.00,0.00,30.24,1024.50,10.00,M,BKN,M,M,M,14000.00,M,M,M,M,KGRF 010258Z 00000KT 10SM BKN140 11/07 A3024 RMK AO2A SLP245 T01110069 57014 PNO $
GRF,2017-04-01 03:58,-122.5800,47.0800,49.80,45.50,85.08,0.00,0.00,0.00,30.25,1024.90,10.00,M,OVC,M,M,M,14000.00,M,M,M,M,KGRF 010358Z 00000KT 10SM OVC140 10/08 A3025 RMK AO2A SLP249 T00990075 PNO $
GRF,2017-04-01 04:58,-122.5800,47.0800,46.90,46.60,98.87,140.00,4.00,0.00,30.25,1024.90,10.00,M,FEW,BKN,M,M,11000.00,14000.00,M,M,M,KGRF 010458Z 14004KT 10SM FEW110 BKN140 08/08 A3025 RMK AO2A SLP249 T00830081 PNO $
GRF,2017-04-01 05:58,-122.5800,47.0800,46.40,46.20,99.25,140.00,6.00,0.00,30.25,1024.90,10.00,M,OVC,M,M,M,9500.00,M,M,M,M,KGRF 010558Z 14006KT 10SM OVC095 08/08 A3025 RMK AO2A SLP249 T00800079 10132 20079 50003 PNO $
GRF,2017-04-01 06:58,-122.5800,47.0800,47.70,47.50,99.25,0.00,0.00,0.00,30.22,1023.80,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,KGRF 010658Z 00000KT 10SM BKN060 09/09 A3022 RMK AO2A SLP238 T00870086 PNO $
GRF,2017-04-01 07:58,-122.5800,47.0800,47.10,46.90,99.25,0.00,0.00,0.00,30.20,1023.10,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KGRF 010758Z 00000KT 10SM OVC050 08/08 A3020 RMK AO2A SLP231 T00840083 401350019 PNO $
GRF,2017-04-01 08:58,-122.5800,47.0800,48.60,47.10,94.52,150.00,3.00,0.00,30.19,1022.80,10.00,M,OVC,M,M,M,4800.00,M,M,M,M,KGRF 010858Z 15003KT 10SM OVC048 09/08 A3019 RMK AO2A SLP228 T00920084 56018 PNO $
GRF,2017-04-01 09:58,-122.5800,47.0800,48.00,47.70,98.88,120.00,3.00,0.00,30.19,1022.80,10.00,M,OVC,M,M,M,4800.00,M,M,M,M,KGRF 010958Z 12003KT 10SM OVC048 09/09 A3019 RMK AO2A SLP228 T00890087 PNO $
GRF,2017-04-01 10:58,-122.5800,47.0800,48.20,47.80,98.51,150.00,5.00,0.00,30.17,1022.10,10.00,M,BKN,OVC,M,M,4800.00,6000.00,M,M,M,KGRF 011058Z 15005KT 10SM BKN048 OVC060 09/09 A3017 RMK AO2A SLP221 T00900088 PNO $
GRF,2017-04-01 11:58,-122.5800,47.0800,48.00,47.70,98.88,210.00,4.00,0.00,30.17,1022.10,10.00,M,OVC,M,M,M,4500.00,M,M,M,M,KGRF 011158Z 21004KT 10SM OVC045 09/09 A3017 RMK AO2A SLP221 T00890087 10094 20080 56007 PNO $
GRF,2017-04-01 12:58,-122.5800,47.0800,48.70,48.60,99.63,210.00,6.00,0.00,30.17,1022.10,10.00,M,OVC,M,M,M,4100.00,M,M,M,M,KGRF 011258Z 21006KT 10SM OVC041 09/09 A3017 RMK AO2A SLP221 T00930092 PNO $
