#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
GTB,2017-04-01 00:58,-75.7195,44.0556,35.60,34.20,94.58,60.00,9.00,0.05,29.81,1010.20,10.00,M,FEW,SCT,BKN,OVC,400.00,1300.00,2700.00,3700.00,-RA,KGTB 010058Z 06009KT 10SM -RA FEW004 SCT013 BKN027 OVC037 02/01 A2981 RMK AO2A SLP102 P0005 T00200012 $
GTB,2017-04-01 01:13,-75.7195,44.0556,35.60,33.80,93.08,60.00,7.00,0.00,29.81,M,10.00,M,BKN,BKN,OVC,M,400.00,1700.00,3700.00,M,-RA,KGTB 010113Z 06007KT 10SM -RA BKN004 BKN017 OVC037 02/01 A2981 RMK AO2A CIG 004V039 BKN004 V FEW $
GTB,2017-04-01 01:18,-75.7195,44.0556,35.60,32.00,86.59,60.00,7.00,0.00,29.81,M,10.00,M,SCT,BKN,OVC,M,400.00,1700.00,3800.00,M,-RA,KGTB 010118Z AUTO 06007KT 10SM -RA SCT004 BKN017 OVC038 02/00 A2981 RMK AO2 CIG 004V038 $
GTB,2017-04-01 01:23,-75.7195,44.0556,35.60,32.00,86.59,60.00,7.00,0.00,29.81,M,10.00,M,BKN,BKN,BKN,OVC,400.00,1700.00,2200.00,3800.00,-RA,KGTB 010123Z AUTO 06007KT 10SM -RA BKN004 BKN017 BKN022 OVC038 02/00 A2981 RMK AO2 CIG 004V017 BKN004 V SCT $
GTB,2017-04-01 02:13,-75.7195,44.0556,32.00,32.00,100.00,40.00,6.00,0.00,29.81,M,9.00,M,SCT,BKN,BKN,OVC,400.00,1500.00,2500.00,3800.00,-RA,KGTB 010213Z AUTO 04006KT 9SM -RA SCT004 BKN015 BKN025 OVC038 00/00 A2981 RMK AO2 CIG 015V037 CIG 002 RWY21
GTB,2017-04-01 02:20,-75.7195,44.0556,32.00,32.00,100.00,50.00,9.00,0.00,29.81,M,9.00,M,BKN,BKN,BKN,OVC,200.00,1500.00,2500.00,3800.00,-RA,KGTB 010220Z AUTO 05009KT 9SM -RA BKN002 BKN015 BKN025 OVC038 00/00 A2981 RMK AO2 CIG 002V016
GTB,2017-04-01 02:30,-75.7195,44.0556,32.00,32.00,100.00,50.00,7.00,0.00,29.81,M,10.00,M,BKN,OVC,M,M,300.00,2400.00,M,M,-RA,KGTB 010230Z AUTO 05007KT 10SM -RA BKN003 OVC024 00/00 A2981 RMK AO2
GTB,2017-04-01 02:58,-75.7195,44.0556,33.10,31.80,94.90,50.00,8.00,0.05,29.80,1009.80,10.00,M,OVC,M,M,M,300.00,M,M,M,-RA,KGTB 010258Z AUTO 05008KT 10SM -RA OVC003 01/00 A2980 RMK AO2 SLP098 P0005 60013 T00061001
GTB,2017-04-01 04:10,-75.7195,44.0556,32.00,32.00,100.00,70.00,7.00,0.00,29.80,M,10.00,M,OVC,M,M,M,200.00,M,M,M,-RA,KGTB 010410Z AUTO 07007KT 10SM -RA OVC002 00/00 A2980 RMK AO2 RAB0356
GTB,2017-04-01 04:28,-75.7195,44.0556,32.00,32.00,100.00,80.00,6.00,0.00,29.80,M,10.00,M,OVC,M,M,M,300.00,M,M,M,-RA,KGTB 010428Z 08006KT 10SM -RA OVC003 00/00 A2980 RMK AO2 RAB0356E15DZB15E19RAB19
GTB,2017-04-01 04:58,-75.7195,44.0556,33.10,31.80,94.90,70.00,6.00,0.01,29.80,1010.10,10.00,M,OVC,M,M,M,300.00,M,M,M,-RA,KGTB 010458Z 07006KT 10SM -RA OVC003 01/00 A2980 RMK AO2 DZB0414E0418 SLP101 P0001 T00061001 400430005
GTB,2017-04-01 05:58,-75.7195,44.0556,33.10,31.80,94.90,90.00,5.00,0.01,29.81,1010.20,10.00,M,OVC,M,M,M,300.00,M,M,M,-DZ,KGTB 010558Z 09005KT 10SM -DZ OVC003 01/00 A2981 RMK AO2 RAE0553DZB0553 SLP102 P0001 60017 T00061001 10026 20005 56002
GTB,2017-04-01 07:22,-75.7195,44.0556,32.00,32.00,100.00,60.00,5.00,0.00,29.81,1010.40,10.00,M,OVC,M,M,M,200.00,M,M,M,-SN,KGTB 010722Z 06005KT 10SM -SN OVC002 00/00 A2981 RMK AO2 SLP104
GTB,2017-04-01 07:55,-75.7195,44.0556,32.50,31.50,96.05,40.00,7.00,0.01,29.82,1010.70,8.00,M,OVC,M,M,M,200.00,M,M,M,-SN,KGTB 010755Z 04007KT 8SM -SN OVC002 00/00 A2982 RMK AO2 SNE0724B0751RAB0724E0751 SLP107 P0001 T00031003
GTB,2017-04-01 08:58,-75.7195,44.0556,32.50,31.50,96.05,40.00,6.00,0.00,29.84,1011.30,6.00,M,OVC,M,M,M,300.00,M,M,M,-SN BR,KGTB 010858Z 04006KT 6SM -SN BR OVC003 00/00 A2984 RMK AO2 SLP113 P0000 60003 T00031003 53011
GTB,2017-04-01 09:58,-75.7195,44.0556,32.50,31.50,96.05,40.00,4.00,0.01,29.85,1011.50,10.00,M,OVC,M,M,M,300.00,M,M,M,-SN,KGTB 010958Z AUTO 04004KT 10SM -SN OVC003 00/00 A2985 RMK AO2 SLP115 P0001 T00031003
GTB,2017-04-01 10:38,-75.7195,44.0556,32.00,32.00,100.00,60.00,4.00,0.00,29.87,M,10.00,M,SCT,BKN,OVC,M,300.00,1100.00,3800.00,M,-SN,KGTB 011038Z AUTO 06004KT 10SM -SN SCT003 BKN011 OVC038 00/00 A2987 RMK AO2 CIG 003V011 BKN V OVC CIG 003 RWY21
GTB,2017-04-01 10:44,-75.7195,44.0556,32.00,32.00,100.00,70.00,4.00,0.00,29.87,M,10.00,M,SCT,BKN,OVC,M,400.00,1100.00,3700.00,M,M,KGTB 011044Z AUTO 07004KT 10SM SCT004 BKN011 OVC037 00/00 A2987 RMK AO2 SNE44 CIG 003V011
GTB,2017-04-01 10:49,-75.7195,44.0556,32.00,32.00,100.00,70.00,3.00,0.00,29.87,M,10.00,M,FEW,SCT,OVC,M,400.00,1000.00,3700.00,M,M,KGTB 011049Z AUTO 07003KT 10SM FEW004 SCT010 OVC037 00/00 A2987 RMK AO2 SNE44
GTB,2017-04-01 10:58,-75.7195,44.0556,32.70,31.80,96.44,90.00,3.00,0.01,29.87,1012.20,10.00,M,FEW,OVC,M,M,1200.00,3700.00,M,M,M,KGTB 011058Z AUTO 09003KT 10SM FEW012 OVC037 00/00 A2987 RMK AO2 SNE44 SLP122 P0001 T00041001
GTB,2017-04-01 11:58,-75.7195,44.0556,33.60,32.40,95.30,150.00,5.00,0.00,29.88,1012.50,10.00,M,OVC,M,M,M,3300.00,M,M,M,M,KGTB 011158Z AUTO 15005KT 10SM OVC033 01/00 A2988 RMK AO2 SLP125 60005 70067 T00090002 10009 20002
GTB,2017-04-01 12:03,-75.7195,44.0556,32.00,32.00,100.00,150.00,7.00,0.00,29.88,M,10.00,M,BKN,OVC,M,M,2900.00,3400.00,M,M,M,KGTB 011203Z AUTO 15007KT 10SM BKN029 OVC034 00/00 A2988 RMK AO2 CIG 029V035 BKN V SCT
GTB,2017-04-01 12:48,-75.7195,44.0556,33.80,32.00,93.03,330.00,3.00,0.00,29.91,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KGTB 011248Z AUTO 33003KT 10SM OVC030 01/00 A2991 RMK AO2
GTB,2017-04-01 12:57,-75.7195,44.0556,33.80,32.00,93.03,330.00,6.00,0.00,29.91,M,10.00,M,FEW,OVC,M,M,300.00,3000.00,M,M,M,KGTB 011257Z AUTO 33006KT 10SM FEW003 OVC030 01/00 A2991 RMK AO2
GTB,2017-04-01 12:58,-75.7195,44.0556,33.80,32.00,93.03,330.00,7.00,0.00,29.91,1013.60,10.00,M,FEW,OVC,M,M,300.00,3000.00,M,M,M,KGTB 011258Z AUTO 33007KT 10SM FEW003 OVC030 01/00 A2991 RMK AO2 SLP136
GTB,2017-04-01 13:08,-75.7195,44.0556,32.00,32.00,100.00,350.00,5.00,0.00,29.91,M,2.50,M,BKN,OVC,M,M,200.00,3000.00,M,M,BR,KGTB 011308Z AUTO 35005KT 2 1/2SM BR BKN002 OVC030 00/00 A2991 RMK AO2 VIS 2 1/2V10 CIG 002V030 BKN V FEW
GTB,2017-04-01 13:18,-75.7195,44.0556,32.00,32.00,100.00,350.00,5.00,0.00,29.91,M,7.00,M,BKN,OVC,M,M,200.00,3000.00,M,M,M,KGTB 011318Z AUTO 35005KT 7SM BKN002 OVC030 00/00 A2991 RMK AO2
GTB,2017-04-01 13:58,-75.7195,44.0556,34.20,32.90,94.93,10.00,5.00,0.00,29.93,1014.30,10.00,M,OVC,M,M,M,200.00,M,M,M,M,KGTB 011358Z AUTO 01005KT 10SM OVC002 01/01 A2993 RMK AO2 SLP143 T00120005
GTB,2017-04-01 14:33,-75.7195,44.0556,35.60,32.00,86.59,10.00,5.00,0.00,29.94,M,10.00,M,OVC,M,M,M,300.00,M,M,M,M,KGTB 011433Z AUTO 01005KT 10SM OVC003 02/00 A2994 RMK AO2
GTB,2017-04-01 14:58,-75.7195,44.0556,35.10,33.60,94.19,20.00,6.00,0.00,29.94,1014.60,10.00,M,OVC,M,M,M,300.00,M,M,M,M,KGTB 011458Z AUTO 02006KT 10SM OVC003 02/01 A2994 RMK AO2 SLP146 T00170009 52021
GTB,2017-04-01 15:08,-75.7195,44.0556,35.60,32.00,86.59,10.00,4.00,0.00,29.94,M,10.00,M,OVC,M,M,M,400.00,M,M,M,M,KGTB 011508Z AUTO 01004KT 10SM OVC004 02/00 A2994 RMK AO2
GTB,2017-04-01 15:48,-75.7195,44.0556,35.60,32.00,86.59,0.00,0.00,0.00,29.94,M,10.00,M,OVC,M,M,M,500.00,M,M,M,M,KGTB 011548Z AUTO 00000KT 10SM OVC005 02/00 A2994 RMK AO2
GTB,2017-04-01 15:58,-75.7195,44.0556,36.10,33.10,88.73,50.00,3.00,0.00,29.94,1014.60,10.00,M,OVC,M,M,M,500.00,M,M,M,M,KGTB 011558Z AUTO 05003KT 10SM OVC005 02/01 A2994 RMK AO2 SLP146 T00230006
GTB,2017-04-01 16:03,-75.7195,44.0556,35.60,32.00,86.59,10.00,4.00,0.00,29.94,M,10.00,M,OVC,M,M,M,600.00,M,M,M,M,KGTB 011603Z AUTO 01004KT 10SM OVC006 02/00 A2994 RMK AO2
GTB,2017-04-01 16:28,-75.7195,44.0556,37.40,32.00,80.65,330.00,4.00,0.00,29.95,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KGTB 011628Z AUTO 33004KT 10SM OVC007 03/00 A2995 RMK AO2
GTB,2017-04-01 16:58,-75.7195,44.0556,37.20,33.40,85.99,330.00,6.00,0.00,29.95,1014.90,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KGTB 011658Z AUTO 33006KT 10SM OVC007 03/01 A2995 RMK AO2 SLP149 T00290008
GTB,2017-04-01 17:03,-75.7195,44.0556,37.40,32.00,80.65,350.00,6.00,0.00,29.95,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,KGTB 011703Z AUTO 35006KT 10SM OVC008 03/00 A2995 RMK AO2
GTB,2017-04-01 17:18,-75.7195,44.0556,37.40,33.80,86.69,330.00,6.00,0.00,29.95,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KGTB 011718Z AUTO 33006KT 10SM OVC007 03/01 A2995 RMK AO2
GTB,2017-04-01 17:53,-75.7195,44.0556,37.40,32.00,80.65,330.00,6.00,0.00,29.96,M,10.00,M,OVC,M,M,M,600.00,M,M,M,M,KGTB 011753Z AUTO 33006KT 10SM OVC006 03/00 A2996 RMK AO2
GTB,2017-04-01 17:58,-75.7195,44.0556,36.90,33.40,87.01,320.00,5.00,0.00,29.96,M,10.00,M,OVC,M,M,M,600.00,M,M,M,M,KGTB 011758Z AUTO 32005KT 10SM OVC006 03/01 A2996 RMK AO2 SLPNO T00270008 10030 20009 53006
GTB,2017-04-01 18:33,-75.7195,44.0556,37.40,32.00,80.65,320.00,7.00,0.00,29.96,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KGTB 011833Z AUTO 32007KT 10SM OVC007 03/00 A2996 RMK AO2
GTB,2017-04-01 18:38,-75.7195,44.0556,37.40,32.00,80.65,320.00,6.00,0.00,29.96,M,10.00,M,OVC,M,M,M,600.00,M,M,M,M,KGTB 011838Z AUTO 32006KT 10SM OVC006 03/00 A2996 RMK AO2
GTB,2017-04-01 18:58,-75.7195,44.0556,36.50,33.80,89.83,350.00,6.00,0.00,29.97,M,10.00,M,OVC,M,M,M,600.00,M,M,M,M,KGTB 011858Z AUTO 35006KT 10SM OVC006 03/01 A2997 RMK AO2 SLPNO T00250010
GTB,2017-04-01 19:23,-75.7195,44.0556,35.60,32.00,86.59,340.00,7.00,0.00,29.97,M,10.00,M,OVC,M,M,M,500.00,M,M,M,M,KGTB 011923Z AUTO 34007KT 10SM OVC005 02/00 A2997 RMK AO2
GTB,2017-04-01 19:33,-75.7195,44.0556,35.60,32.00,86.59,340.00,7.00,0.00,29.97,M,10.00,M,OVC,M,M,M,400.00,M,M,M,M,KGTB 011933Z AUTO 34007KT 10SM OVC004 02/00 A2997 RMK AO2
GTB,2017-04-01 19:55,-75.7195,44.0556,35.60,32.00,86.59,340.00,6.00,0.00,29.98,M,10.00,M,OVC,M,M,M,400.00,M,M,M,UP,KGTB 011955Z AUTO 34006KT 10SM UP OVC004 02/00 A2998 RMK AO2 UPB55
GTB,2017-04-01 19:58,-75.7195,44.0556,35.80,33.40,90.88,350.00,5.00,0.00,29.98,M,10.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KGTB 011958Z AUTO 35005KT 10SM -RA OVC004 02/01 A2998 RMK AO2 UPB55E56RAB56 SLPNO P0000 T00210008
GTB,2017-04-01 20:18,-75.7195,44.0556,35.60,32.00,86.59,340.00,6.00,0.00,29.99,M,10.00,M,OVC,M,M,M,500.00,M,M,M,-RA,KGTB 012018Z AUTO 34006KT 10SM -RA OVC005 02/00 A2999 RMK AO2
GTB,2017-04-01 20:36,-75.7195,44.0556,35.60,32.00,86.59,360.00,7.00,0.00,29.99,M,10.00,M,OVC,M,M,M,500.00,M,M,M,M,KGTB 012036Z AUTO 36007KT 10SM OVC005 02/00 A2999 RMK AO2 RAE21DZB21E36
GTB,2017-04-01 20:58,-75.7195,44.0556,35.40,33.10,91.23,340.00,7.00,0.00,30.00,M,10.00,M,OVC,M,M,M,500.00,M,M,M,M,KGTB 012058Z AUTO 34007KT 10SM OVC005 02/01 A3000 RMK AO2 RAE21DZB21E36 SLPNO P0000 60000 T00190006 52013
GTB,2017-04-01 21:13,-75.7195,44.0556,35.60,32.00,86.59,360.00,5.00,0.00,30.01,M,10.00,M,OVC,M,M,M,600.00,M,M,M,M,KGTB 012113Z AUTO 36005KT 10SM OVC006 02/00 A3001 RMK AO2
GTB,2017-04-01 21:38,-75.7195,44.0556,35.60,32.00,86.59,330.00,5.00,0.00,30.01,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KGTB 012138Z AUTO 33005KT 10SM OVC007 02/00 A3001 RMK AO2
GTB,2017-04-01 21:58,-75.7195,44.0556,35.60,32.40,88.00,350.00,6.00,0.00,30.02,1017.40,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KGTB 012158Z AUTO 35006KT 10SM OVC007 02/00 A3002 RMK AO2 SLP174 T00200002
GTB,2017-04-01 22:53,-75.7195,44.0556,35.60,32.00,86.59,340.00,4.00,0.00,30.04,M,10.00,M,SCT,OVC,M,M,700.00,1200.00,M,M,M,KGTB 012253Z AUTO 34004KT 10SM SCT007 OVC012 02/00 A3004 RMK AO2 CIG 007V012
GTB,2017-04-01 22:58,-75.7195,44.0556,35.20,32.00,87.98,340.00,4.00,0.00,30.04,1018.00,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KGTB 012258Z AUTO 34004KT 10SM OVC010 02/00 A3004 RMK AO2 CIG 007V012 SLP180 T00180000
GTB,2017-04-01 23:08,-75.7195,44.0556,35.60,32.00,86.59,320.00,3.00,0.00,30.04,M,10.00,M,BKN,OVC,M,M,900.00,1300.00,M,M,M,KGTB 012308Z AUTO 32003KT 10SM BKN009 OVC013 02/00 A3004 RMK AO2
GTB,2017-04-01 23:18,-75.7195,44.0556,35.60,32.00,86.59,310.00,4.00,0.00,30.04,M,10.00,M,BKN,OVC,M,M,1000.00,1700.00,M,M,M,KGTB 012318Z AUTO 31004KT 10SM BKN010 OVC017 02/00 A3004 RMK AO2
GTB,2017-04-01 23:58,-75.7195,44.0556,35.20,32.00,87.98,0.00,0.00,0.00,30.04,1018.00,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KGTB 012358Z AUTO 00000KT 10SM OVC012 02/00 A3004 RMK AO2 CIG 009 RWY21 SLP180 60000 T00180000 10029 20017 51013
