#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
GTR,2017-04-01 00:00,-88.5914,33.4503,M,M,M,10.00,6.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010000Z AUTO 01006KT 10SM CLR A2984 RMK MADISHF
GTR,2017-04-01 00:05,-88.5914,33.4503,M,M,M,10.00,4.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010005Z AUTO 01004KT 10SM CLR A2985 RMK MADISHF
GTR,2017-04-01 00:10,-88.5914,33.4503,M,M,M,10.00,4.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010010Z AUTO 01004KT 10SM CLR A2984 RMK MADISHF
GTR,2017-04-01 00:15,-88.5914,33.4503,M,M,M,10.00,4.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010015Z AUTO 01004KT 10SM CLR A2984 RMK MADISHF
GTR,2017-04-01 00:20,-88.5914,33.4503,M,M,M,10.00,4.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010020Z AUTO 01004KT 10SM CLR A2984 RMK MADISHF
GTR,2017-04-01 00:25,-88.5914,33.4503,M,M,M,10.00,3.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010025Z AUTO 01003KT 10SM CLR A2984 RMK MADISHF
GTR,2017-04-01 00:30,-88.5914,33.4503,M,M,M,10.00,4.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010030Z AUTO 01004KT 10SM CLR A2984 RMK MADISHF
GTR,2017-04-01 00:35,-88.5914,33.4503,M,M,M,10.00,3.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010035Z AUTO 01003KT 10SM CLR A2984 RMK MADISHF
GTR,2017-04-01 00:40,-88.5914,33.4503,M,M,M,10.00,3.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010040Z AUTO 01003KT 10SM CLR A2984 RMK MADISHF
GTR,2017-04-01 00:45,-88.5914,33.4503,M,M,M,10.00,4.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010045Z AUTO 01004KT 10SM CLR A2985 RMK MADISHF
GTR,2017-04-01 00:50,-88.5914,33.4503,M,M,M,10.00,3.00,M,29.85,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010050Z AUTO 01003KT 9SM CLR A2985 RMK MADISHF
GTR,2017-04-01 00:55,-88.5914,33.4503,M,M,M,10.00,3.00,M,29.85,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010055Z AUTO 01003KT 9SM CLR A2985 RMK MADISHF
GTR,2017-04-01 01:00,-88.5914,33.4503,M,M,M,0.00,0.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010100Z AUTO 00000KT 10SM CLR A2985 RMK MADISHF
GTR,2017-04-01 01:05,-88.5914,33.4503,M,M,M,0.00,0.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010105Z AUTO 00000KT 10SM CLR A2985 RMK MADISHF
GTR,2017-04-01 01:10,-88.5914,33.4503,M,M,M,0.00,0.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010110Z AUTO 00000KT 10SM CLR A2986 RMK MADISHF
GTR,2017-04-01 01:15,-88.5914,33.4503,M,M,M,0.00,0.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010115Z AUTO 00000KT 10SM CLR A2986 RMK MADISHF
GTR,2017-04-01 01:20,-88.5914,33.4503,M,M,M,0.00,0.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010120Z AUTO 00000KT 10SM CLR A2986 RMK MADISHF
GTR,2017-04-01 01:25,-88.5914,33.4503,M,M,M,0.00,0.00,M,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010125Z AUTO 00000KT 10SM CLR A2986 RMK MADISHF
GTR,2017-04-01 01:30,-88.5914,33.4503,M,M,M,0.00,0.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010130Z AUTO 00000KT 10SM CLR A2987 RMK MADISHF
GTR,2017-04-01 01:35,-88.5914,33.4503,M,M,M,0.00,0.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010135Z AUTO 00000KT 10SM CLR A2987 RMK MADISHF
GTR,2017-04-01 01:40,-88.5914,33.4503,M,M,M,0.00,0.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010140Z AUTO 00000KT 10SM CLR A2987 RMK MADISHF
GTR,2017-04-01 01:45,-88.5914,33.4503,M,M,M,0.00,0.00,M,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010145Z AUTO 00000KT 10SM CLR A2987 RMK MADISHF
GTR,2017-04-01 01:50,-88.5914,33.4503,M,M,M,0.00,0.00,M,29.87,M,8.00,M,CLR,M,M,M,M,M,M,M,M,KGTR 010150Z AUTO 00000KT 8SM CLR A2987 RMK MADISHF
