#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
HAE,2017-04-01 00:15,-91.4439,39.7252,42.80,35.60,75.50,360.00,4.00,0.00,30.03,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010015Z AUTO 36004KT 10SM OVC015 06/02 A3003 RMK AO2
HAE,2017-04-01 00:35,-91.4439,39.7252,42.80,35.60,75.50,20.00,5.00,0.00,30.04,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010035Z AUTO 02005KT 10SM OVC015 06/02 A3004 RMK AO2
HAE,2017-04-01 00:55,-91.4439,39.7252,42.80,35.60,75.50,360.00,5.00,0.00,30.04,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010055Z AUTO 36005KT 10SM OVC015 06/02 A3004 RMK AO2
HAE,2017-04-01 01:15,-91.4439,39.7252,42.80,35.60,75.50,360.00,5.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010115Z AUTO 36005KT 10SM OVC015 06/02 A3006 RMK AO2
HAE,2017-04-01 01:35,-91.4439,39.7252,42.80,35.60,75.50,10.00,3.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010135Z AUTO 01003KT 10SM OVC015 06/02 A3006 RMK AO2
HAE,2017-04-01 01:55,-91.4439,39.7252,42.80,35.60,75.50,360.00,4.00,0.00,30.08,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010155Z AUTO 36004KT 10SM OVC015 06/02 A3008 RMK AO2
HAE,2017-04-01 02:15,-91.4439,39.7252,42.80,33.80,70.28,30.00,5.00,0.00,30.09,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010215Z AUTO 03005KT 10SM OVC015 06/01 A3009 RMK AO2
HAE,2017-04-01 02:35,-91.4439,39.7252,42.80,33.80,70.28,40.00,4.00,0.00,30.10,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010235Z AUTO 04004KT 10SM OVC015 06/01 A3010 RMK AO2
HAE,2017-04-01 02:55,-91.4439,39.7252,42.80,35.60,75.50,20.00,4.00,0.00,30.10,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010255Z AUTO 02004KT 10SM OVC015 06/02 A3010 RMK AO2
HAE,2017-04-01 03:15,-91.4439,39.7252,42.80,35.60,75.50,0.00,0.00,0.00,30.11,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010315Z AUTO 00000KT 10SM OVC015 06/02 A3011 RMK AO2
HAE,2017-04-01 03:35,-91.4439,39.7252,42.80,35.60,75.50,30.00,4.00,0.00,30.11,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010335Z AUTO 03004KT 10SM OVC015 06/02 A3011 RMK AO2
HAE,2017-04-01 03:55,-91.4439,39.7252,42.80,35.60,75.50,30.00,5.00,0.00,30.10,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010355Z AUTO 03005KT 10SM OVC015 06/02 A3010 RMK AO2
HAE,2017-04-01 04:15,-91.4439,39.7252,42.80,35.60,75.50,30.00,4.00,0.00,30.10,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010415Z AUTO 03004KT 10SM OVC015 06/02 A3010 RMK AO2
HAE,2017-04-01 04:35,-91.4439,39.7252,42.80,35.60,75.50,50.00,6.00,0.00,30.11,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010435Z AUTO 05006KT 10SM OVC015 06/02 A3011 RMK AO2
HAE,2017-04-01 04:55,-91.4439,39.7252,42.80,35.60,75.50,60.00,3.00,0.00,30.11,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010455Z AUTO 06003KT 10SM OVC015 06/02 A3011 RMK AO2
HAE,2017-04-01 05:15,-91.4439,39.7252,42.80,35.60,75.50,50.00,4.00,0.00,30.12,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010515Z AUTO 05004KT 10SM OVC015 06/02 A3012 RMK AO2
HAE,2017-04-01 05:35,-91.4439,39.7252,42.80,33.80,70.28,40.00,5.00,0.00,30.13,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010535Z AUTO 04005KT 10SM OVC015 06/01 A3013 RMK AO2
HAE,2017-04-01 05:55,-91.4439,39.7252,42.80,33.80,70.28,0.00,0.00,0.00,30.14,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010555Z AUTO 00000KT 10SM OVC015 06/01 A3014 RMK AO2
HAE,2017-04-01 06:15,-91.4439,39.7252,42.80,35.60,75.50,0.00,0.00,0.00,30.14,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010615Z AUTO 00000KT 10SM OVC015 06/02 A3014 RMK AO2
HAE,2017-04-01 06:35,-91.4439,39.7252,42.80,33.80,70.28,60.00,4.00,0.00,30.15,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010635Z AUTO 06004KT 10SM OVC015 06/01 A3015 RMK AO2 LTG DSNT W
HAE,2017-04-01 06:55,-91.4439,39.7252,42.80,35.60,75.50,0.00,0.00,0.00,30.15,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010655Z AUTO 00000KT 10SM OVC015 06/02 A3015 RMK AO2
HAE,2017-04-01 07:15,-91.4439,39.7252,42.80,33.80,70.28,0.00,0.00,0.00,30.15,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010715Z AUTO 00000KT 10SM OVC015 06/01 A3015 RMK AO2
HAE,2017-04-01 07:35,-91.4439,39.7252,42.80,33.80,70.28,0.00,0.00,0.00,30.15,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010735Z AUTO 00000KT 10SM OVC015 06/01 A3015 RMK AO2
HAE,2017-04-01 07:55,-91.4439,39.7252,42.80,35.60,75.50,0.00,0.00,0.00,30.15,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010755Z AUTO 00000KT 10SM OVC015 06/02 A3015 RMK AO2
HAE,2017-04-01 08:15,-91.4439,39.7252,42.80,35.60,75.50,0.00,0.00,0.00,30.16,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010815Z AUTO 00000KT 10SM OVC015 06/02 A3016 RMK AO2
HAE,2017-04-01 08:35,-91.4439,39.7252,42.80,35.60,75.50,0.00,0.00,0.00,30.16,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KHAE 010835Z AUTO 00000KT 10SM OVC015 06/02 A3016 RMK AO2 LTG DSNT W
HAE,2017-04-01 08:55,-91.4439,39.7252,42.80,35.60,75.50,0.00,0.00,0.00,30.16,M,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,KHAE 010855Z AUTO 00000KT 10SM OVC017 06/02 A3016 RMK AO2
HAE,2017-04-01 09:15,-91.4439,39.7252,41.00,35.60,80.93,0.00,0.00,0.00,30.17,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KHAE 010915Z AUTO 00000KT 10SM OVC019 05/02 A3017 RMK AO2
HAE,2017-04-01 09:35,-91.4439,39.7252,41.00,35.60,80.93,0.00,0.00,0.00,30.18,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KHAE 010935Z AUTO 00000KT 10SM OVC019 05/02 A3018 RMK AO2
HAE,2017-04-01 09:55,-91.4439,39.7252,41.00,35.60,80.93,0.00,0.00,0.00,30.18,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KHAE 010955Z AUTO 00000KT 10SM OVC019 05/02 A3018 RMK AO2
HAE,2017-04-01 10:15,-91.4439,39.7252,41.00,35.60,80.93,360.00,3.00,0.00,30.18,M,10.00,M,BKN,M,M,M,1900.00,M,M,M,M,KHAE 011015Z AUTO 36003KT 10SM BKN019 05/02 A3018 RMK AO2
HAE,2017-04-01 10:35,-91.4439,39.7252,41.00,35.60,80.93,0.00,0.00,0.00,30.18,M,10.00,M,SCT,M,M,M,1700.00,M,M,M,M,KHAE 011035Z AUTO 00000KT 10SM SCT017 05/02 A3018 RMK AO2
HAE,2017-04-01 10:55,-91.4439,39.7252,37.40,35.60,93.14,0.00,0.00,0.00,30.18,M,10.00,M,BKN,M,M,M,1700.00,M,M,M,M,KHAE 011055Z AUTO 00000KT 10SM BKN017 03/02 A3018 RMK AO2 LTG DSNT W
HAE,2017-04-01 11:15,-91.4439,39.7252,39.20,35.60,86.79,0.00,0.00,0.00,30.19,M,10.00,M,SCT,M,M,M,1700.00,M,M,M,M,KHAE 011115Z AUTO 00000KT 10SM SCT017 04/02 A3019 RMK AO2
HAE,2017-04-01 11:35,-91.4439,39.7252,39.20,35.60,86.79,0.00,0.00,0.00,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHAE 011135Z AUTO 00000KT 10SM CLR 04/02 A3020 RMK AO2
HAE,2017-04-01 11:55,-91.4439,39.7252,37.40,35.60,93.14,0.00,0.00,0.00,30.20,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KHAE 011155Z AUTO 00000KT 7SM CLR 03/02 A3020 RMK AO2
HAE,2017-04-01 12:15,-91.4439,39.7252,39.20,35.60,86.79,0.00,0.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHAE 011215Z AUTO 00000KT 10SM CLR 04/02 A3021 RMK AO2
HAE,2017-04-01 12:35,-91.4439,39.7252,39.20,35.60,86.79,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHAE 011235Z AUTO 00000KT 10SM CLR 04/02 A3023 RMK AO2
HAE,2017-04-01 12:55,-91.4439,39.7252,41.00,35.60,80.93,0.00,0.00,0.00,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHAE 011255Z AUTO 00000KT 10SM CLR 05/02 A3024 RMK AO2 LTG DSNT W
HAE,2017-04-01 13:15,-91.4439,39.7252,41.00,35.60,80.93,0.00,0.00,0.00,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHAE 011315Z AUTO 00000KT 10SM CLR 05/02 A3024 RMK AO2
HAE,2017-04-01 13:35,-91.4439,39.7252,42.80,35.60,75.50,60.00,3.00,0.00,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHAE 011335Z AUTO 06003KT 10SM CLR 06/02 A3024 RMK AO2
HAE,2017-04-01 13:55,-91.4439,39.7252,42.80,35.60,75.50,360.00,3.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHAE 011355Z AUTO 36003KT 10SM CLR 06/02 A3025 RMK AO2
HAE,2017-04-01 14:15,-91.4439,39.7252,44.60,35.60,70.48,0.00,0.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHAE 011415Z AUTO 00000KT 10SM CLR 07/02 A3025 RMK AO2
HAE,2017-04-01 14:35,-91.4439,39.7252,44.60,35.60,70.48,20.00,4.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHAE 011435Z AUTO 02004KT 10SM CLR 07/02 A3025 RMK AO2
