#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
HBI,2017-04-01 00:15,-79.8948,35.6545,M,M,M,300.00,7.00,0.00,29.76,M,M,M,M,M,M,M,M,M,M,M,M,KHBI 010015Z AUTO 30007KT A2976 RMK AO2 PWINO
HBI,2017-04-01 00:35,-79.8948,35.6545,63.30,41.50,44.80,300.00,6.00,0.00,29.77,M,10.00,M,BKN,BKN,BKN,M,7000.00,8000.00,9000.00,M,M,KHBI 010035Z AUTO 30006KT 10SM BKN070 BKN080 BKN090 17/05 A2977 RMK AO2 T01740053
HBI,2017-04-01 00:55,-79.8948,35.6545,62.80,41.50,45.60,310.00,9.00,0.00,29.78,M,10.00,M,SCT,SCT,M,M,7000.00,8000.00,M,M,M,KHBI 010055Z AUTO 31009KT 10SM SCT070 SCT080 17/05 A2978 RMK AO2 T01710053
HBI,2017-04-01 01:15,-79.8948,35.6545,61.70,41.90,48.14,300.00,6.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHBI 010115Z AUTO 30006KT 10SM CLR 17/06 A2979 RMK AO2 T01650055
HBI,2017-04-01 01:35,-79.8948,35.6545,61.30,41.50,48.08,300.00,6.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHBI 010135Z AUTO 30006KT 10SM CLR 16/05 A2980 RMK AO2 T01630053
HBI,2017-04-01 01:55,-79.8948,35.6545,60.80,41.40,48.75,300.00,4.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHBI 010155Z AUTO 30004KT 10SM CLR 16/05 A2982 RMK AO2 T01600052
HBI,2017-04-01 02:15,-79.8948,35.6545,60.30,41.50,49.82,290.00,4.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHBI 010215Z AUTO 29004KT 10SM CLR 16/05 A2983 RMK AO2 T01570053
HBI,2017-04-01 02:35,-79.8948,35.6545,59.40,41.70,51.84,310.00,3.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHBI 010235Z AUTO 31003KT 10SM CLR 15/05 A2983 RMK AO2 T01520054
HBI,2017-04-01 02:55,-79.8948,35.6545,59.00,41.90,52.99,300.00,6.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHBI 010255Z AUTO 30006KT 10SM CLR 15/06 A2984 RMK AO2 T01500055
HBI,2017-04-01 03:15,-79.8948,35.6545,58.60,42.10,54.17,300.00,4.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHBI 010315Z AUTO 30004KT 10SM CLR 15/06 A2984 RMK AO2 T01480056
