#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
HGR,2017-04-01 00:00,-77.7297,39.7078,M,M,M,310.00,6.00,M,29.68,M,10.00,M,OVC,M,M,M,499.00,M,M,M,M,KHGR 010000Z AUTO 31006KT 10SM OVC004 A2968 RMK MADISHF
HGR,2017-04-01 00:05,-77.7297,39.7078,M,M,M,290.00,6.00,M,29.68,M,9.00,M,OVC,M,M,M,499.00,M,M,M,M,KHGR 010005Z AUTO 29006KT 9SM OVC004 A2968 RMK MADISHF
HGR,2017-04-01 00:10,-77.7297,39.7078,M,M,M,280.00,5.00,M,29.69,M,9.00,M,OVC,M,M,M,600.00,M,M,M,M,KHGR 010010Z AUTO 28005KT 9SM OVC006 A2969 RMK MADISHF
HGR,2017-04-01 00:15,-77.7297,39.7078,M,M,M,300.00,5.00,M,29.68,M,9.00,M,OVC,M,M,M,600.00,M,M,M,M,KHGR 010015Z AUTO 30005KT 9SM OVC006 A2968 RMK MADISHF
HGR,2017-04-01 00:20,-77.7297,39.7078,M,M,M,310.00,6.00,M,29.69,M,8.00,M,OVC,M,M,M,600.00,M,M,M,M,KHGR 010020Z AUTO 31006KT 8SM OVC006 A2969 RMK MADISHF
HGR,2017-04-01 00:25,-77.7297,39.7078,M,M,M,350.00,3.00,M,29.68,M,8.00,M,OVC,M,M,M,600.00,M,M,M,M,KHGR 010025Z AUTO 35003KT 8SM OVC006 A2968 RMK MADISHF
HGR,2017-04-01 00:30,-77.7297,39.7078,M,M,M,350.00,3.00,M,29.68,M,8.00,M,OVC,M,M,M,499.00,M,M,M,M,KHGR 010030Z AUTO 35003KT 8SM OVC004 A2968 RMK MADISHF
HGR,2017-04-01 00:35,-77.7297,39.7078,M,M,M,10.00,4.00,M,29.68,M,8.00,M,OVC,M,M,M,499.00,M,M,M,M,KHGR 010035Z AUTO 01004KT 8SM OVC004 A2968 RMK MADISHF
HGR,2017-04-01 00:40,-77.7297,39.7078,M,M,M,10.00,3.00,M,29.68,M,8.00,M,OVC,M,M,M,499.00,M,M,M,M,KHGR 010040Z AUTO 01003KT 8SM OVC004 A2968 RMK MADISHF
HGR,2017-04-01 00:45,-77.7297,39.7078,M,M,M,20.00,4.00,M,29.68,M,7.00,M,OVC,M,M,M,499.00,M,M,M,M,KHGR 010045Z AUTO 02004KT 7SM OVC004 A2968 RMK MADISHF
HGR,2017-04-01 00:50,-77.7297,39.7078,M,M,M,40.00,3.00,M,29.68,M,7.00,M,OVC,M,M,M,499.00,M,M,M,M,KHGR 010050Z AUTO 04003KT 7SM OVC004 A2968 RMK MADISHF
HGR,2017-04-01 00:53,-77.7297,39.7078,43.00,41.00,92.58,40.00,4.00,0.00,29.68,1006.30,6.00,M,OVC,M,M,M,500.00,M,M,M,BR,KHGR 010053Z 04004KT 6SM BR OVC005 06/05 A2968 RMK AO2 SLP063 T00610050
HGR,2017-04-01 00:55,-77.7297,39.7078,M,M,M,40.00,3.00,M,29.68,M,6.00,M,OVC,M,M,M,499.00,M,M,M,BR,KHGR 010055Z AUTO 04003KT 6SM BR OVC004 A2968 RMK MADISHF
HGR,2017-04-01 01:00,-77.7297,39.7078,M,M,M,20.00,3.00,M,29.68,M,6.00,M,OVC,M,M,M,499.00,M,M,M,BR,KHGR 010100Z AUTO 02003KT 6SM BR OVC004 A2968 RMK MADISHF
HGR,2017-04-01 01:05,-77.7297,39.7078,M,M,M,0.00,0.00,M,29.68,M,6.00,M,OVC,M,M,M,499.00,M,M,M,BR,KHGR 010105Z AUTO 00000KT 6SM BR OVC004 A2968 RMK MADISHF
HGR,2017-04-01 01:10,-77.7297,39.7078,M,M,M,360.00,3.00,M,29.68,M,5.00,M,BKN,OVC,M,M,499.00,1100.00,M,M,BR,KHGR 010110Z AUTO 36003KT 5SM BR BKN004 OVC011 A2968 RMK MADISHF
HGR,2017-04-01 01:15,-77.7297,39.7078,M,M,M,10.00,3.00,M,29.67,M,5.00,M,BKN,OVC,M,M,499.00,1100.00,M,M,BR,KHGR 010115Z AUTO 01003KT 5SM BR BKN004 OVC011 A2967 RMK MADISHF
HGR,2017-04-01 01:20,-77.7297,39.7078,M,M,M,340.00,4.00,M,29.68,M,6.00,M,BKN,OVC,M,M,499.00,1100.00,M,M,BR,KHGR 010120Z AUTO 34004KT 6SM BR BKN004 OVC011 A2968 RMK MADISHF
