#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
HIE,2017-04-01 00:00,-71.5445,44.3676,M,M,M,0.00,0.00,M,30.00,M,1.25,M,OVC,M,M,M,1500.00,M,M,M,-SN BR,KHIE 010000Z AUTO 00000KT 1 1/2SM -SN BR OVC015 A3000 RMK MADISHF
HIE,2017-04-01 00:05,-71.5445,44.3676,M,M,M,110.00,4.00,M,30.00,M,1.50,M,OVC,M,M,M,1500.00,M,M,M,-SN BR,KHIE 010005Z AUTO 11004KT 1 1/2SM -SN BR OVC015 A3000 RMK MADISHF
HIE,2017-04-01 00:10,-71.5445,44.3676,M,M,M,70.00,4.00,M,30.00,M,1.50,M,OVC,M,M,M,1600.00,M,M,M,-SN,KHIE 010010Z AUTO 07004KT 1 1/2SM -SN OVC016 A3000 RMK MADISHF
HIE,2017-04-01 00:15,-71.5445,44.3676,M,M,M,70.00,4.00,M,30.00,M,1.25,M,OVC,M,M,M,1600.00,M,M,M,-SN,KHIE 010015Z AUTO 07004KT 1 1/2SM -SN OVC016 A3000 RMK MADISHF
HIE,2017-04-01 00:20,-71.5445,44.3676,M,M,M,70.00,5.00,M,30.00,M,1.25,M,OVC,M,M,M,1800.00,M,M,M,-SN,KHIE 010020Z AUTO 07005KT 1 1/2SM -SN OVC018 A3000 RMK MADISHF
HIE,2017-04-01 00:25,-71.5445,44.3676,M,M,M,0.00,0.00,M,30.00,M,1.25,M,OVC,M,M,M,1800.00,M,M,M,-SN BR,KHIE 010025Z AUTO 00000KT 1 1/2SM -SN BR OVC018 A3000 RMK MADISHF
HIE,2017-04-01 00:30,-71.5445,44.3676,M,M,M,0.00,0.00,M,30.00,M,1.25,M,OVC,M,M,M,1800.00,M,M,M,-SN BR,KHIE 010030Z AUTO 00000KT 1 1/2SM -SN BR OVC018 A3000 RMK MADISHF
HIE,2017-04-01 00:35,-71.5445,44.3676,M,M,M,0.00,0.00,M,30.00,M,1.00,M,VV ,M,M,M,1699.00,M,M,M,-SN BR,KHIE 010035Z AUTO 00000KT 1SM -SN BR VV016 A3000 RMK MADISHF
HIE,2017-04-01 00:38,-71.5445,44.3676,32.00,28.00,84.98,0.00,0.00,0.00,30.00,M,1.00,M,VV ,M,M,M,1700.00,M,M,M,-SN BR,KHIE 010038Z AUTO 00000KT 1SM -SN BR VV017 00/M02 A3000 RMK AO2 P0000 T00001022
HIE,2017-04-01 00:40,-71.5445,44.3676,M,M,M,280.00,3.00,M,30.00,M,1.00,M,VV ,M,M,M,1699.00,M,M,M,-SN BR,KHIE 010040Z AUTO 28003KT 1SM -SN BR VV016 A3000 RMK MADISHF
HIE,2017-04-01 00:45,-71.5445,44.3676,M,M,M,280.00,4.00,M,30.00,M,1.00,M,VV ,M,M,M,1600.00,M,M,M,-SN BR,KHIE 010045Z AUTO 28004KT 1SM -SN BR VV016 A3000 RMK MADISHF
HIE,2017-04-01 00:50,-71.5445,44.3676,M,M,M,330.00,3.00,M,30.01,M,1.00,M,VV ,M,M,M,1600.00,M,M,M,-SN BR,KHIE 010050Z AUTO 33003KT 1SM -SN BR VV016 A3001 RMK MADISHF
HIE,2017-04-01 00:52,-71.5445,44.3676,32.00,28.90,88.17,340.00,3.00,0.00,30.01,1017.40,1.00,M,VV ,M,M,M,1500.00,M,M,M,-SN BR,KHIE 010052Z AUTO 34003KT 1SM -SN BR VV015 00/M02 A3001 RMK AO2 SLP174 P0000 T00001017
HIE,2017-04-01 00:55,-71.5445,44.3676,M,M,M,320.00,4.00,M,30.01,M,1.00,M,OVC,M,M,M,1500.00,M,M,M,-SN BR,KHIE 010055Z AUTO 32004KT 1SM -SN BR OVC015 A3001 RMK MADISHF
HIE,2017-04-01 01:00,-71.5445,44.3676,M,M,M,310.00,4.00,M,30.01,M,1.00,M,OVC,M,M,M,1500.00,M,M,M,-SN BR,KHIE 010100Z AUTO 31004KT 1SM -SN BR OVC015 A3001 RMK MADISHF
HIE,2017-04-01 01:05,-71.5445,44.3676,M,M,M,330.00,4.00,M,30.01,M,1.00,M,OVC,M,M,M,1500.00,M,M,M,-SN BR,KHIE 010105Z AUTO 33004KT 1SM -SN BR OVC015 A3001 RMK MADISHF
HIE,2017-04-01 01:10,-71.5445,44.3676,M,M,M,320.00,3.00,M,30.00,M,0.75,M,OVC,M,M,M,1500.00,M,M,M,-SN BR,KHIE 010110Z AUTO 32003KT 1SM -SN BR OVC015 A3000 RMK MADISHF
HIE,2017-04-01 01:12,-71.5445,44.3676,32.00,28.00,84.98,340.00,3.00,0.00,30.00,M,0.75,M,OVC,M,M,M,1300.00,M,M,M,-SN BR,KHIE 010112Z AUTO 34003KT 3/4SM -SN BR OVC013 00/M02 A3000 RMK AO2 P0000 T00001022
HIE,2017-04-01 01:15,-71.5445,44.3676,M,M,M,340.00,3.00,M,30.00,M,0.75,M,OVC,M,M,M,1300.00,M,M,M,-SN BR,KHIE 010115Z AUTO 34003KT 1SM -SN BR OVC013 A3000 RMK MADISHF
