#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
HKA,2017-04-01 00:00,-89.8300,35.9400,M,M,M,30.00,8.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010000Z AUTO 03008KT 10SM CLR A2993 RMK MADISHF
HKA,2017-04-01 00:05,-89.8300,35.9400,M,M,M,30.00,7.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010005Z AUTO 03007KT 10SM CLR A2993 RMK MADISHF
HKA,2017-04-01 00:10,-89.8300,35.9400,M,M,M,40.00,7.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010010Z AUTO 04007KT 10SM CLR A2993 RMK MADISHF
HKA,2017-04-01 00:15,-89.8300,35.9400,M,M,M,40.00,6.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010015Z AUTO 04006KT 10SM CLR A2993 RMK MADISHF
HKA,2017-04-01 00:20,-89.8300,35.9400,M,M,M,40.00,7.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010020Z AUTO 04007KT 10SM CLR A2994 RMK MADISHF
HKA,2017-04-01 00:25,-89.8300,35.9400,M,M,M,30.00,7.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010025Z AUTO 03007KT 10SM CLR A2994 RMK MADISHF
HKA,2017-04-01 00:30,-89.8300,35.9400,M,M,M,30.00,7.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010030Z AUTO 03007KT 10SM CLR A2994 RMK MADISHF
HKA,2017-04-01 00:35,-89.8300,35.9400,M,M,M,30.00,8.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010035Z AUTO 03008KT 10SM CLR A2994 RMK MADISHF
HKA,2017-04-01 00:40,-89.8300,35.9400,M,M,M,30.00,8.00,M,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010040Z AUTO 03008KT 10SM CLR A2995 RMK MADISHF
HKA,2017-04-01 00:45,-89.8300,35.9400,M,M,M,30.00,8.00,M,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010045Z AUTO 03008KT 10SM CLR A2995 RMK MADISHF
HKA,2017-04-01 00:50,-89.8300,35.9400,M,M,M,30.00,8.00,M,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010050Z AUTO 03008KT 10SM CLR A2995 RMK MADISHF
HKA,2017-04-01 00:53,-89.8300,35.9400,57.00,52.00,83.33,30.00,7.00,0.00,29.95,1014.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010053Z AUTO 03007KT 10SM CLR 14/11 A2995 RMK AO2 SLP143 T01390111
HKA,2017-04-01 00:55,-89.8300,35.9400,M,M,M,40.00,7.00,M,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010055Z AUTO 04007KT 10SM CLR A2995 RMK MADISHF
HKA,2017-04-01 01:00,-89.8300,35.9400,M,M,M,40.00,8.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010100Z AUTO 04008KT 10SM CLR A2996 RMK MADISHF
HKA,2017-04-01 01:05,-89.8300,35.9400,M,M,M,40.00,7.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010105Z AUTO 04007KT 10SM CLR A2996 RMK MADISHF
HKA,2017-04-01 01:10,-89.8300,35.9400,M,M,M,40.00,6.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010110Z AUTO 04006KT 10SM CLR A2996 RMK MADISHF
HKA,2017-04-01 01:15,-89.8300,35.9400,M,M,M,40.00,6.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010115Z AUTO 04006KT 10SM CLR A2996 RMK MADISHF
HKA,2017-04-01 01:20,-89.8300,35.9400,M,M,M,40.00,6.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010120Z AUTO 04006KT 10SM CLR A2996 RMK MADISHF
HKA,2017-04-01 01:25,-89.8300,35.9400,M,M,M,40.00,6.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010125Z AUTO 04006KT 10SM CLR A2996 RMK MADISHF
HKA,2017-04-01 01:30,-89.8300,35.9400,M,M,M,40.00,6.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010130Z AUTO 04006KT 10SM CLR A2996 RMK MADISHF
HKA,2017-04-01 01:35,-89.8300,35.9400,M,M,M,50.00,6.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010135Z AUTO 05006KT 10SM CLR A2996 RMK MADISHF
HKA,2017-04-01 01:40,-89.8300,35.9400,M,M,M,50.00,6.00,M,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010140Z AUTO 05006KT 10SM CLR A2997 RMK MADISHF
HKA,2017-04-01 01:45,-89.8300,35.9400,M,M,M,50.00,5.00,M,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHKA 010145Z AUTO 05005KT 10SM CLR A2997 RMK MADISHF
