#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
HMZ,2017-04-01 00:15,-78.5122,40.0853,41.00,39.70,95.08,130.00,3.00,0.00,29.66,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KHMZ 010015Z AUTO 13003KT 10SM OVC007 05/04 A2966 RMK AO2 T00500043
HMZ,2017-04-01 00:35,-78.5122,40.0853,41.00,39.70,95.08,130.00,4.00,0.00,29.65,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KHMZ 010035Z AUTO 13004KT 10SM OVC007 05/04 A2965 RMK AO2 T00500043
HMZ,2017-04-01 00:55,-78.5122,40.0853,41.20,40.10,95.83,0.00,0.00,0.00,29.65,M,5.00,M,OVC,M,M,M,700.00,M,M,M,BR,KHMZ 010055Z AUTO 00000KT 5SM BR OVC007 05/05 A2965 RMK AO2 T00510045
HMZ,2017-04-01 01:15,-78.5122,40.0853,41.20,40.10,95.83,0.00,0.00,0.00,29.66,M,5.00,M,OVC,M,M,M,500.00,M,M,M,BR,KHMZ 010115Z AUTO 00000KT 5SM BR OVC005 05/05 A2966 RMK AO2 T00510045
HMZ,2017-04-01 01:35,-78.5122,40.0853,41.40,40.10,95.09,0.00,0.00,0.00,29.66,M,7.00,M,OVC,M,M,M,500.00,M,M,M,M,KHMZ 010135Z AUTO 00000KT 7SM OVC005 05/05 A2966 RMK AO2 T00520045
HMZ,2017-04-01 01:55,-78.5122,40.0853,41.50,40.50,96.20,140.00,3.00,0.00,29.66,M,5.00,M,OVC,M,M,M,500.00,M,M,M,BR,KHMZ 010155Z AUTO 14003KT 5SM BR OVC005 05/05 A2966 RMK AO2 T00530047
HMZ,2017-04-01 02:15,-78.5122,40.0853,41.50,40.30,95.46,0.00,0.00,0.00,29.66,M,7.00,M,OVC,M,M,M,500.00,M,M,M,M,KHMZ 010215Z AUTO 00000KT 7SM OVC005 05/05 A2966 RMK AO2 T00530046
HMZ,2017-04-01 02:35,-78.5122,40.0853,41.70,40.50,95.46,20.00,3.00,0.00,29.66,M,5.00,M,OVC,M,M,M,500.00,M,M,M,BR,KHMZ 010235Z AUTO 02003KT 5SM BR OVC005 05/05 A2966 RMK AO2 T00540047
HMZ,2017-04-01 02:55,-78.5122,40.0853,42.10,41.00,95.84,350.00,4.00,0.01,29.66,M,3.00,M,BKN,OVC,M,M,500.00,2000.00,M,M,-SN,KHMZ 010255Z AUTO 35004KT 3SM -SN BKN005 OVC020 06/05 A2966 RMK AO2 P0001 60001 T00560050
HMZ,2017-04-01 03:15,-78.5122,40.0853,41.90,41.00,96.58,350.00,3.00,0.01,29.66,M,5.00,M,BKN,OVC,M,M,500.00,2000.00,M,M,-SN,KHMZ 010315Z AUTO 35003KT 5SM -SN BKN005 OVC020 06/05 A2966 RMK AO2 P0001 T00550050
