#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
HND,2017-04-01 00:00,-115.1344,35.9729,M,M,M,360.00,11.00,M,M,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KHND 010000Z AUTO 36011KT 10SM OVC075 RMK MADISHF
HND,2017-04-01 00:05,-115.1344,35.9729,M,M,M,360.00,12.00,M,M,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KHND 010005Z AUTO 36012KT 10SM OVC075 RMK MADISHF
HND,2017-04-01 00:10,-115.1344,35.9729,M,M,M,M,M,M,M,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KHND 010010Z AUTO /////KT 10SM OVC075 RMK MADISHF
HND,2017-04-01 00:15,-115.1344,35.9729,M,M,M,10.00,14.00,M,M,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KHND 010015Z AUTO 01014KT 10SM OVC075 RMK MADISHF
HND,2017-04-01 00:20,-115.1344,35.9729,M,M,M,M,M,M,M,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KHND 010020Z AUTO /////KT 10SM OVC075 RMK MADISHF
HND,2017-04-01 00:25,-115.1344,35.9729,M,M,M,M,M,M,M,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KHND 010025Z AUTO /////KT 10SM OVC075 RMK MADISHF
HND,2017-04-01 00:30,-115.1344,35.9729,M,M,M,360.00,12.00,M,M,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KHND 010030Z AUTO 36012KT 10SM OVC075 RMK MADISHF
HND,2017-04-01 00:35,-115.1344,35.9729,M,M,M,M,M,M,M,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KHND 010035Z AUTO /////KT 10SM OVC075 RMK MADISHF
HND,2017-04-01 00:40,-115.1344,35.9729,M,M,M,350.00,13.00,M,M,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KHND 010040Z AUTO 35013KT 10SM OVC079 RMK MADISHF
HND,2017-04-01 00:45,-115.1344,35.9729,M,M,M,M,M,M,M,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KHND 010045Z AUTO /////KT 10SM OVC075 RMK MADISHF
HND,2017-04-01 00:50,-115.1344,35.9729,M,M,M,10.00,14.00,M,M,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KHND 010050Z AUTO 01014KT 10SM OVC079 RMK MADISHF
HND,2017-04-01 00:55,-115.1344,35.9729,M,M,M,M,M,M,M,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KHND 010055Z AUTO /////KT 10SM OVC079 RMK MADISHF
HND,2017-04-01 00:56,-115.1344,35.9729,64.00,32.00,30.05,10.00,15.00,0.00,29.77,1007.50,10.00,M,OVC,M,M,M,8000.00,M,M,M,M,KHND 010056Z 01015KT 10SM OVC080 18/00 A2977 RMK AO2 SLP075 T01780000
HND,2017-04-01 01:00,-115.1344,35.9729,M,M,M,20.00,12.00,M,M,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KHND 010100Z AUTO 02012KT 10SM OVC079 RMK MADISHF
HND,2017-04-01 01:05,-115.1344,35.9729,M,M,M,30.00,10.00,M,M,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KHND 010105Z AUTO 03010KT 10SM OVC079 RMK MADISHF
HND,2017-04-01 01:10,-115.1344,35.9729,M,M,M,30.00,11.00,M,M,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KHND 010110Z AUTO 03011KT 10SM OVC079 RMK MADISHF
HND,2017-04-01 01:15,-115.1344,35.9729,M,M,M,30.00,10.00,M,M,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KHND 010115Z AUTO 03010KT 10SM OVC079 RMK MADISHF
