#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
HON,2017-04-01 00:00,-98.2286,44.3852,M,M,M,60.00,9.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010000Z AUTO 06009KT 10SM CLR A3005 RMK MADISHF
HON,2017-04-01 00:05,-98.2286,44.3852,M,M,M,60.00,8.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010005Z AUTO 06008KT 10SM CLR A3005 RMK MADISHF
HON,2017-04-01 00:10,-98.2286,44.3852,M,M,M,60.00,7.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010010Z AUTO 06007KT 10SM CLR A3006 RMK MADISHF
HON,2017-04-01 00:15,-98.2286,44.3852,M,M,M,70.00,7.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010015Z AUTO 07007KT 10SM CLR A3006 RMK MADISHF
HON,2017-04-01 00:20,-98.2286,44.3852,M,M,M,70.00,7.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010020Z AUTO 07007KT 10SM CLR A3006 RMK MADISHF
HON,2017-04-01 00:25,-98.2286,44.3852,M,M,M,70.00,6.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010025Z AUTO 07006KT 10SM CLR A3006 RMK MADISHF
HON,2017-04-01 00:30,-98.2286,44.3852,M,M,M,70.00,7.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010030Z AUTO 07007KT 10SM CLR A3006 RMK MADISHF
HON,2017-04-01 00:35,-98.2286,44.3852,M,M,M,70.00,5.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010035Z AUTO 07005KT 10SM CLR A3007 RMK MADISHF
HON,2017-04-01 00:40,-98.2286,44.3852,M,M,M,60.00,6.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010040Z AUTO 06006KT 10SM CLR A3007 RMK MADISHF
HON,2017-04-01 00:45,-98.2286,44.3852,M,M,M,60.00,6.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010045Z AUTO 06006KT 10SM CLR A3007 RMK MADISHF
HON,2017-04-01 00:50,-98.2286,44.3852,M,M,M,60.00,6.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010050Z AUTO 06006KT 10SM CLR A3007 RMK MADISHF
HON,2017-04-01 00:55,-98.2286,44.3852,52.00,26.10,36.34,70.00,6.00,0.00,30.07,1019.00,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010055Z AUTO 07006KT 10SM CLR 11/M03 A3007 RMK AO2 SLP190 T01111033
HON,2017-04-01 01:00,-98.2286,44.3852,M,M,M,60.00,6.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010100Z AUTO 06006KT 10SM CLR A3007 RMK MADISHF
HON,2017-04-01 01:05,-98.2286,44.3852,M,M,M,60.00,6.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010105Z AUTO 06006KT 10SM CLR A3007 RMK MADISHF
HON,2017-04-01 01:10,-98.2286,44.3852,M,M,M,60.00,6.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010110Z AUTO 06006KT 10SM CLR A3008 RMK MADISHF
HON,2017-04-01 01:15,-98.2286,44.3852,M,M,M,60.00,5.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010115Z AUTO 06005KT 10SM CLR A3008 RMK MADISHF
HON,2017-04-01 01:20,-98.2286,44.3852,M,M,M,60.00,6.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010120Z AUTO 06006KT 10SM CLR A3008 RMK MADISHF
HON,2017-04-01 01:25,-98.2286,44.3852,M,M,M,50.00,6.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010125Z AUTO 05006KT 10SM CLR A3008 RMK MADISHF
HON,2017-04-01 01:30,-98.2286,44.3852,M,M,M,60.00,6.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010130Z AUTO 06006KT 10SM CLR A3009 RMK MADISHF
HON,2017-04-01 01:35,-98.2286,44.3852,M,M,M,60.00,6.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010135Z AUTO 06006KT 10SM CLR A3009 RMK MADISHF
HON,2017-04-01 01:40,-98.2286,44.3852,M,M,M,60.00,6.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010140Z AUTO 06006KT 10SM CLR A3009 RMK MADISHF
HON,2017-04-01 01:45,-98.2286,44.3852,M,M,M,60.00,6.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010145Z AUTO 06006KT 10SM CLR A3010 RMK MADISHF
HON,2017-04-01 01:50,-98.2286,44.3852,M,M,M,60.00,5.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010150Z AUTO 06005KT 10SM CLR A3010 RMK MADISHF
HON,2017-04-01 01:55,-98.2286,44.3852,48.90,28.00,44.10,50.00,6.00,0.00,30.10,1020.00,10.00,M,CLR,M,M,M,M,M,M,M,M,KHON 010155Z AUTO 05006KT 10SM CLR 09/M02 A3010 RMK AO2 SLP200 T00941022
