#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
HSA,2017-04-01 00:55,-89.4546,30.3678,64.40,55.40,72.56,200.00,4.00,0.00,29.90,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KHSA 010055Z 20004KT 7SM CLR 18/13 A2990
HSA,2017-04-01 11:55,-89.4546,30.3678,55.40,51.80,87.65,0.00,0.00,0.00,30.02,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KHSA 011155Z 00000KT 7SM CLR 13/11 A3002
HSA,2017-04-01 12:55,-89.4546,30.3678,60.80,57.20,87.92,0.00,0.00,0.00,30.03,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KHSA 011255Z 00000KT 7SM CLR 16/14 A3003
HSA,2017-04-01 13:55,-89.4546,30.3678,66.20,57.20,72.74,90.00,4.00,0.00,30.04,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KHSA 011355Z 09004KT 7SM CLR 19/14 A3004
HSA,2017-04-01 14:55,-89.4546,30.3678,73.40,55.40,53.29,90.00,4.00,0.00,30.05,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KHSA 011455Z 09004KT 7SM CLR 23/13 A3005
HSA,2017-04-01 15:55,-89.4546,30.3678,77.00,53.60,44.25,120.00,5.00,0.00,30.05,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KHSA 011555Z 12005KT 7SM CLR 25/12 A3005
HSA,2017-04-01 16:55,-89.4546,30.3678,80.60,46.40,30.07,110.00,8.00,0.00,30.05,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KHSA 011655Z 11008KT 7SM CLR 27/08 A3005
HSA,2017-04-01 17:55,-89.4546,30.3678,80.60,42.80,26.22,130.00,15.55,0.00,30.04,M,7.00,23.33,CLR,M,M,M,M,M,M,M,M,KHSA 011755Z 13008G12 7SM CLR 27/06 A3004
HSA,2017-04-01 18:51,-89.4546,30.3678,80.60,44.60,28.08,130.00,10.00,0.00,30.03,M,7.00,15.00,CLR,M,M,M,M,M,M,M,M,KHSA 011851Z 13010G15KT 7SM CLR 27/07 A3003
HSA,2017-04-01 19:55,-89.4546,30.3678,80.60,44.60,28.08,150.00,9.00,0.00,30.01,M,7.00,15.00,CLR,M,M,M,M,M,M,M,M,KHSA 011955Z 15009G15KT 7SM CLR 27/07 A3001
HSA,2017-04-01 20:55,-89.4546,30.3678,80.60,50.00,34.41,140.00,10.00,0.00,30.01,M,7.00,15.00,CLR,M,M,M,M,M,M,M,M,KHSA 012055Z 14010G15KT 7SM CLR 27/10 A3001
HSA,2017-04-01 21:55,-89.4546,30.3678,82.40,53.60,37.07,160.00,8.00,0.00,30.01,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KHSA 012155Z 16008KT 7SM CLR 28/12 A3001
HSA,2017-04-01 22:55,-89.4546,30.3678,78.80,50.00,36.51,170.00,7.00,0.00,30.01,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KHSA 012255Z 17007KT 7SM CLR 26/10 A3001
HSA,2017-04-01 23:55,-89.4546,30.3678,71.60,53.60,53.03,150.00,4.00,0.00,30.01,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KHSA 012355Z 15004KT 7SM CLR 22/12 A3001
