#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
HTH,2017-04-01 00:15,-118.6315,38.5448,51.80,24.80,34.69,350.00,17.00,0.00,30.05,M,10.00,M,SCT,M,M,M,5500.00,M,M,M,M,KHTH 010015Z AUTO 35017KT 10SM SCT055 11/M04 A3005 RMK A01
HTH,2017-04-01 00:35,-118.6315,38.5448,51.80,24.80,34.69,350.00,13.00,0.00,30.05,M,10.00,M,BKN,M,M,M,5500.00,M,M,M,M,KHTH 010035Z AUTO 35013KT 10SM BKN055 11/M04 A3005 RMK A01
HTH,2017-04-01 00:55,-118.6315,38.5448,51.80,26.60,37.38,350.00,12.00,0.00,30.05,M,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,KHTH 010055Z AUTO 35012KT 10SM BKN060 11/M03 A3005 RMK A01
HTH,2017-04-01 01:15,-118.6315,38.5448,51.80,26.60,37.38,330.00,9.00,0.00,30.07,M,10.00,M,SCT,M,M,M,6000.00,M,M,M,M,KHTH 010115Z AUTO 33009KT 10SM SCT060 11/M03 A3007 RMK A01
HTH,2017-04-01 01:35,-118.6315,38.5448,51.80,26.60,37.38,320.00,10.00,0.00,30.08,M,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,KHTH 010135Z AUTO 32010KT 10SM BKN060 11/M03 A3008 RMK A01
HTH,2017-04-01 01:55,-118.6315,38.5448,50.00,26.60,39.95,320.00,9.00,0.00,30.09,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KHTH 010155Z AUTO 32009KT 10SM OVC060 10/M03 A3009 RMK A01
HTH,2017-04-01 02:15,-118.6315,38.5448,50.00,26.60,39.95,320.00,7.00,0.00,30.09,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KHTH 010215Z AUTO 32007KT 10SM OVC060 10/M03 A3009 RMK A01
HTH,2017-04-01 02:35,-118.6315,38.5448,50.00,26.60,39.95,330.00,7.00,0.00,30.10,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KHTH 010235Z AUTO 33007KT 10SM OVC060 10/M03 A3010 RMK A01
HTH,2017-04-01 02:55,-118.6315,38.5448,50.00,28.40,43.03,320.00,5.00,0.00,30.10,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KHTH 010255Z AUTO 32005KT 10SM OVC060 10/M02 A3010 RMK A01
HTH,2017-04-01 03:15,-118.6315,38.5448,48.20,28.40,46.02,320.00,6.00,0.00,30.11,M,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,KHTH 010315Z AUTO 32006KT 10SM BKN060 09/M02 A3011 RMK A01
HTH,2017-04-01 03:35,-118.6315,38.5448,46.40,26.60,45.73,330.00,4.00,0.00,30.12,M,10.00,M,FEW,M,M,M,6000.00,M,M,M,M,KHTH 010335Z AUTO 33004KT 10SM FEW060 08/M03 A3012 RMK A01
HTH,2017-04-01 03:55,-118.6315,38.5448,46.40,26.60,45.73,0.00,0.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 010355Z AUTO 00000KT 10SM CLR 08/M03 A3012 RMK A01
HTH,2017-04-01 04:15,-118.6315,38.5448,46.40,26.60,45.73,280.00,4.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 010415Z AUTO 28004KT 10SM CLR 08/M03 A3013 RMK A01
HTH,2017-04-01 04:35,-118.6315,38.5448,46.40,26.60,45.73,330.00,6.00,0.00,30.13,M,10.00,M,FEW,M,M,M,5000.00,M,M,M,M,KHTH 010435Z AUTO 33006KT 10SM FEW050 08/M03 A3013 RMK A01
HTH,2017-04-01 04:55,-118.6315,38.5448,44.60,26.60,48.96,30.00,3.00,0.00,30.14,M,10.00,M,BKN,BKN,M,M,5000.00,5500.00,M,M,M,KHTH 010455Z AUTO 03003KT 10SM BKN050 BKN055 07/M03 A3014 RMK A01
HTH,2017-04-01 05:15,-118.6315,38.5448,42.80,26.60,52.45,120.00,4.00,0.00,30.14,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KHTH 010515Z AUTO 12004KT 10SM OVC050 06/M03 A3014 RMK A01
HTH,2017-04-01 05:35,-118.6315,38.5448,44.60,28.40,52.72,0.00,0.00,0.00,30.15,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KHTH 010535Z AUTO 00000KT 10SM OVC055 07/M02 A3015 RMK A01
HTH,2017-04-01 05:55,-118.6315,38.5448,44.60,28.40,52.72,0.00,0.00,0.00,30.15,M,10.00,M,BKN,OVC,M,M,5000.00,6000.00,M,M,M,KHTH 010555Z AUTO 00000KT 10SM BKN050 OVC060 07/M02 A3015 RMK A01
HTH,2017-04-01 06:15,-118.6315,38.5448,41.00,28.40,60.54,200.00,5.00,0.00,30.15,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KHTH 010615Z AUTO 20005KT 10SM OVC050 05/M02 A3015 RMK A01
HTH,2017-04-01 06:35,-118.6315,38.5448,39.20,28.40,64.93,220.00,4.00,0.00,30.15,M,10.00,M,BKN,BKN,OVC,M,4600.00,5000.00,6500.00,M,M,KHTH 010635Z AUTO 22004KT 10SM BKN046 BKN050 OVC065 04/M02 A3015 RMK A01
HTH,2017-04-01 06:55,-118.6315,38.5448,39.20,28.40,64.93,210.00,4.00,0.00,30.15,M,10.00,M,SCT,SCT,BKN,M,3900.00,4600.00,6500.00,M,M,KHTH 010655Z AUTO 21004KT 10SM SCT039 SCT046 BKN065 04/M02 A3015 RMK A01
HTH,2017-04-01 07:15,-118.6315,38.5448,41.00,28.40,60.54,210.00,3.00,0.00,30.16,M,10.00,M,FEW,M,M,M,3600.00,M,M,M,M,KHTH 010715Z AUTO 21003KT 10SM FEW036 05/M02 A3016 RMK A01
HTH,2017-04-01 07:35,-118.6315,38.5448,39.20,28.40,64.93,270.00,3.00,0.00,30.17,M,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,KHTH 010735Z AUTO 27003KT 10SM BKN060 04/M02 A3017 RMK A01
HTH,2017-04-01 07:55,-118.6315,38.5448,39.20,28.40,64.93,0.00,0.00,0.00,30.17,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KHTH 010755Z AUTO 00000KT 10SM OVC060 04/M02 A3017 RMK A01
HTH,2017-04-01 08:15,-118.6315,38.5448,41.00,30.20,65.16,220.00,5.00,0.00,30.17,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KHTH 010815Z AUTO 22005KT 10SM OVC060 05/M01 A3017 RMK A01
HTH,2017-04-01 08:35,-118.6315,38.5448,42.80,30.20,60.79,240.00,6.00,0.00,30.18,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KHTH 010835Z AUTO 24006KT 10SM OVC060 06/M01 A3018 RMK A01
HTH,2017-04-01 08:55,-118.6315,38.5448,42.80,30.20,60.79,230.00,6.00,0.00,30.17,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KHTH 010855Z AUTO 23006KT 10SM OVC060 06/M01 A3017 RMK A01
HTH,2017-04-01 09:15,-118.6315,38.5448,42.80,30.20,60.79,260.00,4.00,0.00,30.17,M,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,KHTH 010915Z AUTO 26004KT 10SM BKN060 06/M01 A3017 RMK A01
HTH,2017-04-01 09:35,-118.6315,38.5448,41.00,30.20,65.16,0.00,0.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 010935Z AUTO 00000KT 10SM CLR 05/M01 A3017 RMK A01
HTH,2017-04-01 09:55,-118.6315,38.5448,41.00,30.20,65.16,300.00,3.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 010955Z AUTO 30003KT 10SM CLR 05/M01 A3017 RMK A01
HTH,2017-04-01 10:15,-118.6315,38.5448,39.20,30.20,69.88,280.00,5.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011015Z AUTO 28005KT 10SM CLR 04/M01 A3018 RMK A01
HTH,2017-04-01 10:35,-118.6315,38.5448,39.20,30.20,69.88,230.00,3.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011035Z AUTO 23003KT 10SM CLR 04/M01 A3018 RMK A01
HTH,2017-04-01 10:55,-118.6315,38.5448,37.40,32.00,80.65,240.00,4.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011055Z AUTO 24004KT 10SM CLR 03/00 A3018 RMK A01
HTH,2017-04-01 11:15,-118.6315,38.5448,35.60,30.20,80.51,0.00,0.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011115Z AUTO 00000KT 10SM CLR 02/M01 A3018 RMK A01
HTH,2017-04-01 11:35,-118.6315,38.5448,35.60,28.40,74.80,190.00,5.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011135Z AUTO 19005KT 10SM CLR 02/M02 A3018 RMK A01
HTH,2017-04-01 11:55,-118.6315,38.5448,37.40,28.40,69.67,0.00,0.00,0.00,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011155Z AUTO 00000KT 10SM CLR 03/M02 A3020 RMK A01
HTH,2017-04-01 12:15,-118.6315,38.5448,37.40,28.40,69.67,200.00,3.00,0.00,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011215Z AUTO 20003KT 10SM CLR 03/M02 A3020 RMK A01
HTH,2017-04-01 12:35,-118.6315,38.5448,35.60,28.40,74.80,220.00,4.00,0.00,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011235Z AUTO 22004KT 10SM CLR 02/M02 A3020 RMK A01
HTH,2017-04-01 12:55,-118.6315,38.5448,33.80,28.40,80.36,0.00,0.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011255Z AUTO 00000KT 10SM CLR 01/M02 A3021 RMK A01
HTH,2017-04-01 13:15,-118.6315,38.5448,35.60,28.40,74.80,200.00,3.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011315Z AUTO 20003KT 10SM CLR 02/M02 A3021 RMK A01
HTH,2017-04-01 13:35,-118.6315,38.5448,32.00,26.60,80.22,130.00,3.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011335Z AUTO 13003KT 10SM CLR M00/M03 A3021 RMK A01
HTH,2017-04-01 13:55,-118.6315,38.5448,32.00,26.60,80.22,0.00,0.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011355Z AUTO 00000KT 10SM CLR 00/M03 A3021 RMK A01
HTH,2017-04-01 14:15,-118.6315,38.5448,35.60,28.40,74.80,0.00,0.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011415Z AUTO 00000KT 10SM CLR 02/M02 A3022 RMK A01
HTH,2017-04-01 14:35,-118.6315,38.5448,39.20,30.20,69.88,130.00,3.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011435Z AUTO 13003KT 10SM CLR 04/M01 A3022 RMK A01
HTH,2017-04-01 14:55,-118.6315,38.5448,41.00,32.00,70.08,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011455Z AUTO 00000KT 10SM CLR 05/M00 A3023 RMK A01
HTH,2017-04-01 15:15,-118.6315,38.5448,42.80,32.00,65.38,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011515Z AUTO 00000KT 10SM CLR 06/00 A3023 RMK A01
HTH,2017-04-01 15:35,-118.6315,38.5448,42.80,32.00,65.38,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011535Z AUTO 00000KT 10SM CLR 06/M00 A3023 RMK A01
HTH,2017-04-01 15:55,-118.6315,38.5448,44.60,32.00,61.03,0.00,0.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011555Z AUTO 00000KT 10SM CLR 07/M00 A3022 RMK A01
HTH,2017-04-01 16:15,-118.6315,38.5448,44.60,32.00,61.03,320.00,3.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011615Z AUTO 32003KT 10SM CLR 07/M00 A3022 RMK A01
HTH,2017-04-01 16:35,-118.6315,38.5448,46.40,30.20,53.00,350.00,4.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011635Z AUTO 35004KT 10SM CLR 08/M01 A3023 RMK A01
HTH,2017-04-01 16:55,-118.6315,38.5448,48.20,32.00,53.27,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011655Z AUTO 00000KT 10SM CLR 09/M00 A3023 RMK A01
HTH,2017-04-01 17:15,-118.6315,38.5448,48.20,30.20,49.53,320.00,6.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011715Z AUTO 32006KT 10SM CLR 09/M01 A3023 RMK A01
HTH,2017-04-01 17:35,-118.6315,38.5448,50.00,30.20,46.31,M,5.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011735Z AUTO VRB05KT 10SM CLR 10/M01 A3023 RMK A01
HTH,2017-04-01 17:55,-118.6315,38.5448,51.80,30.20,43.32,360.00,6.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011755Z AUTO 36006KT 10SM CLR 11/M01 A3023 RMK A01
HTH,2017-04-01 18:15,-118.6315,38.5448,51.80,30.20,43.32,M,5.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011815Z AUTO VRB05KT 10SM CLR 11/M01 A3022 RMK A01
HTH,2017-04-01 18:35,-118.6315,38.5448,53.60,28.40,37.67,M,3.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011835Z AUTO VRB03KT 10SM CLR 12/M02 A3022 RMK A01
HTH,2017-04-01 18:55,-118.6315,38.5448,53.60,28.40,37.67,340.00,5.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011855Z AUTO 34005KT 10SM CLR 12/M02 A3021 RMK A01
HTH,2017-04-01 19:15,-118.6315,38.5448,55.40,28.40,35.28,M,4.00,0.00,30.20,M,10.00,11.00,CLR,M,M,M,M,M,M,M,M,KHTH 011915Z AUTO VRB04G11KT 10SM CLR 13/M02 A3020 RMK A01
HTH,2017-04-01 19:35,-118.6315,38.5448,55.40,28.40,35.28,M,3.00,0.00,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011935Z AUTO VRB03KT 10SM CLR 13/M02 A3019 RMK A01
HTH,2017-04-01 19:55,-118.6315,38.5448,57.20,28.40,33.05,M,3.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 011955Z AUTO VRB03KT 10SM CLR 14/M02 A3017 RMK A01
HTH,2017-04-01 20:15,-118.6315,38.5448,57.20,28.40,33.05,M,4.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 012015Z AUTO VRB04KT 10SM CLR 14/M02 A3017 RMK A01
HTH,2017-04-01 20:35,-118.6315,38.5448,59.00,28.40,30.98,M,5.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 012035Z AUTO VRB05KT 10SM CLR 15/M02 A3016 RMK A01
HTH,2017-04-01 20:55,-118.6315,38.5448,59.00,30.20,33.35,300.00,7.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 012055Z AUTO 30007KT 260V330 10SM CLR 15/M01 A3015 RMK A01
HTH,2017-04-01 21:15,-118.6315,38.5448,60.80,30.20,31.28,310.00,9.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 012115Z AUTO 31009KT 10SM CLR 16/M01 A3014 RMK A01
HTH,2017-04-01 21:35,-118.6315,38.5448,60.80,30.20,31.28,320.00,10.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 012135Z AUTO 32010KT 10SM CLR 16/M01 A3013 RMK A01
HTH,2017-04-01 21:55,-118.6315,38.5448,60.80,28.40,29.06,320.00,9.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 012155Z AUTO 32009KT 10SM CLR 16/M02 A3012 RMK A01
HTH,2017-04-01 22:15,-118.6315,38.5448,62.60,28.40,27.27,330.00,9.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 012215Z AUTO 33009KT 10SM CLR 17/M02 A3011 RMK A01
HTH,2017-04-01 22:35,-118.6315,38.5448,62.60,28.40,27.27,310.00,10.00,0.00,30.10,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,KHTH 012235Z AUTO 31010G15KT 10SM CLR 17/M02 A3010 RMK A01
HTH,2017-04-01 22:55,-118.6315,38.5448,62.60,26.60,25.32,310.00,10.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 012255Z AUTO 31010KT 10SM CLR 17/M03 A3009 RMK A01
HTH,2017-04-01 23:15,-118.6315,38.5448,62.60,28.40,27.27,310.00,11.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 012315Z AUTO 31011KT 10SM CLR 17/M02 A3009 RMK A01
HTH,2017-04-01 23:35,-118.6315,38.5448,64.40,28.40,25.60,330.00,9.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 012335Z AUTO 33009KT 10SM CLR 18/M02 A3008 RMK A01
HTH,2017-04-01 23:55,-118.6315,38.5448,64.40,28.40,25.60,310.00,11.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHTH 012355Z AUTO 31011KT 10SM CLR 18/M02 A3008 RMK A01
