#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
HUL,2017-04-01 00:05,-67.7921,46.1231,M,M,M,0.00,0.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHUL 010005Z AUTO 00000KT 10SM CLR A3009 RMK MADISHF
HUL,2017-04-01 00:10,-67.7921,46.1231,M,M,M,0.00,0.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHUL 010010Z AUTO 00000KT 10SM CLR A3009 RMK MADISHF
HUL,2017-04-01 00:15,-67.7921,46.1231,M,M,M,0.00,0.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHUL 010015Z AUTO 00000KT 10SM CLR A3009 RMK MADISHF
HUL,2017-04-01 00:20,-67.7921,46.1231,M,M,M,0.00,0.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHUL 010020Z AUTO 00000KT 10SM CLR A3009 RMK MADISHF
HUL,2017-04-01 00:25,-67.7921,46.1231,M,M,M,0.00,0.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHUL 010025Z AUTO 00000KT 10SM CLR A3009 RMK MADISHF
HUL,2017-04-01 00:30,-67.7921,46.1231,M,M,M,0.00,0.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHUL 010030Z AUTO 00000KT 10SM CLR A3009 RMK MADISHF
HUL,2017-04-01 00:40,-67.7921,46.1231,M,M,M,0.00,0.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHUL 010040Z AUTO 00000KT 10SM CLR A3009 RMK MADISHF
HUL,2017-04-01 00:45,-67.7921,46.1231,M,M,M,0.00,0.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHUL 010045Z AUTO 00000KT 10SM CLR A3009 RMK MADISHF
HUL,2017-04-01 00:50,-67.7921,46.1231,M,M,M,0.00,0.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KHUL 010050Z AUTO 00000KT 10SM CLR A3009 RMK MADISHF
HUL,2017-04-01 00:53,-67.7921,46.1231,28.00,21.90,77.57,0.00,0.00,0.00,30.09,1019.90,10.00,M,CLR,M,M,M,M,M,M,M,M,KHUL 010053Z AUTO 00000KT 10SM CLR M02/M06 A3009 RMK AO2 SLP199 T10221056
