#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
HVE,2017-04-01 00:15,-110.7040,38.4180,59.00,28.40,30.98,140.00,10.00,0.00,29.69,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,KHVE 010015Z AUTO 14010KT 090V160 10SM SCT110 15/M02 A2969 RMK AO2
HVE,2017-04-01 00:35,-110.7040,38.4180,53.60,28.40,37.67,170.00,14.00,0.00,29.70,M,10.00,23.00,SCT,BKN,M,M,7000.00,10000.00,M,M,M,KHVE 010035Z AUTO 17014G23KT 10SM SCT070 BKN100 12/M02 A2970 RMK AO2
HVE,2017-04-01 00:55,-110.7040,38.4180,51.80,30.20,43.32,170.00,14.00,0.00,29.71,M,10.00,20.00,BKN,OVC,M,M,6000.00,7000.00,M,M,M,KHVE 010055Z AUTO 17014G20KT 10SM BKN060 OVC070 11/M01 A2971 RMK AO2
HVE,2017-04-01 01:15,-110.7040,38.4180,50.00,30.20,46.31,140.00,16.00,0.00,29.74,M,10.00,21.00,OVC,M,M,M,6000.00,M,M,M,M,KHVE 010115Z AUTO 14016G21KT 10SM OVC060 10/M01 A2974 RMK AO2
HVE,2017-04-01 01:35,-110.7040,38.4180,46.40,33.80,61.28,140.00,19.00,0.00,29.76,M,10.00,23.00,SCT,SCT,OVC,M,3900.00,4800.00,6000.00,M,M,KHVE 010135Z AUTO 14019G23KT 10SM SCT039 SCT048 OVC060 08/01 A2976 RMK AO2
HVE,2017-04-01 01:55,-110.7040,38.4180,44.60,35.60,70.48,150.00,18.00,0.00,29.79,M,10.00,M,SCT,BKN,OVC,M,3900.00,5000.00,6500.00,M,M,KHVE 010155Z AUTO 15018KT 10SM SCT039 BKN050 OVC065 07/02 A2979 RMK AO2
HVE,2017-04-01 02:15,-110.7040,38.4180,42.80,37.40,81.07,140.00,16.00,0.00,29.81,M,10.00,19.00,OVC,M,M,M,4800.00,M,M,M,M,KHVE 010215Z AUTO 14016G19KT 10SM OVC048 06/03 A2981 RMK AO2
HVE,2017-04-01 02:35,-110.7040,38.4180,42.80,35.60,75.50,140.00,14.00,0.00,29.83,M,10.00,20.00,OVC,M,M,M,4600.00,M,M,M,M,KHVE 010235Z AUTO 14014G20KT 10SM OVC046 06/02 A2983 RMK AO2
HVE,2017-04-01 02:55,-110.7040,38.4180,41.00,35.60,80.93,150.00,14.00,0.00,29.83,M,10.00,18.00,OVC,M,M,M,4600.00,M,M,M,M,KHVE 010255Z AUTO 15014G18KT 10SM OVC046 05/02 A2983 RMK AO2
HVE,2017-04-01 03:15,-110.7040,38.4180,41.00,35.60,80.93,150.00,11.00,0.00,29.85,M,10.00,M,BKN,OVC,M,M,4400.00,5000.00,M,M,M,KHVE 010315Z AUTO 15011KT 10SM BKN044 OVC050 05/02 A2985 RMK AO2
HVE,2017-04-01 03:35,-110.7040,38.4180,41.00,35.60,80.93,140.00,6.00,0.00,29.86,M,10.00,M,OVC,M,M,M,4300.00,M,M,M,M,KHVE 010335Z AUTO 14006KT 10SM OVC043 05/02 A2986 RMK AO2
HVE,2017-04-01 03:55,-110.7040,38.4180,41.00,35.60,80.93,190.00,4.00,0.00,29.87,M,10.00,M,OVC,M,M,M,3900.00,M,M,M,M,KHVE 010355Z AUTO 19004KT 10SM OVC039 05/02 A2987 RMK AO2
HVE,2017-04-01 04:15,-110.7040,38.4180,41.00,37.40,86.89,140.00,5.00,0.00,29.88,M,10.00,M,OVC,M,M,M,3500.00,M,M,M,M,KHVE 010415Z AUTO 14005KT 10SM OVC035 05/03 A2988 RMK AO2
HVE,2017-04-01 04:35,-110.7040,38.4180,41.00,37.40,86.89,110.00,3.00,0.00,29.89,M,10.00,M,OVC,M,M,M,3100.00,M,M,M,M,KHVE 010435Z AUTO 11003KT 10SM OVC031 05/03 A2989 RMK AO2
HVE,2017-04-01 04:55,-110.7040,38.4180,41.00,37.40,86.89,110.00,3.00,0.00,29.88,M,10.00,M,BKN,BKN,OVC,M,2900.00,3700.00,4300.00,M,M,KHVE 010455Z AUTO 11003KT 10SM BKN029 BKN037 OVC043 05/03 A2988 RMK AO2
HVE,2017-04-01 05:15,-110.7040,38.4180,41.00,37.40,86.89,0.00,0.00,0.00,29.89,M,10.00,M,SCT,OVC,M,M,3100.00,4000.00,M,M,M,KHVE 010515Z AUTO 00000KT 10SM SCT031 OVC040 05/03 A2989 RMK AO2
HVE,2017-04-01 05:35,-110.7040,38.4180,41.00,39.20,93.24,100.00,4.00,0.00,29.89,M,10.00,M,SCT,OVC,M,M,3500.00,4400.00,M,M,M,KHVE 010535Z AUTO 10004KT 10SM SCT035 OVC044 05/04 A2989 RMK AO2
HVE,2017-04-01 05:55,-110.7040,38.4180,41.00,39.20,93.24,120.00,5.00,0.00,29.89,M,10.00,M,BKN,BKN,OVC,M,1200.00,3600.00,4600.00,M,M,KHVE 010555Z AUTO 12005KT 10SM BKN012 BKN036 OVC046 05/04 A2989 RMK AO2
HVE,2017-04-01 06:15,-110.7040,38.4180,41.00,39.20,93.24,130.00,6.00,0.00,29.90,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KHVE 010615Z AUTO 13006KT 10SM OVC012 05/04 A2990 RMK AO2
HVE,2017-04-01 06:35,-110.7040,38.4180,41.00,39.20,93.24,130.00,8.00,0.00,29.91,M,10.00,M,OVC,M,M,M,1000.00,M,M,M,M,KHVE 010635Z AUTO 13008KT 10SM OVC010 05/04 A2991 RMK AO2
HVE,2017-04-01 06:55,-110.7040,38.4180,41.00,39.20,93.24,130.00,8.00,0.00,29.92,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KHVE 010655Z AUTO 13008KT 10SM OVC012 05/04 A2992 RMK AO2
HVE,2017-04-01 07:15,-110.7040,38.4180,41.00,41.00,100.00,140.00,8.00,0.00,29.92,M,7.00,M,BKN,OVC,M,M,700.00,1200.00,M,M,M,KHVE 010715Z AUTO 14008KT 7SM BKN007 OVC012 05/05 A2992 RMK AO2
HVE,2017-04-01 07:35,-110.7040,38.4180,41.00,39.20,93.24,130.00,10.00,0.00,29.92,M,10.00,M,BKN,OVC,M,M,700.00,1500.00,M,M,M,KHVE 010735Z AUTO 13010KT 10SM BKN007 OVC015 05/04 A2992 RMK AO2
HVE,2017-04-01 07:55,-110.7040,38.4180,39.20,37.40,93.19,150.00,8.00,0.00,29.93,M,10.00,M,SCT,BKN,OVC,M,700.00,1700.00,3300.00,M,M,KHVE 010755Z AUTO 15008KT 10SM SCT007 BKN017 OVC033 04/03 A2993 RMK AO2
