#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
HYA,2017-04-01 00:00,-70.2800,41.6700,M,M,M,80.00,7.00,M,30.03,M,8.00,M,SCT,BKN,OVC,M,1400.00,1900.00,3399.00,M,-RA,KHYA 010000Z AUTO 08007KT 8SM -RA SCT014 BKN019 OVC033 A3003 RMK MADISHF
HYA,2017-04-01 00:05,-70.2800,41.6700,M,M,M,80.00,7.00,0.01,30.02,M,8.00,M,SCT,BKN,OVC,M,1400.00,1900.00,3399.00,M,-RA,KHYA 010005Z AUTO 08007KT 8SM -RA SCT014 BKN019 OVC033 A3002 RMK P0001 MADISHF
HYA,2017-04-01 00:10,-70.2800,41.6700,M,M,M,100.00,6.00,0.01,30.02,M,7.00,M,SCT,BKN,OVC,M,1400.00,1900.00,3600.00,M,-RA,KHYA 010010Z AUTO 10006KT 7SM -RA SCT014 BKN019 OVC036 A3002 RMK P0001 MADISHF
HYA,2017-04-01 00:15,-70.2800,41.6700,M,M,M,100.00,8.00,0.02,30.02,M,6.00,M,FEW,BKN,OVC,M,999.00,1699.00,3600.00,M,-RA BR,KHYA 010015Z AUTO 10008KT 6SM -RA BR FEW009 BKN016 OVC036 A3002 RMK P0002 WND 05V12  MADISHF
HYA,2017-04-01 00:20,-70.2800,41.6700,M,M,M,90.00,9.00,0.02,30.02,M,6.00,M,FEW,BKN,OVC,M,999.00,1699.00,3600.00,M,-RA BR,KHYA 010020Z AUTO 09009KT 6SM -RA BR FEW009 BKN016 OVC036 A3002 RMK P0002 MADISHF
HYA,2017-04-01 00:25,-70.2800,41.6700,M,M,M,80.00,7.00,0.02,30.02,M,5.00,M,FEW,SCT,OVC,M,1200.00,1999.00,3399.00,M,-RA BR,KHYA 010025Z AUTO 08007KT 5SM -RA BR FEW012 SCT019 OVC033 A3002 RMK P0002 MADISHF
HYA,2017-04-01 00:27,-70.2800,41.6700,36.00,34.00,92.35,80.00,7.00,0.03,30.02,M,5.00,M,FEW,SCT,OVC,M,1200.00,2000.00,3400.00,M,RA BR,KHYA 010027Z 08007KT 5SM RA BR FEW012 SCT020 OVC034 02/01 A3002 RMK AO2 P0003 T00220011
HYA,2017-04-01 00:30,-70.2800,41.6700,M,M,M,80.00,10.00,0.03,30.02,M,5.00,M,FEW,SCT,OVC,M,1200.00,1999.00,3399.00,M,RA BR,KHYA 010030Z AUTO 08010KT 5SM RA BR FEW012 SCT019 OVC033 A3002 RMK P0003 MADISHF
HYA,2017-04-01 00:35,-70.2800,41.6700,M,M,M,100.00,9.00,0.04,30.01,M,5.00,M,FEW,BKN,OVC,M,1200.00,1999.00,3399.00,M,RA BR,KHYA 010035Z AUTO 10009KT 5SM RA BR FEW012 BKN019 OVC033 A3001 RMK P0004 MADISHF
HYA,2017-04-01 00:38,-70.2800,41.6700,36.00,34.00,92.35,90.00,7.00,0.04,30.01,M,6.00,17.00,FEW,BKN,OVC,M,1000.00,2000.00,3400.00,M,-RA BR,KHYA 010038Z 09007G17KT 6SM -RA BR FEW010 BKN020 OVC034 02/01 A3001 RMK AO2 P0004 T00220011
HYA,2017-04-01 00:40,-70.2800,41.6700,M,M,M,100.00,7.00,0.04,30.01,M,6.00,M,FEW,BKN,OVC,M,999.00,1999.00,3399.00,M,-RA BR,KHYA 010040Z AUTO 10007KT 6SM -RA BR FEW009 BKN019 OVC033 A3001 RMK P0004 MADISHF
HYA,2017-04-01 00:45,-70.2800,41.6700,M,M,M,90.00,9.00,0.05,30.01,M,6.00,14.00,SCT,BKN,OVC,M,999.00,1500.00,3500.00,M,RA BR,KHYA 010045Z AUTO 09009G14KT 6SM RA BR SCT009 BKN015 OVC035 A3001 RMK P0005 MADISHF
HYA,2017-04-01 00:50,-70.2800,41.6700,M,M,M,80.00,10.00,0.05,30.00,M,6.00,M,SCT,BKN,OVC,M,999.00,1400.00,3500.00,M,RA BR,KHYA 010050Z AUTO 08010KT 6SM RA BR SCT009 BKN014 OVC035 A3000 RMK P0005 MADISHF
HYA,2017-04-01 00:54,-70.2800,41.6700,35.60,33.80,93.08,90.00,9.00,0.06,30.00,M,6.00,16.00,SCT,BKN,OVC,M,1000.00,1400.00,3500.00,M,-RA BR,KHYA 010054Z 09009G16KT 050V120 6SM -RA BR SCT010 BKN014 OVC035 02/01 A3000 RMK AO2 P0006
HYA,2017-04-01 00:55,-70.2800,41.6700,M,M,M,80.00,8.00,0.06,30.01,M,6.00,M,BKN,BKN,OVC,M,999.00,1699.00,3500.00,M,-RA BR,KHYA 010055Z AUTO 08008KT 6SM -RA BR BKN009 BKN016 OVC035 A3001 RMK P0006 MADISHF
HYA,2017-04-01 00:56,-70.2800,41.6700,36.00,35.10,96.49,90.00,9.00,0.06,30.01,1016.20,6.00,16.00,BKN,BKN,OVC,M,1000.00,1500.00,3500.00,M,-RA BR,KHYA 010056Z 09009G16KT 6SM -RA BR BKN010 BKN015 OVC035 02/02 A3001 RMK AO2 SLP162 P0006 T00220017
HYA,2017-04-01 01:00,-70.2800,41.6700,M,M,M,90.00,7.00,M,30.01,M,6.00,M,BKN,BKN,OVC,M,999.00,1400.00,1800.00,M,RA BR,KHYA 010100Z AUTO 09007KT 6SM RA BR BKN009 BKN014 OVC018 A3001 RMK MADISHF
HYA,2017-04-01 01:05,-70.2800,41.6700,M,M,M,90.00,9.00,0.01,30.01,M,5.00,14.00,BKN,OVC,M,M,999.00,1400.00,M,M,RA BR,KHYA 010105Z AUTO 09009G14KT 5SM RA BR BKN009 OVC014 A3001 RMK P0001 MADISHF
