#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
HZY,2017-04-01 00:00,-80.6955,41.7780,M,M,M,10.00,7.00,M,29.71,M,9.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KHZY 010000Z AUTO 01007KT 9SM -RA OVC004 A2971 RMK MADISHF
HZY,2017-04-01 00:05,-80.6955,41.7780,M,M,M,10.00,8.00,M,29.71,M,9.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KHZY 010005Z AUTO 01008KT 9SM -RA OVC004 A2971 RMK MADISHF
HZY,2017-04-01 00:10,-80.6955,41.7780,M,M,M,360.00,7.00,0.01,29.71,M,9.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KHZY 010010Z AUTO 36007KT 9SM -RA OVC004 A2971 RMK P0001 MADISHF
HZY,2017-04-01 00:15,-80.6955,41.7780,M,M,M,10.00,7.00,0.01,29.72,M,8.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KHZY 010015Z AUTO 01007KT 8SM -RA OVC004 A2972 RMK P0001 MADISHF
HZY,2017-04-01 00:20,-80.6955,41.7780,M,M,M,10.00,6.00,0.01,29.72,M,7.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KHZY 010020Z AUTO 01006KT 7SM -RA OVC004 A2972 RMK P0001 MADISHF
HZY,2017-04-01 00:25,-80.6955,41.7780,M,M,M,10.00,8.00,0.01,29.72,M,7.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KHZY 010025Z AUTO 01008KT 7SM -RA OVC004 A2972 RMK P0001 MADISHF
HZY,2017-04-01 00:30,-80.6955,41.7780,M,M,M,10.00,8.00,0.01,29.72,M,6.00,M,OVC,M,M,M,400.00,M,M,M,-RA BR,KHZY 010030Z AUTO 01008KT 6SM -RA BR OVC004 A2972 RMK P0001 MADISHF
HZY,2017-04-01 00:35,-80.6955,41.7780,M,M,M,360.00,5.00,0.01,29.73,M,6.00,M,OVC,M,M,M,400.00,M,M,M,-RA BR,KHZY 010035Z AUTO 36005KT 6SM -RA BR OVC004 A2973 RMK P0001 MADISHF
HZY,2017-04-01 00:40,-80.6955,41.7780,M,M,M,10.00,9.00,0.01,29.73,M,7.00,14.00,OVC,M,M,M,400.00,M,M,M,-RA,KHZY 010040Z AUTO 01009G14KT 7SM -RA OVC004 A2973 RMK P0001 MADISHF
HZY,2017-04-01 00:45,-80.6955,41.7780,M,M,M,360.00,7.00,0.01,29.73,M,7.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KHZY 010045Z AUTO 36007KT 7SM -RA OVC004 A2973 RMK P0001 MADISHF
