#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
I69,2017-04-01 00:15,-84.2102,39.0784,48.70,47.50,95.60,280.00,12.00,0.00,29.85,M,4.00,18.00,BKN,OVC,M,M,1100.00,1900.00,M,M,RA,KI69 010015Z AUTO 28012G18KT 4SM RA BKN011 OVC019 09/09 A2985 RMK AO2 T00930086
I69,2017-04-01 00:34,-84.2102,39.0784,48.20,48.20,100.00,310.00,9.00,0.00,29.87,M,5.00,M,OVC,M,M,M,900.00,M,M,M,-DZ,KI69 010034Z AUTO 31009KT 5SM -DZ OVC009 09/09 A2987 RMK AO2 T00900090
I69,2017-04-01 00:54,-84.2102,39.0784,47.10,47.10,100.00,300.00,8.00,0.00,29.88,M,4.00,M,BKN,OVC,M,M,900.00,1300.00,M,M,-DZ,KI69 010054Z AUTO 30008KT 4SM -DZ BKN009 OVC013 08/08 A2988 RMK AO2 T00840084
I69,2017-04-01 01:15,-84.2102,39.0784,46.60,46.60,100.00,300.00,10.00,0.00,29.89,M,7.00,M,OVC,M,M,M,900.00,M,M,M,M,KI69 010115Z AUTO 30010KT 7SM OVC009 08/08 A2989 RMK AO2 T00810081
I69,2017-04-01 01:34,-84.2102,39.0784,46.00,46.00,100.00,310.00,8.00,0.00,29.90,M,7.00,M,OVC,M,M,M,700.00,M,M,M,-DZ,KI69 010134Z AUTO 31008KT 7SM -DZ OVC007 08/08 A2990 RMK AO2 T00780078
I69,2017-04-01 01:54,-84.2102,39.0784,45.50,45.50,100.00,320.00,7.00,0.00,29.91,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KI69 010154Z AUTO 32007KT 10SM OVC007 08/08 A2991 RMK AO2 T00750075
I69,2017-04-01 02:15,-84.2102,39.0784,45.30,45.30,100.00,320.00,6.00,0.00,29.92,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KI69 010215Z AUTO 32006KT 10SM OVC009 07/07 A2992 RMK AO2 T00740074
I69,2017-04-01 02:34,-84.2102,39.0784,44.80,44.80,100.00,310.00,11.00,0.00,29.92,M,10.00,15.00,OVC,M,M,M,900.00,M,M,M,M,KI69 010234Z AUTO 31011G15KT 10SM OVC009 07/07 A2992 RMK AO2 T00710071
I69,2017-04-01 02:54,-84.2102,39.0784,44.60,44.60,100.00,320.00,9.00,0.00,29.92,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KI69 010254Z AUTO 32009KT 10SM OVC009 07/07 A2992 RMK AO2 T00700070
I69,2017-04-01 03:15,-84.2102,39.0784,44.10,44.10,100.00,320.00,6.00,0.00,29.93,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KI69 010315Z AUTO 32006KT 10SM OVC009 07/07 A2993 RMK AO2 T00670067
I69,2017-04-01 03:34,-84.2102,39.0784,43.70,43.70,100.00,290.00,9.00,0.00,29.94,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KI69 010334Z AUTO 29009KT 10SM OVC009 07/07 A2994 RMK AO2 T00650065
I69,2017-04-01 03:54,-84.2102,39.0784,43.70,43.70,100.00,310.00,9.00,0.00,29.94,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KI69 010354Z AUTO 31009KT 10SM OVC009 07/07 A2994 RMK AO2 T00650065
I69,2017-04-01 04:15,-84.2102,39.0784,43.20,43.20,100.00,310.00,10.00,0.00,29.95,M,10.00,14.00,OVC,M,M,M,900.00,M,M,M,M,KI69 010415Z AUTO 31010G14KT 10SM OVC009 06/06 A2995 RMK AO2 T00620062
I69,2017-04-01 04:34,-84.2102,39.0784,43.00,43.00,100.00,300.00,8.00,0.00,29.96,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KI69 010434Z AUTO 30008KT 10SM OVC009 06/06 A2996 RMK AO2 T00610061
I69,2017-04-01 04:54,-84.2102,39.0784,42.80,42.80,100.00,320.00,9.00,0.00,29.97,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KI69 010454Z AUTO 32009KT 10SM OVC009 06/06 A2997 RMK AO2 T00600060
I69,2017-04-01 05:15,-84.2102,39.0784,42.80,42.80,100.00,310.00,10.00,0.00,29.98,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KI69 010515Z AUTO 31010KT 10SM OVC009 06/06 A2998 RMK AO2 T00600060
I69,2017-04-01 05:34,-84.2102,39.0784,42.40,42.40,100.00,290.00,11.00,0.00,29.98,M,10.00,15.00,OVC,M,M,M,900.00,M,M,M,M,KI69 010534Z AUTO 29011G15KT 10SM OVC009 06/06 A2998 RMK AO2 T00580058
I69,2017-04-01 05:54,-84.2102,39.0784,42.40,42.40,100.00,300.00,8.00,0.00,29.99,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KI69 010554Z AUTO 30008KT 10SM OVC011 06/06 A2999 RMK AO2 T00580058 10100 20058 401350058
I69,2017-04-01 06:15,-84.2102,39.0784,42.30,41.00,95.11,300.00,8.00,0.00,29.99,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KI69 010615Z AUTO 30008KT 10SM OVC011 06/05 A2999 RMK AO2 T00570050
