#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
IDA,2017-04-01 00:00,-112.0708,43.5137,M,M,M,360.00,22.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIDA 010000Z AUTO 36022KT 10SM CLR A2991 RMK MADISHF
IDA,2017-04-01 00:05,-112.0708,43.5137,M,M,M,350.00,22.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIDA 010005Z AUTO 35022KT 10SM CLR A2991 RMK MADISHF
IDA,2017-04-01 00:10,-112.0708,43.5137,M,M,M,360.00,24.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIDA 010010Z AUTO 36024KT 10SM CLR A2991 RMK MADISHF
IDA,2017-04-01 00:15,-112.0708,43.5137,M,M,M,360.00,25.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIDA 010015Z AUTO 36025KT 10SM CLR A2991 RMK MADISHF
IDA,2017-04-01 00:20,-112.0708,43.5137,M,M,M,360.00,25.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIDA 010020Z AUTO 36025KT 10SM CLR A2992 RMK MADISHF
IDA,2017-04-01 00:25,-112.0708,43.5137,M,M,M,360.00,26.00,M,29.92,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KIDA 010025Z AUTO 36026KT 10SM FEW120 A2992 RMK MADISHF
IDA,2017-04-01 00:30,-112.0708,43.5137,M,M,M,360.00,24.00,M,29.93,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,KIDA 010030Z AUTO 36024KT 10SM SCT120 A2993 RMK MADISHF
IDA,2017-04-01 00:35,-112.0708,43.5137,M,M,M,360.00,26.00,M,29.93,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,KIDA 010035Z AUTO 36026KT 10SM SCT120 A2993 RMK MADISHF
IDA,2017-04-01 00:40,-112.0708,43.5137,M,M,M,360.00,23.00,M,29.93,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KIDA 010040Z AUTO 36023KT 10SM FEW120 A2993 RMK MADISHF
IDA,2017-04-01 00:45,-112.0708,43.5137,M,M,M,360.00,22.00,M,29.93,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KIDA 010045Z AUTO 36022KT 10SM FEW120 A2993 RMK MADISHF
IDA,2017-04-01 00:50,-112.0708,43.5137,M,M,M,360.00,24.00,M,29.94,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KIDA 010050Z AUTO 36024KT 10SM FEW120 A2994 RMK MADISHF
