#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
IKV,2017-04-01 00:00,-93.5695,41.6878,42.80,37.40,81.07,10.00,7.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KIKV 010000Z AUTO 01007KT 10SM OVC018 06/03 A3006 RMK AO2
IKV,2017-04-01 00:10,-93.5695,41.6878,42.80,37.40,81.07,350.00,8.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KIKV 010010Z AUTO 35008KT 10SM OVC018 06/03 A3006 RMK AO2
IKV,2017-04-01 00:15,-93.5695,41.6878,42.80,37.40,81.07,360.00,8.00,0.00,30.07,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KIKV 010015Z AUTO 36008KT 10SM OVC019 06/03 A3007 RMK AO2
IKV,2017-04-01 00:20,-93.5695,41.6878,42.80,37.40,81.07,10.00,7.00,0.00,30.07,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KIKV 010020Z AUTO 01007KT 10SM OVC019 06/03 A3007 RMK AO2
IKV,2017-04-01 00:30,-93.5695,41.6878,42.80,37.40,81.07,20.00,9.00,0.00,30.07,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KIKV 010030Z AUTO 02009KT 10SM OVC019 06/03 A3007 RMK AO2
IKV,2017-04-01 00:35,-93.5695,41.6878,42.80,37.40,81.07,30.00,6.00,0.00,30.07,M,10.00,12.00,OVC,M,M,M,1900.00,M,M,M,M,KIKV 010035Z AUTO 03006G12KT 10SM OVC019 06/03 A3007 RMK AO2
IKV,2017-04-01 00:40,-93.5695,41.6878,42.80,37.40,81.07,20.00,6.00,0.00,30.08,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KIKV 010040Z AUTO 02006KT 10SM OVC019 06/03 A3008 RMK AO2
IKV,2017-04-01 00:50,-93.5695,41.6878,42.80,37.40,81.07,20.00,6.00,0.00,30.08,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KIKV 010050Z AUTO 02006KT 10SM OVC019 06/03 A3008 RMK AO2
IKV,2017-04-01 00:55,-93.5695,41.6878,42.80,37.40,81.07,30.00,6.00,0.00,30.09,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KIKV 010055Z AUTO 03006KT 10SM OVC018 06/03 A3009 RMK AO2
IKV,2017-04-01 01:00,-93.5695,41.6878,42.80,37.40,81.07,40.00,4.00,0.00,30.09,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KIKV 010100Z AUTO 04004KT 10SM OVC018 06/03 A3009 RMK AO2
IKV,2017-04-01 01:10,-93.5695,41.6878,42.80,37.40,81.07,40.00,3.00,0.00,30.10,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KIKV 010110Z AUTO 04003KT 10SM OVC018 06/03 A3010 RMK AO2
