#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
ILG,2017-04-01 00:00,-75.6008,39.6728,M,M,M,360.00,8.00,M,29.63,M,2.00,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KILG 010000Z AUTO 36008KT 2SM -RA BR OVC002 A2963 RMK MADISHF
ILG,2017-04-01 00:05,-75.6008,39.6728,M,M,M,10.00,9.00,M,29.63,M,2.50,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KILG 010005Z AUTO 01009KT 2 1/2SM -RA BR OVC002 A2963 RMK CIG 2V6  MADISHF
ILG,2017-04-01 00:10,-75.6008,39.6728,M,M,M,360.00,8.00,M,29.63,M,3.00,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KILG 010010Z AUTO 36008KT 3SM -RA BR OVC002 A2963 RMK CIG 2V6  MADISHF
ILG,2017-04-01 00:14,-75.6008,39.6728,50.00,50.00,100.00,10.00,7.00,0.00,29.64,M,3.00,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KILG 010014Z 01007KT 3SM -RA BR OVC002 10/10 A2964 RMK AO2 RAB2355 CIG 002V006 P0000 T01000100
ILG,2017-04-01 00:15,-75.6008,39.6728,M,M,M,10.00,7.00,M,29.64,M,4.00,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KILG 010015Z AUTO 01007KT 4SM -RA BR OVC002 A2964 RMK CIG 2V6  MADISHF
ILG,2017-04-01 00:20,-75.6008,39.6728,M,M,M,360.00,8.00,M,29.64,M,4.00,M,OVC,M,M,M,400.00,M,M,M,-RA BR,KILG 010020Z AUTO 36008KT 4SM -RA BR OVC004 A2964 RMK CIG 2V6  MADISHF
ILG,2017-04-01 00:25,-75.6008,39.6728,M,M,M,10.00,10.00,M,29.64,M,5.00,M,OVC,M,M,M,400.00,M,M,M,BR,KILG 010025Z AUTO 01010KT 5SM BR OVC004 A2964 RMK MADISHF
ILG,2017-04-01 00:30,-75.6008,39.6728,M,M,M,360.00,8.00,M,29.64,M,6.00,M,OVC,M,M,M,400.00,M,M,M,BR,KILG 010030Z AUTO 36008KT 6SM BR OVC004 A2964 RMK MADISHF
ILG,2017-04-01 00:35,-75.6008,39.6728,M,M,M,10.00,8.00,M,29.64,M,6.00,M,OVC,M,M,M,400.00,M,M,M,BR,KILG 010035Z AUTO 01008KT 6SM BR OVC004 A2964 RMK MADISHF
ILG,2017-04-01 00:40,-75.6008,39.6728,M,M,M,10.00,8.00,M,29.64,M,7.00,M,OVC,M,M,M,400.00,M,M,M,M,KILG 010040Z AUTO 01008KT 7SM OVC004 A2964 RMK MADISHF
