#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
INS,2017-04-01 00:58,-115.6733,36.5872,61.70,28.20,27.92,360.00,11.00,0.00,29.79,1006.60,10.00,M,BKN,BKN,M,M,7500.00,8500.00,M,M,M,KINS 010058Z AUTO 36011KT 10SM BKN075 BKN085 17/M02 A2979 RMK AO2 SLP066 T01651021 $
INS,2017-04-01 01:43,-115.6733,36.5872,60.80,28.40,29.06,360.00,12.00,0.00,29.80,M,10.00,17.00,SCT,M,M,M,8000.00,M,M,M,M,KINS 010143Z AUTO 36012G17KT 10SM SCT080 16/M02 A2980 RMK AO2 $
INS,2017-04-01 01:58,-115.6733,36.5872,60.30,28.80,30.07,350.00,11.00,0.00,29.81,1007.30,10.00,M,FEW,M,M,M,7500.00,M,M,M,M,KINS 010158Z AUTO 35011KT 10SM FEW075 16/M02 A2981 RMK AO2 SLP073 T01571018 $
INS,2017-04-01 02:08,-115.6733,36.5872,60.80,28.40,29.06,350.00,8.00,0.00,29.81,M,10.00,M,BKN,M,M,M,7500.00,M,M,M,M,KINS 010208Z AUTO 35008KT 10SM BKN075 16/M02 A2981 RMK AO2 $
INS,2017-04-01 02:58,-115.6733,36.5872,58.60,28.90,32.08,330.00,9.00,0.00,29.85,1008.70,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KINS 010258Z AUTO 33009KT 10SM OVC070 15/M02 A2985 RMK AO2 SLP087 T01481017 53020 $
INS,2017-04-01 03:58,-115.6733,36.5872,57.70,29.50,33.96,320.00,12.00,0.00,29.89,1010.30,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KINS 010358Z AUTO 32012KT 10SM OVC070 14/M01 A2989 RMK AO2 SLP103 T01431014 $
INS,2017-04-01 04:58,-115.6733,36.5872,56.50,29.80,35.90,350.00,4.00,0.00,29.93,1011.50,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KINS 010458Z AUTO 35004KT 10SM OVC070 14/M01 A2993 RMK AO2 SLP115 T01361012 $
INS,2017-04-01 05:58,-115.6733,36.5872,56.10,30.20,37.02,320.00,4.00,0.00,29.94,1011.80,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KINS 010558Z AUTO 32004KT 10SM OVC070 13/M01 A2994 RMK AO2 SLP118 T01341010 10170 20133 52029 $
INS,2017-04-01 06:58,-115.6733,36.5872,55.00,30.60,39.16,270.00,8.00,0.00,29.95,1011.90,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KINS 010658Z AUTO 27008KT 10SM OVC100 13/M01 A2995 RMK AO2 SLP119 T01281008 $
INS,2017-04-01 07:33,-115.6733,36.5872,55.40,30.20,37.97,290.00,6.00,0.00,29.95,M,10.00,M,OVC,M,M,M,9500.00,M,M,M,M,KINS 010733Z AUTO 29006KT 10SM OVC095 13/M01 A2995 RMK AO2 $
INS,2017-04-01 07:58,-115.6733,36.5872,55.20,30.70,39.03,220.00,3.00,0.00,29.95,1011.70,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KINS 010758Z AUTO 22003KT 10SM OVC090 13/M01 A2995 RMK AO2 SLP117 T01291007 401700043 $
INS,2017-04-01 08:48,-115.6733,36.5872,53.60,30.20,40.54,250.00,5.00,0.00,29.95,M,10.00,M,SCT,SCT,M,M,7500.00,9500.00,M,M,M,KINS 010848Z AUTO 25005KT 10SM SCT075 SCT095 12/M01 A2995 RMK AO2 $
INS,2017-04-01 08:58,-115.6733,36.5872,54.10,30.40,40.13,230.00,4.00,0.00,29.94,1011.40,10.00,M,FEW,FEW,M,M,7500.00,9500.00,M,M,M,KINS 010858Z AUTO 23004KT 10SM FEW075 FEW095 12/M01 A2994 RMK AO2 SLP114 T01231009 50001 $
INS,2017-04-01 09:58,-115.6733,36.5872,52.90,30.90,42.80,240.00,7.00,0.00,29.95,1011.70,10.00,M,CLR,M,M,M,M,M,M,M,M,KINS 010958Z AUTO 24007KT 10SM CLR 12/M01 A2995 RMK AO2 SLP117 T01161006 $
INS,2017-04-01 10:58,-115.6733,36.5872,50.40,30.40,45.99,0.00,0.00,0.00,29.96,1012.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KINS 011058Z AUTO 00000KT 10SM CLR 10/M01 A2996 RMK AO2 SLP123 T01021009 $
INS,2017-04-01 11:58,-115.6733,36.5872,46.80,30.60,53.06,250.00,5.00,0.00,29.98,1013.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KINS 011158Z AUTO 25005KT 10SM CLR 08/M01 A2998 RMK AO2 SLP132 T00821008 10136 20082 52010 $
INS,2017-04-01 12:58,-115.6733,36.5872,44.80,30.00,55.86,0.00,0.00,0.00,29.98,1013.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KINS 011258Z AUTO 00000KT 10SM CLR 07/M01 A2998 RMK AO2 SLP132 T00711011 $
INS,2017-04-01 13:58,-115.6733,36.5872,48.00,30.70,50.92,280.00,4.00,0.00,30.01,1014.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KINS 011358Z AUTO 28004KT 10SM CLR 09/M01 A3001 RMK AO2 SLP142 T00891007 $
INS,2017-04-01 14:58,-115.6733,36.5872,50.00,32.20,50.21,270.00,3.00,0.00,30.03,1014.90,10.00,M,CLR,M,M,M,M,M,M,M,M,KINS 011458Z AUTO 27003KT 10SM CLR 10/00 A3003 RMK AO2 SLP149 T01000001 52016 $
INS,2017-04-01 15:58,-115.6733,36.5872,56.50,31.80,38.93,0.00,0.00,0.00,30.04,1014.90,10.00,M,CLR,M,M,M,M,M,M,M,M,KINS 011558Z AUTO 00000KT 10SM CLR 14/00 A3004 RMK AO2 SLP149 T01361001 $
INS,2017-04-01 16:58,-115.6733,36.5872,59.50,31.10,33.97,220.00,3.00,0.00,30.05,1015.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KINS 011658Z AUTO 22003KT 10SM CLR 15/00 A3005 RMK AO2 SLP152 T01531005 $
INS,2017-04-01 17:58,-115.6733,36.5872,62.60,31.50,30.93,250.00,5.00,0.00,30.05,1015.00,10.00,M,CLR,M,M,M,M,M,M,M,M,KINS 011758Z AUTO 25005KT 10SM CLR 17/00 A3005 RMK AO2 SLP150 T01701003 10170 20069 51006 $
INS,2017-04-01 18:58,-115.6733,36.5872,64.60,30.70,27.92,190.00,4.00,0.00,30.03,1014.30,10.00,M,FEW,M,M,M,20000.00,M,M,M,M,KINS 011858Z AUTO 19004KT 10SM FEW200 18/M01 A3003 RMK AO2 SLP143 T01811007 $
INS,2017-04-01 19:58,-115.6733,36.5872,68.20,30.00,23.95,150.00,5.00,0.00,30.01,1013.40,10.00,M,CLR,M,M,M,M,M,M,M,M,KINS 011958Z AUTO 15005KT 10SM CLR 20/M01 A3001 RMK AO2 SLP134 T02011011 $
INS,2017-04-01 20:58,-115.6733,36.5872,69.10,28.60,21.93,M,3.00,0.00,29.99,1012.50,10.00,M,FEW,M,M,M,20000.00,M,M,M,M,KINS 012058Z AUTO VRB03KT 10SM FEW200 21/M02 A2999 RMK AO2 SLP125 T02061019 57018 $
INS,2017-04-01 21:58,-115.6733,36.5872,71.20,28.00,19.92,0.00,0.00,0.00,29.97,1011.80,10.00,M,CLR,M,M,M,M,M,M,M,M,KINS 012158Z AUTO 00000KT 10SM CLR 22/M02 A2997 RMK AO2 SLP118 T02181022 $
INS,2017-04-01 22:58,-115.6733,36.5872,72.30,27.70,18.96,90.00,8.00,0.00,29.95,1011.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KINS 012258Z AUTO 09008KT 070V130 10SM CLR 22/M02 A2995 RMK AO2 SLP113 T02241024 $
INS,2017-04-01 23:58,-115.6733,36.5872,72.70,28.00,18.94,140.00,7.00,0.00,29.95,1011.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KINS 012358Z AUTO 14007KT 10SM CLR 23/M02 A2995 RMK AO2 SLP113 T02261022 10228 20169 57014 $
