#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
IOW,2017-04-01 00:00,-91.5445,41.6394,M,M,M,20.00,7.00,M,30.05,M,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,KIOW 010000Z AUTO 02007KT 10SM OVC023 A3005 RMK MADISHF
IOW,2017-04-01 00:05,-91.5445,41.6394,M,M,M,30.00,10.00,M,30.05,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KIOW 010005Z AUTO 03010KT 10SM OVC024 A3005 RMK MADISHF
IOW,2017-04-01 00:10,-91.5445,41.6394,M,M,M,20.00,10.00,M,30.05,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KIOW 010010Z AUTO 02010KT 10SM OVC024 A3005 RMK MADISHF
IOW,2017-04-01 00:15,-91.5445,41.6394,M,M,M,20.00,7.00,M,30.05,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KIOW 010015Z AUTO 02007KT 10SM OVC024 A3005 RMK MADISHF
IOW,2017-04-01 00:20,-91.5445,41.6394,M,M,M,20.00,7.00,M,30.05,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KIOW 010020Z AUTO 02007KT 10SM OVC024 A3005 RMK MADISHF
IOW,2017-04-01 00:25,-91.5445,41.6394,M,M,M,10.00,8.00,M,30.05,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KIOW 010025Z AUTO 01008KT 10SM OVC024 A3005 RMK MADISHF
IOW,2017-04-01 00:30,-91.5445,41.6394,M,M,M,20.00,9.00,M,30.06,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KIOW 010030Z AUTO 02009KT 10SM OVC024 A3006 RMK MADISHF
IOW,2017-04-01 00:35,-91.5445,41.6394,M,M,M,20.00,7.00,M,30.06,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KIOW 010035Z AUTO 02007KT 10SM OVC024 A3006 RMK MADISHF
IOW,2017-04-01 00:40,-91.5445,41.6394,M,M,M,30.00,5.00,M,30.06,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KIOW 010040Z AUTO 03005KT 10SM OVC024 A3006 RMK MADISHF
IOW,2017-04-01 00:45,-91.5445,41.6394,M,M,M,40.00,8.00,M,30.07,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KIOW 010045Z AUTO 04008KT 10SM OVC024 A3007 RMK MADISHF
IOW,2017-04-01 00:50,-91.5445,41.6394,M,M,M,30.00,7.00,M,30.07,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KIOW 010050Z AUTO 03007KT 10SM OVC024 A3007 RMK MADISHF
IOW,2017-04-01 00:52,-91.5445,41.6394,45.00,36.00,70.53,20.00,8.00,0.00,30.07,1018.50,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KIOW 010052Z AUTO 02008KT 10SM OVC024 07/02 A3007 RMK AO2 SLP185 T00720022
IOW,2017-04-01 00:55,-91.5445,41.6394,M,M,M,40.00,6.00,M,30.07,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KIOW 010055Z AUTO 04006KT 10SM OVC024 A3007 RMK MADISHF
IOW,2017-04-01 01:00,-91.5445,41.6394,M,M,M,30.00,7.00,M,30.07,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KIOW 010100Z AUTO 03007KT 10SM OVC024 A3007 RMK MADISHF
IOW,2017-04-01 01:05,-91.5445,41.6394,M,M,M,30.00,8.00,M,30.07,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KIOW 010105Z AUTO 03008KT 10SM OVC024 A3007 RMK MADISHF
IOW,2017-04-01 01:10,-91.5445,41.6394,M,M,M,40.00,6.00,M,30.08,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KIOW 010110Z AUTO 04006KT 10SM OVC024 A3008 RMK MADISHF
IOW,2017-04-01 01:15,-91.5445,41.6394,M,M,M,30.00,6.00,M,30.08,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KIOW 010115Z AUTO 03006KT 10SM OVC024 A3008 RMK MADISHF
IOW,2017-04-01 01:20,-91.5445,41.6394,M,M,M,60.00,7.00,M,30.07,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KIOW 010120Z AUTO 06007KT 10SM OVC025 A3007 RMK MADISHF
IOW,2017-04-01 01:25,-91.5445,41.6394,M,M,M,60.00,6.00,M,30.07,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KIOW 010125Z AUTO 06006KT 10SM OVC025 A3007 RMK MADISHF
IOW,2017-04-01 01:30,-91.5445,41.6394,M,M,M,50.00,7.00,M,30.07,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KIOW 010130Z AUTO 05007KT 10SM OVC027 A3007 RMK MADISHF
IOW,2017-04-01 01:35,-91.5445,41.6394,M,M,M,50.00,6.00,M,30.07,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KIOW 010135Z AUTO 05006KT 10SM OVC027 A3007 RMK MADISHF
IOW,2017-04-01 01:40,-91.5445,41.6394,M,M,M,60.00,4.00,M,30.08,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KIOW 010140Z AUTO 06004KT 10SM OVC027 A3008 RMK MADISHF
IOW,2017-04-01 01:45,-91.5445,41.6394,M,M,M,40.00,4.00,M,30.08,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KIOW 010145Z AUTO 04004KT 10SM OVC027 A3008 RMK MADISHF
IOW,2017-04-01 01:50,-91.5445,41.6394,M,M,M,50.00,5.00,M,30.08,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KIOW 010150Z AUTO 05005KT 10SM OVC027 A3008 RMK MADISHF
IOW,2017-04-01 01:52,-91.5445,41.6394,45.00,35.10,68.05,50.00,5.00,0.00,30.08,1019.10,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KIOW 010152Z AUTO 05005KT 10SM OVC027 07/02 A3008 RMK AO2 SLP191 T00720017
IOW,2017-04-01 01:55,-91.5445,41.6394,M,M,M,60.00,4.00,M,30.08,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KIOW 010155Z AUTO 06004KT 10SM OVC027 A3008 RMK MADISHF
IOW,2017-04-01 02:00,-91.5445,41.6394,M,M,M,90.00,3.00,M,30.09,M,10.00,M,BKN,M,M,M,2700.00,M,M,M,M,KIOW 010200Z AUTO 09003KT 10SM BKN027 A3009 RMK MADISHF
IOW,2017-04-01 02:05,-91.5445,41.6394,M,M,M,80.00,3.00,M,30.09,M,10.00,M,BKN,M,M,M,2700.00,M,M,M,M,KIOW 010205Z AUTO 08003KT 10SM BKN027 A3009 RMK MADISHF
IOW,2017-04-01 02:10,-91.5445,41.6394,M,M,M,90.00,4.00,M,30.09,M,10.00,M,SCT,M,M,M,2700.00,M,M,M,M,KIOW 010210Z AUTO 09004KT 10SM SCT027 A3009 RMK MADISHF
IOW,2017-04-01 02:12,-91.5445,41.6394,44.10,34.00,67.41,100.00,3.00,0.00,30.09,M,10.00,M,SCT,M,M,M,2700.00,M,M,M,M,KIOW 010212Z AUTO 10003KT 10SM SCT027 07/01 A3009 RMK AO2 T00670011
IOW,2017-04-01 02:15,-91.5445,41.6394,M,M,M,120.00,3.00,M,30.10,M,10.00,M,FEW,M,M,M,2700.00,M,M,M,M,KIOW 010215Z AUTO 12003KT 10SM FEW027 A3010 RMK MADISHF
IOW,2017-04-01 02:20,-91.5445,41.6394,M,M,M,140.00,3.00,M,30.10,M,10.00,M,FEW,M,M,M,2700.00,M,M,M,M,KIOW 010220Z AUTO 14003KT 10SM FEW027 A3010 RMK MADISHF
IOW,2017-04-01 02:25,-91.5445,41.6394,M,M,M,0.00,0.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010225Z AUTO 00000KT 10SM CLR A3011 RMK MADISHF
IOW,2017-04-01 02:30,-91.5445,41.6394,M,M,M,0.00,0.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010230Z AUTO 00000KT 10SM CLR A3011 RMK MADISHF
IOW,2017-04-01 02:35,-91.5445,41.6394,M,M,M,0.00,0.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010235Z AUTO 00000KT 10SM CLR A3011 RMK MADISHF
IOW,2017-04-01 02:40,-91.5445,41.6394,M,M,M,250.00,4.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010240Z AUTO 25004KT 10SM CLR A3011 RMK MADISHF
IOW,2017-04-01 02:45,-91.5445,41.6394,M,M,M,260.00,4.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010245Z AUTO 26004KT 10SM CLR A3011 RMK MADISHF
IOW,2017-04-01 02:50,-91.5445,41.6394,M,M,M,280.00,3.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010250Z AUTO 28003KT 10SM CLR A3011 RMK MADISHF
IOW,2017-04-01 02:52,-91.5445,41.6394,37.00,32.00,81.93,290.00,3.00,0.00,30.11,1019.90,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010252Z AUTO 29003KT 10SM CLR 03/00 A3011 RMK AO2 SLP199 T00280000 51021
IOW,2017-04-01 02:55,-91.5445,41.6394,M,M,M,280.00,3.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010255Z AUTO 28003KT 10SM CLR A3011 RMK MADISHF
IOW,2017-04-01 03:00,-91.5445,41.6394,M,M,M,300.00,3.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010300Z AUTO 30003KT 10SM CLR A3011 RMK MADISHF
IOW,2017-04-01 03:05,-91.5445,41.6394,M,M,M,310.00,3.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010305Z AUTO 31003KT 10SM CLR A3011 RMK MADISHF
IOW,2017-04-01 03:10,-91.5445,41.6394,M,M,M,0.00,0.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010310Z AUTO 00000KT 10SM CLR A3011 RMK MADISHF
IOW,2017-04-01 03:15,-91.5445,41.6394,M,M,M,0.00,0.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010315Z AUTO 00000KT 10SM CLR A3011 RMK MADISHF
IOW,2017-04-01 03:20,-91.5445,41.6394,M,M,M,260.00,3.00,M,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010320Z AUTO 26003KT 10SM CLR A3012 RMK MADISHF
IOW,2017-04-01 03:25,-91.5445,41.6394,M,M,M,270.00,4.00,M,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010325Z AUTO 27004KT 10SM CLR A3012 RMK MADISHF
IOW,2017-04-01 03:30,-91.5445,41.6394,M,M,M,280.00,4.00,M,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010330Z AUTO 28004KT 10SM CLR A3012 RMK MADISHF
IOW,2017-04-01 03:35,-91.5445,41.6394,M,M,M,280.00,4.00,M,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010335Z AUTO 28004KT 10SM CLR A3012 RMK MADISHF
IOW,2017-04-01 03:40,-91.5445,41.6394,M,M,M,290.00,4.00,M,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010340Z AUTO 29004KT 10SM CLR A3012 RMK MADISHF
IOW,2017-04-01 03:45,-91.5445,41.6394,M,M,M,280.00,4.00,M,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010345Z AUTO 28004KT 10SM CLR A3012 RMK MADISHF
IOW,2017-04-01 03:50,-91.5445,41.6394,M,M,M,280.00,3.00,M,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010350Z AUTO 28003KT 10SM CLR A3013 RMK MADISHF
IOW,2017-04-01 03:52,-91.5445,41.6394,35.10,30.90,84.49,280.00,3.00,0.00,30.13,1020.70,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010352Z AUTO 28003KT 10SM CLR 02/M01 A3013 RMK AO2 SLP207 T00171006
IOW,2017-04-01 03:55,-91.5445,41.6394,M,M,M,280.00,3.00,M,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010355Z AUTO 28003KT 10SM CLR A3013 RMK MADISHF
IOW,2017-04-01 04:00,-91.5445,41.6394,M,M,M,270.00,3.00,M,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010400Z AUTO 27003KT 10SM CLR A3012 RMK MADISHF
IOW,2017-04-01 04:05,-91.5445,41.6394,M,M,M,290.00,3.00,M,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010405Z AUTO 29003KT 10SM CLR A3013 RMK MADISHF
IOW,2017-04-01 04:10,-91.5445,41.6394,M,M,M,0.00,0.00,M,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010410Z AUTO 00000KT 10SM CLR A3013 RMK MADISHF
IOW,2017-04-01 04:15,-91.5445,41.6394,M,M,M,0.00,0.00,M,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010415Z AUTO 00000KT 10SM CLR A3012 RMK MADISHF
IOW,2017-04-01 04:20,-91.5445,41.6394,M,M,M,0.00,0.00,M,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KIOW 010420Z AUTO 00000KT 10SM CLR A3013 RMK MADISHF
