#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
IZG,2017-04-01 00:00,-70.9479,43.9911,M,M,M,90.00,3.00,0.01,30.11,M,1.00,M,SCT,OVC,M,M,499.00,1100.00,M,M,-SN BR,KIZG 010000Z AUTO 09003KT 1SM -SN BR SCT004 OVC011 A3011 RMK P0001 MADISHF
IZG,2017-04-01 00:01,-70.9479,43.9911,30.00,28.90,95.61,70.00,3.00,0.01,30.11,M,1.00,M,SCT,OVC,M,M,500.00,1100.00,M,M,-SN BR,KIZG 010001Z AUTO 07003KT 1SM -SN BR SCT005 OVC011 M01/M02 A3011 RMK AO2 P0001 T10111017
IZG,2017-04-01 00:05,-70.9479,43.9911,M,M,M,80.00,3.00,0.02,30.11,M,1.00,M,SCT,OVC,M,M,499.00,900.00,M,M,-SN BR,KIZG 010005Z AUTO 08003KT 1SM -SN BR SCT004 OVC009 A3011 RMK P0002 MADISHF
IZG,2017-04-01 00:10,-70.9479,43.9911,30.90,28.90,92.18,60.00,3.00,0.02,30.11,M,1.00,M,FEW,OVC,M,M,500.00,900.00,M,M,-SN BR,KIZG 010010Z AUTO 06003KT 1SM -SN BR FEW005 OVC009 M01/M02 A3011 RMK AO2 P0002 T10061017
IZG,2017-04-01 00:15,-70.9479,43.9911,M,M,M,50.00,3.00,0.03,30.11,M,1.00,M,SCT,OVC,M,M,499.00,900.00,M,M,-SN BR,KIZG 010015Z AUTO 05003KT 1SM -SN BR SCT004 OVC009 A3011 RMK P0003 MADISHF
IZG,2017-04-01 00:20,-70.9479,43.9911,M,M,M,50.00,3.00,0.03,30.11,M,1.00,M,SCT,OVC,M,M,499.00,900.00,M,M,-SN BR,KIZG 010020Z AUTO 05003KT 1SM -SN BR SCT004 OVC009 A3011 RMK P0003 MADISHF
IZG,2017-04-01 00:25,-70.9479,43.9911,M,M,M,50.00,4.00,0.03,30.11,M,1.00,M,FEW,OVC,M,M,499.00,1100.00,M,M,-SN BR,KIZG 010025Z AUTO 05004KT 1SM -SN BR FEW004 OVC011 A3011 RMK P0003 MADISHF
IZG,2017-04-01 00:27,-70.9479,43.9911,30.00,28.90,95.61,50.00,4.00,0.04,30.11,M,1.00,M,FEW,OVC,M,M,500.00,1100.00,M,M,-SN BR,KIZG 010027Z AUTO 05004KT 1SM -SN BR FEW005 OVC011 M01/M02 A3011 RMK AO2 P0004 T10111017
IZG,2017-04-01 00:35,-70.9479,43.9911,M,M,M,60.00,3.00,0.04,30.11,M,1.00,M,VV ,M,M,M,1100.00,M,M,M,-SN BR,KIZG 010035Z AUTO 06003KT 1SM -SN BR VV011 A3011 RMK P0004 MADISHF
IZG,2017-04-01 00:40,-70.9479,43.9911,M,M,M,80.00,3.00,0.05,30.12,M,0.75,M,VV ,M,M,M,999.00,M,M,M,-SN BR,KIZG 010040Z AUTO 08003KT 1SM -SN BR VV009 A3012 RMK P0005 MADISHF
IZG,2017-04-01 00:43,-70.9479,43.9911,30.00,28.90,95.61,90.00,3.00,0.05,30.12,M,0.75,M,VV ,M,M,M,1000.00,M,M,M,-SN BR,KIZG 010043Z AUTO 09003KT 3/4SM -SN BR VV010 M01/M02 A3012 RMK AO2 P0005 T10111017
IZG,2017-04-01 00:45,-70.9479,43.9911,M,M,M,100.00,3.00,0.06,30.12,M,0.75,M,VV ,M,M,M,999.00,M,M,M,-SN BR,KIZG 010045Z AUTO 10003KT 1SM -SN BR VV009 A3012 RMK P0006 MADISHF
IZG,2017-04-01 00:54,-70.9479,43.9911,30.00,28.90,95.61,120.00,3.00,0.07,30.12,1020.60,0.75,M,VV ,M,M,M,900.00,M,M,M,-SN BR,KIZG 010054Z AUTO 12003KT 3/4SM -SN BR VV009 M01/M02 A3012 RMK AO2 SLP206 P0007 T10111017
IZG,2017-04-01 00:55,-70.9479,43.9911,M,M,M,110.00,3.00,M,30.12,M,0.75,M,VV ,M,M,M,900.00,M,M,M,-SN BR,KIZG 010055Z AUTO 11003KT 1SM -SN BR VV009 A3012 RMK MADISHF
IZG,2017-04-01 01:00,-70.9479,43.9911,M,M,M,0.00,0.00,0.01,30.12,M,0.75,M,VV ,M,M,M,900.00,M,M,M,-SN BR,KIZG 010100Z AUTO 00000KT 1SM -SN BR VV009 A3012 RMK P0001 MADISHF
IZG,2017-04-01 01:10,-70.9479,43.9911,M,M,M,90.00,3.00,0.02,30.12,M,0.75,M,VV ,M,M,M,900.00,M,M,M,-SN BR,KIZG 010110Z AUTO 09003KT 1SM -SN BR VV009 A3012 RMK P0002 MADISHF
IZG,2017-04-01 01:15,-70.9479,43.9911,M,M,M,0.00,0.00,0.03,30.11,M,0.75,M,VV ,M,M,M,900.00,M,M,M,-SN BR,KIZG 010115Z AUTO 00000KT 1SM -SN BR VV009 A3011 RMK P0003 MADISHF
IZG,2017-04-01 01:20,-70.9479,43.9911,M,M,M,0.00,0.00,0.03,30.11,M,0.75,M,VV ,M,M,M,800.00,M,M,M,-SN BR,KIZG 010120Z AUTO 00000KT 1SM -SN BR VV008 A3011 RMK P0003 MADISHF
IZG,2017-04-01 01:30,-70.9479,43.9911,M,M,M,0.00,0.00,0.04,30.11,M,1.00,M,SCT,OVC,M,M,499.00,900.00,M,M,-SN BR,KIZG 010130Z AUTO 00000KT 1SM -SN BR SCT004 OVC009 A3011 RMK P0004 MADISHF
IZG,2017-04-01 01:34,-70.9479,43.9911,30.00,30.00,100.00,0.00,0.00,0.05,30.11,M,1.00,M,SCT,OVC,M,M,500.00,900.00,M,M,-SN BR,KIZG 010134Z AUTO 00000KT 1SM -SN BR SCT005 OVC009 M01/M01 A3011 RMK AO2 P0005 T10111011
IZG,2017-04-01 01:35,-70.9479,43.9911,M,M,M,0.00,0.00,0.05,30.11,M,1.00,M,SCT,OVC,M,M,499.00,900.00,M,M,-SN BR,KIZG 010135Z AUTO 00000KT 1SM -SN BR SCT004 OVC009 A3011 RMK P0005 MADISHF
