#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
JQF,2017-04-01 00:55,-80.7091,35.3878,62.60,41.00,45.04,320.00,10.00,0.00,29.82,M,10.00,16.00,CLR,M,M,M,M,M,M,M,M,KJQF 010055Z 32010G16KT 10SM CLR 17/05 A2982
JQF,2017-04-01 01:50,-80.7091,35.3878,62.60,42.80,48.28,320.00,7.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJQF 010150Z 32007KT 10SM CLR 17/06 A2986
JQF,2017-04-01 02:50,-80.7091,35.3878,59.00,42.80,54.86,320.00,7.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJQF 010250Z 32007KT 10SM CLR 15/06 A2987
JQF,2017-04-01 03:50,-80.7091,35.3878,59.00,42.80,54.86,300.00,4.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJQF 010350Z AUTO 30004KT 10SM CLR 15/06 A2988 RMK AO2
JQF,2017-04-01 04:10,-80.7091,35.3878,59.00,42.80,54.86,300.00,6.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJQF 010410Z AUTO 30006KT 10SM CLR 15/06 A2987 RMK AO2
JQF,2017-04-01 04:30,-80.7091,35.3878,59.00,42.80,54.86,310.00,3.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJQF 010430Z AUTO 31003KT 10SM CLR 15/06 A2988 RMK AO2
JQF,2017-04-01 04:50,-80.7091,35.3878,57.20,42.80,58.52,280.00,4.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJQF 010450Z AUTO 28004KT 10SM CLR 14/06 A2988 RMK AO2
JQF,2017-04-01 05:10,-80.7091,35.3878,55.40,42.80,62.46,0.00,0.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJQF 010510Z AUTO 00000KT 10SM CLR 13/06 A2988 RMK AO2
JQF,2017-04-01 05:30,-80.7091,35.3878,53.60,42.80,66.70,0.00,0.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJQF 010530Z AUTO 00000KT 10SM CLR 12/06 A2988 RMK AO2
JQF,2017-04-01 05:50,-80.7091,35.3878,53.60,42.80,66.70,0.00,0.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJQF 010550Z AUTO 00000KT 10SM CLR 12/06 A2989 RMK AO2
JQF,2017-04-01 06:10,-80.7091,35.3878,51.80,42.80,71.26,0.00,0.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJQF 010610Z AUTO 00000KT 10SM CLR 11/06 A2988 RMK AO2
JQF,2017-04-01 06:30,-80.7091,35.3878,51.80,42.80,71.26,0.00,0.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJQF 010630Z AUTO 00000KT 10SM CLR 11/06 A2989 RMK AO2 LTG DSNT E
JQF,2017-04-01 06:50,-80.7091,35.3878,51.80,44.60,76.34,0.00,0.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJQF 010650Z AUTO 00000KT 10SM CLR 11/07 A2989 RMK AO2
JQF,2017-04-01 07:10,-80.7091,35.3878,50.00,42.80,76.18,320.00,4.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJQF 010710Z AUTO 32004KT 10SM CLR 10/06 A2989 RMK AO2
