#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
JZI,2017-04-01 00:15,-80.0029,32.7009,69.80,64.40,82.98,210.00,6.00,0.00,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010015Z AUTO 21006KT 10SM CLR 21/18 A2975 RMK AO2
JZI,2017-04-01 00:35,-80.0029,32.7009,69.80,62.60,77.90,210.00,5.00,0.00,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010035Z AUTO 21005KT 10SM CLR 21/17 A2976 RMK AO2
JZI,2017-04-01 00:55,-80.0029,32.7009,68.00,62.60,82.86,210.00,4.00,0.00,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010055Z AUTO 21004KT 10SM CLR 20/17 A2977 RMK AO2
JZI,2017-04-01 01:15,-80.0029,32.7009,68.00,62.60,82.86,220.00,3.00,0.00,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010115Z AUTO 22003KT 10SM CLR 20/17 A2978 RMK AO2
JZI,2017-04-01 01:35,-80.0029,32.7009,66.20,62.60,88.18,0.00,0.00,0.00,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010135Z AUTO 00000KT 10SM CLR 19/17 A2979 RMK AO2
JZI,2017-04-01 01:55,-80.0029,32.7009,66.20,60.80,82.74,0.00,0.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010155Z AUTO 00000KT 10SM CLR 19/16 A2980 RMK AO2
JZI,2017-04-01 02:15,-80.0029,32.7009,66.20,59.00,77.60,250.00,4.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010215Z AUTO 25004KT 10SM CLR 19/15 A2980 RMK AO2
JZI,2017-04-01 02:35,-80.0029,32.7009,66.20,57.20,72.74,250.00,4.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010235Z AUTO 25004KT 10SM CLR 19/14 A2981 RMK AO2
JZI,2017-04-01 02:55,-80.0029,32.7009,69.80,55.40,60.21,270.00,4.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010255Z AUTO 27004KT 10SM CLR 21/13 A2982 RMK AO2
JZI,2017-04-01 03:15,-80.0029,32.7009,66.20,57.20,72.74,280.00,5.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010315Z AUTO 28005KT 10SM CLR 19/14 A2983 RMK AO2
JZI,2017-04-01 03:35,-80.0029,32.7009,64.40,55.40,72.56,280.00,5.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010335Z AUTO 28005KT 10SM CLR 18/13 A2983 RMK AO2
JZI,2017-04-01 03:55,-80.0029,32.7009,66.20,53.60,63.82,270.00,5.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010355Z AUTO 27005KT 10SM CLR 19/12 A2984 RMK AO2
JZI,2017-04-01 04:15,-80.0029,32.7009,62.60,55.40,77.29,280.00,5.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010415Z AUTO 28005KT 10SM CLR 17/13 A2985 RMK AO2
JZI,2017-04-01 04:35,-80.0029,32.7009,64.40,53.60,67.95,290.00,5.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010435Z AUTO 29005KT 10SM CLR 18/12 A2985 RMK AO2
JZI,2017-04-01 04:55,-80.0029,32.7009,64.40,53.60,67.95,310.00,3.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010455Z AUTO 31003KT 10SM CLR 18/12 A2986 RMK AO2
JZI,2017-04-01 05:15,-80.0029,32.7009,60.80,55.40,82.37,300.00,4.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010515Z AUTO 30004KT 10SM CLR 16/13 A2986 RMK AO2
JZI,2017-04-01 05:35,-80.0029,32.7009,62.60,51.80,67.75,290.00,6.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010535Z AUTO 29006KT 10SM CLR 17/11 A2986 RMK AO2
JZI,2017-04-01 05:55,-80.0029,32.7009,64.40,51.80,63.60,270.00,4.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KJZI 010555Z AUTO 27004KT 10SM CLR 18/11 A2987 RMK AO2
