#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
KY8,2017-04-01 00:15,-86.8592,37.9530,46.40,42.80,87.19,310.00,7.00,0.00,29.95,M,10.00,M,BKN,OVC,M,M,1700.00,2100.00,M,M,M,KKY8 010015Z AUTO 31007KT 10SM BKN017 OVC021 08/06 A2995 RMK AO1
KY8,2017-04-01 00:35,-86.8592,37.9530,46.40,42.80,87.19,310.00,7.00,0.00,29.95,M,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,KKY8 010035Z AUTO 31007KT 10SM OVC017 08/06 A2995 RMK AO1
KY8,2017-04-01 00:55,-86.8592,37.9530,46.40,42.80,87.19,300.00,6.00,0.00,29.97,M,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,KKY8 010055Z AUTO 30006KT 10SM OVC017 08/06 A2997 RMK AO1
KY8,2017-04-01 01:15,-86.8592,37.9530,46.40,42.80,87.19,290.00,8.00,0.00,29.97,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KKY8 010115Z AUTO 29008KT 10SM OVC015 08/06 A2997 RMK AO1
KY8,2017-04-01 01:35,-86.8592,37.9530,46.40,44.60,93.40,300.00,4.00,0.00,29.98,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KKY8 010135Z AUTO 30004KT 10SM OVC015 08/07 A2998 RMK AO1
KY8,2017-04-01 01:55,-86.8592,37.9530,44.60,44.60,100.00,300.00,6.00,0.00,29.99,M,9.00,M,OVC,M,M,M,1300.00,M,M,M,M,KKY8 010155Z AUTO 30006KT 9SM OVC013 07/07 A2999 RMK AO1
KY8,2017-04-01 02:15,-86.8592,37.9530,44.60,44.60,100.00,290.00,6.00,0.00,30.00,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KKY8 010215Z AUTO 29006KT 10SM OVC015 07/07 A3000 RMK AO1
KY8,2017-04-01 02:35,-86.8592,37.9530,44.60,44.60,100.00,310.00,5.00,0.00,30.00,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KKY8 010235Z AUTO 31005KT 10SM OVC015 07/07 A3000 RMK AO1
KY8,2017-04-01 02:55,-86.8592,37.9530,44.60,44.60,100.00,320.00,6.00,0.00,30.01,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KKY8 010255Z AUTO 32006KT 10SM OVC013 07/07 A3001 RMK AO1
KY8,2017-04-01 03:15,-86.8592,37.9530,44.60,44.60,100.00,320.00,7.00,0.00,30.02,M,10.00,M,BKN,M,M,M,1300.00,M,M,M,M,KKY8 010315Z AUTO 32007KT 10SM BKN013 07/07 A3002 RMK AO1
KY8,2017-04-01 03:35,-86.8592,37.9530,44.60,44.60,100.00,300.00,5.00,0.00,30.02,M,10.00,M,BKN,BKN,M,M,1400.00,2000.00,M,M,M,KKY8 010335Z AUTO 30005KT 10SM BKN014 BKN020 07/07 A3002 RMK AO1
