#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
L35,2017-04-01 00:15,-116.8560,34.2638,44.60,19.40,36.18,320.00,6.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KL35 010015Z AUTO 32006KT 10SM CLR 07/M07 A2988 RMK AO2
L35,2017-04-01 00:35,-116.8560,34.2638,44.60,19.40,36.18,330.00,3.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KL35 010035Z AUTO 33003KT 10SM CLR 07/M07 A2989 RMK AO2
L35,2017-04-01 00:55,-116.8560,34.2638,44.60,21.20,39.06,60.00,7.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KL35 010055Z AUTO 06007KT 10SM CLR 07/M06 A2989 RMK AO2
L35,2017-04-01 01:15,-116.8560,34.2638,44.60,21.20,39.06,350.00,6.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KL35 010115Z AUTO 35006KT 304V014 10SM CLR 07/M06 A2989 RMK AO2
L35,2017-04-01 01:35,-116.8560,34.2638,44.60,21.20,39.06,50.00,10.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KL35 010135Z AUTO 05010KT 10SM CLR 07/M06 A2989 RMK AO2
L35,2017-04-01 01:55,-116.8560,34.2638,42.80,21.20,41.84,50.00,4.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KL35 010155Z AUTO 05004KT 10SM CLR 06/M06 A2990 RMK AO2
L35,2017-04-01 02:15,-116.8560,34.2638,42.80,21.20,41.84,0.00,0.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KL35 010215Z AUTO 00000KT 10SM CLR 06/M06 A2990 RMK AO2
L35,2017-04-01 02:35,-116.8560,34.2638,42.80,21.20,41.84,50.00,4.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KL35 010235Z AUTO 05004KT 10SM CLR 06/M06 A2991 RMK AO2
L35,2017-04-01 02:55,-116.8560,34.2638,42.80,21.20,41.84,50.00,8.00,0.00,29.92,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,KL35 010255Z AUTO 05008G15KT 10SM CLR 06/M06 A2992 RMK AO2
L35,2017-04-01 03:15,-116.8560,34.2638,41.00,21.20,44.85,50.00,4.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KL35 010315Z AUTO 05004KT 10SM CLR 05/M06 A2993 RMK AO2
L35,2017-04-01 03:35,-116.8560,34.2638,41.00,23.00,48.39,40.00,6.00,0.00,29.94,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,KL35 010335Z AUTO 04006G14KT 10SM CLR 05/M05 A2994 RMK AO2
L35,2017-04-01 03:55,-116.8560,34.2638,41.00,23.00,48.39,40.00,9.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KL35 010355Z AUTO 04009KT 10SM CLR 05/M05 A2994 RMK AO2
L35,2017-04-01 04:15,-116.8560,34.2638,41.00,23.00,48.39,350.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KL35 010415Z AUTO 35005KT 10SM CLR 05/M05 A2996 RMK AO2
L35,2017-04-01 04:35,-116.8560,34.2638,41.00,23.00,48.39,40.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KL35 010435Z AUTO 04005KT 10SM CLR 05/M05 A2997 RMK AO2
L35,2017-04-01 04:55,-116.8560,34.2638,41.00,23.00,48.39,30.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KL35 010455Z AUTO 03005KT 10SM CLR 05/M05 A2997 RMK AO2
