#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
LUK,2017-04-01 00:00,-84.4186,39.1033,M,M,M,M,M,M,29.85,M,9.00,19.00,BKN,BKN,OVC,M,1500.00,2200.00,2800.00,M,M,KLUK 010000Z AUTO /////G19KT 9SM BKN015 BKN022 OVC028 A2985 RMK MADISHF
LUK,2017-04-01 00:05,-84.4186,39.1033,M,M,M,280.00,10.00,M,29.86,M,7.00,M,BKN,OVC,M,M,1500.00,2200.00,M,M,-RA,KLUK 010005Z AUTO 28010KT 7SM -RA BKN015 OVC022 A2986 RMK MADISHF
LUK,2017-04-01 00:10,-84.4186,39.1033,M,M,M,280.00,11.00,M,29.86,M,7.00,M,OVC,M,M,M,1500.00,M,M,M,-RA,KLUK 010010Z AUTO 28011KT 7SM -RA OVC015 A2986 RMK MADISHF
LUK,2017-04-01 00:15,-84.4186,39.1033,M,M,M,270.00,11.00,M,29.87,M,8.00,M,OVC,M,M,M,1500.00,M,M,M,-RA,KLUK 010015Z AUTO 27011KT 8SM -RA OVC015 A2987 RMK MADISHF
LUK,2017-04-01 00:20,-84.4186,39.1033,M,M,M,280.00,9.00,M,29.87,M,7.00,M,OVC,M,M,M,1500.00,M,M,M,-RA,KLUK 010020Z AUTO 28009KT 7SM -RA OVC015 A2987 RMK MADISHF
LUK,2017-04-01 00:25,-84.4186,39.1033,M,M,M,300.00,10.00,M,29.88,M,8.00,M,OVC,M,M,M,1500.00,M,M,M,-RA,KLUK 010025Z AUTO 30010KT 8SM -RA OVC015 A2988 RMK MADISHF
LUK,2017-04-01 00:30,-84.4186,39.1033,M,M,M,320.00,9.00,M,29.88,M,8.00,M,OVC,M,M,M,1500.00,M,M,M,M,KLUK 010030Z AUTO 32009KT 8SM OVC015 A2988 RMK MADISHF
LUK,2017-04-01 00:35,-84.4186,39.1033,M,M,M,280.00,6.00,M,29.88,M,7.00,M,OVC,M,M,M,1500.00,M,M,M,M,KLUK 010035Z AUTO 28006KT 7SM OVC015 A2988 RMK MADISHF
LUK,2017-04-01 00:40,-84.4186,39.1033,M,M,M,300.00,8.00,M,29.88,M,7.00,M,OVC,M,M,M,1500.00,M,M,M,M,KLUK 010040Z AUTO 30008KT 7SM OVC015 A2988 RMK MADISHF
LUK,2017-04-01 00:45,-84.4186,39.1033,M,M,M,290.00,7.00,M,29.89,M,9.00,M,OVC,M,M,M,1500.00,M,M,M,M,KLUK 010045Z AUTO 29007KT 9SM OVC015 A2989 RMK WND 26V33  MADISHF
LUK,2017-04-01 00:50,-84.4186,39.1033,M,M,M,300.00,6.00,M,29.90,M,9.00,M,OVC,M,M,M,1500.00,M,M,M,M,KLUK 010050Z AUTO 30006KT 9SM OVC015 A2990 RMK MADISHF
