#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
LWB,2017-04-01 00:15,-80.3995,37.8583,48.20,43.90,84.98,300.00,5.00,0.00,29.77,M,10.00,M,SCT,BKN,OVC,M,2100.00,2800.00,3900.00,M,-DZ,KLWB 010015Z AUTO 30005KT 10SM -DZ SCT021 BKN028 OVC039 09/07 A2977 RMK AO2 T00900066
LWB,2017-04-01 00:35,-80.3995,37.8583,48.20,43.50,83.69,280.00,4.00,0.00,29.77,M,10.00,M,SCT,BKN,OVC,M,2100.00,2700.00,7000.00,M,M,KLWB 010035Z AUTO 28004KT 10SM SCT021 BKN027 OVC070 09/06 A2977 RMK AO2 T00900064
LWB,2017-04-01 00:55,-80.3995,37.8583,48.20,43.20,82.73,280.00,3.00,0.00,29.78,M,10.00,M,SCT,BKN,OVC,M,2100.00,2900.00,7000.00,M,M,KLWB 010055Z AUTO 28003KT 10SM SCT021 BKN029 OVC070 09/06 A2978 RMK AO2 T00900062
LWB,2017-04-01 01:15,-80.3995,37.8583,48.00,43.30,83.68,270.00,4.00,0.00,29.79,M,10.00,M,BKN,BKN,OVC,M,1900.00,2700.00,3300.00,M,M,KLWB 010115Z AUTO 27004KT 10SM BKN019 BKN027 OVC033 09/06 A2979 RMK AO2 T00890063
LWB,2017-04-01 01:35,-80.3995,37.8583,47.30,44.20,88.91,0.00,0.00,0.00,29.79,M,7.00,M,BKN,BKN,OVC,M,1500.00,2300.00,2700.00,M,-DZ,KLWB 010135Z AUTO 00000KT 7SM -DZ BKN015 BKN023 OVC027 09/07 A2979 RMK AO2 T00850068
LWB,2017-04-01 01:55,-80.3995,37.8583,46.90,44.20,90.26,280.00,8.00,0.00,29.80,M,10.00,M,BKN,BKN,OVC,M,1500.00,2500.00,9000.00,M,M,KLWB 010155Z AUTO 28008KT 10SM BKN015 BKN025 OVC090 08/07 A2980 RMK AO2 T00830068
LWB,2017-04-01 02:15,-80.3995,37.8583,46.90,44.20,90.26,280.00,8.00,0.00,29.80,M,7.00,M,SCT,BKN,OVC,M,1300.00,5000.00,9000.00,M,M,KLWB 010215Z AUTO 28008KT 7SM SCT013 BKN050 OVC090 08/07 A2980 RMK AO2 T00830068
LWB,2017-04-01 02:35,-80.3995,37.8583,46.60,44.60,92.70,280.00,7.00,0.00,29.80,M,5.00,M,SCT,BKN,OVC,M,2000.00,2900.00,9000.00,M,BR,KLWB 010235Z AUTO 28007KT 5SM BR SCT020 BKN029 OVC090 08/07 A2980 RMK AO2 T00810070
LWB,2017-04-01 02:55,-80.3995,37.8583,46.90,44.60,91.65,0.00,0.00,0.00,29.80,M,5.00,M,SCT,BKN,OVC,M,1500.00,2600.00,4200.00,M,BR,KLWB 010255Z AUTO 00000KT 5SM BR SCT015 BKN026 OVC042 08/07 A2980 RMK AO2 T00830070
LWB,2017-04-01 03:15,-80.3995,37.8583,47.10,44.80,91.66,280.00,5.00,0.00,29.80,M,7.00,M,SCT,BKN,OVC,M,1000.00,2300.00,2800.00,M,M,KLWB 010315Z AUTO 28005KT 7SM SCT010 BKN023 OVC028 08/07 A2980 RMK AO2 T00840071
LWB,2017-04-01 03:35,-80.3995,37.8583,46.90,44.80,92.35,0.00,0.00,0.00,29.80,M,5.00,M,SCT,SCT,OVC,M,800.00,1400.00,2100.00,M,BR,KLWB 010335Z AUTO 00000KT 5SM BR SCT008 SCT014 OVC021 08/07 A2980 RMK AO2 T00830071
LWB,2017-04-01 03:55,-80.3995,37.8583,46.90,45.10,93.41,270.00,9.00,0.00,29.80,M,4.00,M,SCT,BKN,OVC,M,1000.00,1800.00,2400.00,M,BR,KLWB 010355Z AUTO 27009KT 4SM BR SCT010 BKN018 OVC024 08/07 A2980 RMK AO2 T00830073
LWB,2017-04-01 04:15,-80.3995,37.8583,47.10,44.80,91.66,280.00,8.00,0.00,29.79,M,10.00,M,SCT,BKN,OVC,M,1200.00,2300.00,5000.00,M,M,KLWB 010415Z AUTO 28008KT 260V320 10SM SCT012 BKN023 OVC050 08/07 A2979 RMK AO2 T00840071
LWB,2017-04-01 04:35,-80.3995,37.8583,47.30,44.80,90.97,280.00,10.00,0.00,29.80,M,7.00,M,SCT,SCT,OVC,M,1100.00,2300.00,5000.00,M,M,KLWB 010435Z AUTO 28010KT 7SM SCT011 SCT023 OVC050 09/07 A2980 RMK AO2 T00850071
LWB,2017-04-01 04:55,-80.3995,37.8583,47.30,44.80,90.97,0.00,0.00,0.00,29.80,M,7.00,M,SCT,BKN,OVC,M,1100.00,2700.00,5000.00,M,M,KLWB 010455Z AUTO 00000KT 7SM SCT011 BKN027 OVC050 09/07 A2980 RMK AO2 T00850071 401440081
LWB,2017-04-01 05:15,-80.3995,37.8583,47.30,44.80,90.97,280.00,3.00,0.00,29.80,M,7.00,M,SCT,SCT,OVC,M,900.00,1400.00,2900.00,M,M,KLWB 010515Z AUTO 28003KT 7SM SCT009 SCT014 OVC029 09/07 A2980 RMK AO2 T00850071
LWB,2017-04-01 05:35,-80.3995,37.8583,47.30,44.80,90.97,0.00,0.00,0.00,29.80,M,10.00,M,SCT,SCT,OVC,M,1100.00,1700.00,2900.00,M,M,KLWB 010535Z AUTO 00000KT 10SM SCT011 SCT017 OVC029 09/07 A2980 RMK AO2 T00850071
