#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
LWD,2017-04-01 00:00,-93.9005,40.6306,M,M,M,60.00,7.00,M,30.02,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KLWD 010000Z AUTO 06007KT 10SM OVC024 A3002 RMK MADISHF
LWD,2017-04-01 00:05,-93.9005,40.6306,M,M,M,50.00,10.00,M,30.02,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KLWD 010005Z AUTO 05010KT 10SM OVC024 A3002 RMK MADISHF
LWD,2017-04-01 00:10,-93.9005,40.6306,M,M,M,30.00,9.00,M,30.02,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KLWD 010010Z AUTO 03009KT 10SM OVC024 A3002 RMK MADISHF
LWD,2017-04-01 00:15,-93.9005,40.6306,M,M,M,50.00,8.00,M,30.02,M,10.00,M,OVC,M,M,M,2400.00,M,M,M,M,KLWD 010015Z AUTO 05008KT 10SM OVC024 A3002 RMK MADISHF
LWD,2017-04-01 00:20,-93.9005,40.6306,M,M,M,60.00,7.00,M,30.03,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KLWD 010020Z AUTO 06007KT 10SM OVC025 A3003 RMK MADISHF
LWD,2017-04-01 00:25,-93.9005,40.6306,M,M,M,50.00,7.00,M,30.03,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KLWD 010025Z AUTO 05007KT 10SM OVC025 A3003 RMK MADISHF
LWD,2017-04-01 00:30,-93.9005,40.6306,M,M,M,60.00,9.00,M,30.03,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KLWD 010030Z AUTO 06009KT 10SM OVC025 A3003 RMK MADISHF
LWD,2017-04-01 00:35,-93.9005,40.6306,M,M,M,60.00,7.00,M,30.03,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KLWD 010035Z AUTO 06007KT 10SM OVC025 A3003 RMK MADISHF
LWD,2017-04-01 00:40,-93.9005,40.6306,M,M,M,60.00,8.00,M,30.03,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KLWD 010040Z AUTO 06008KT 10SM OVC025 A3003 RMK MADISHF
LWD,2017-04-01 00:45,-93.9005,40.6306,M,M,M,60.00,7.00,M,30.03,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KLWD 010045Z AUTO 06007KT 10SM OVC025 A3003 RMK MADISHF
LWD,2017-04-01 00:50,-93.9005,40.6306,M,M,M,50.00,9.00,M,30.04,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KLWD 010050Z AUTO 05009KT 10SM OVC025 A3004 RMK MADISHF
LWD,2017-04-01 00:53,-93.9005,40.6306,45.00,39.00,79.36,60.00,8.00,0.00,30.04,1017.90,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KLWD 010053Z AUTO 06008KT 10SM OVC025 07/04 A3004 RMK AO2 SLP179 T00720039
