#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
LWM,2017-04-01 00:00,-71.1234,42.7172,M,M,M,60.00,7.00,M,30.09,M,1.75,M,BKN,OVC,M,M,600.00,1600.00,M,M,-SN BR,KLWM 010000Z AUTO 06007KT 2SM -SN BR BKN006 OVC016 A3009 RMK MADISHF
LWM,2017-04-01 00:05,-71.1234,42.7172,M,M,M,60.00,6.00,M,30.09,M,1.50,M,BKN,OVC,M,M,600.00,1600.00,M,M,-SN BR,KLWM 010005Z AUTO 06006KT 1 1/2SM -SN BR BKN006 OVC016 A3009 RMK MADISHF
LWM,2017-04-01 00:10,-71.1234,42.7172,M,M,M,60.00,6.00,0.01,30.08,M,1.50,M,BKN,OVC,M,M,600.00,1600.00,M,M,-SN BR,KLWM 010010Z AUTO 06006KT 1 1/2SM -SN BR BKN006 OVC016 A3008 RMK P0001 MADISHF
LWM,2017-04-01 00:15,-71.1234,42.7172,M,M,M,60.00,7.00,0.02,30.08,M,1.50,M,BKN,OVC,M,M,600.00,1500.00,M,M,-SN BR,KLWM 010015Z AUTO 06007KT 1 1/2SM -SN BR BKN006 OVC015 A3008 RMK P0002 MADISHF
LWM,2017-04-01 00:20,-71.1234,42.7172,M,M,M,60.00,5.00,0.02,30.08,M,1.50,M,BKN,OVC,M,M,700.00,1300.00,M,M,-SN BR,KLWM 010020Z AUTO 06005KT 1 1/2SM -SN BR BKN007 OVC013 A3008 RMK P0002 MADISHF
LWM,2017-04-01 00:25,-71.1234,42.7172,M,M,M,60.00,6.00,0.03,30.08,M,1.50,M,BKN,OVC,M,M,700.00,1300.00,M,M,-SN BR,KLWM 010025Z AUTO 06006KT 1 1/2SM -SN BR BKN007 OVC013 A3008 RMK P0003 MADISHF
LWM,2017-04-01 00:30,-71.1234,42.7172,M,M,M,60.00,6.00,0.04,30.08,M,1.50,M,BKN,OVC,M,M,700.00,1300.00,M,M,-SN BR,KLWM 010030Z AUTO 06006KT 1 1/2SM -SN BR BKN007 OVC013 A3008 RMK P0004 MADISHF
LWM,2017-04-01 00:35,-71.1234,42.7172,M,M,M,70.00,6.00,0.05,30.08,M,1.75,M,BKN,OVC,M,M,700.00,1300.00,M,M,-SN BR,KLWM 010035Z AUTO 07006KT 2SM -SN BR BKN007 OVC013 A3008 RMK P0005 MADISHF
LWM,2017-04-01 00:40,-71.1234,42.7172,32.00,32.00,100.00,60.00,5.00,0.05,30.08,M,3.00,M,BKN,OVC,M,M,700.00,1300.00,M,M,-SN BR,KLWM 010040Z 06005KT 3SM -SN BR BKN007 OVC013 00/00 A3008 RMK AO2 P0005 T00000000
LWM,2017-04-01 00:45,-71.1234,42.7172,M,M,M,60.00,7.00,0.06,30.08,M,4.00,M,BKN,OVC,M,M,700.00,1300.00,M,M,-SN BR,KLWM 010045Z AUTO 06007KT 4SM -SN BR BKN007 OVC013 A3008 RMK P0006 MADISHF
LWM,2017-04-01 00:50,-71.1234,42.7172,M,M,M,70.00,6.00,0.06,30.08,M,4.00,M,OVC,M,M,M,700.00,M,M,M,-SN BR,KLWM 010050Z AUTO 07006KT 4SM -SN BR OVC007 A3008 RMK P0006 MADISHF
LWM,2017-04-01 00:54,-71.1234,42.7172,32.00,32.00,100.00,70.00,8.00,0.07,30.08,1018.70,4.00,M,BKN,OVC,M,M,700.00,1200.00,M,M,-SN BR,KLWM 010054Z 07008KT 4SM -SN BR BKN007 OVC012 00/00 A3008 RMK AO2 SLP187 P0007 T00000000
LWM,2017-04-01 00:55,-71.1234,42.7172,M,M,M,70.00,7.00,M,30.08,M,4.00,M,BKN,OVC,M,M,700.00,1200.00,M,M,-SN BR,KLWM 010055Z AUTO 07007KT 4SM -SN BR BKN007 OVC012 A3008 RMK MADISHF
LWM,2017-04-01 01:00,-71.1234,42.7172,M,M,M,70.00,7.00,0.01,30.08,M,4.00,M,BKN,OVC,M,M,700.00,1200.00,M,M,-SN BR,KLWM 010100Z AUTO 07007KT 4SM -SN BR BKN007 OVC012 A3008 RMK P0001 MADISHF
LWM,2017-04-01 01:05,-71.1234,42.7172,M,M,M,60.00,9.00,0.01,30.07,M,4.00,M,BKN,OVC,M,M,700.00,1200.00,M,M,-SN BR,KLWM 010105Z AUTO 06009KT 4SM -SN BR BKN007 OVC012 A3007 RMK P0001 MADISHF
LWM,2017-04-01 01:10,-71.1234,42.7172,M,M,M,70.00,8.00,0.02,30.07,M,4.00,M,BKN,OVC,M,M,700.00,1200.00,M,M,UP BR,KLWM 010110Z AUTO 07008KT 4SM UP BR BKN007 OVC012 A3007 RMK P0002 MADISHF
LWM,2017-04-01 01:15,-71.1234,42.7172,M,M,M,70.00,7.00,0.02,30.07,M,4.00,M,BKN,BKN,OVC,M,700.00,1200.00,4200.00,M,UP BR,KLWM 010115Z AUTO 07007KT 4SM UP BR BKN007 BKN012 OVC042 A3007 RMK P0002 MADISHF
LWM,2017-04-01 01:20,-71.1234,42.7172,M,M,M,70.00,8.00,0.03,30.07,M,4.00,M,BKN,BKN,OVC,M,700.00,1100.00,3999.00,M,UP BR,KLWM 010120Z AUTO 07008KT 4SM UP BR BKN007 BKN011 OVC039 A3007 RMK P0003 MADISHF
LWM,2017-04-01 01:25,-71.1234,42.7172,M,M,M,60.00,7.00,0.03,30.07,M,4.00,M,BKN,BKN,OVC,M,700.00,1100.00,3999.00,M,UP BR,KLWM 010125Z AUTO 06007KT 4SM UP BR BKN007 BKN011 OVC039 A3007 RMK P0003 MADISHF
LWM,2017-04-01 01:30,-71.1234,42.7172,M,M,M,70.00,7.00,0.03,30.07,M,4.00,M,BKN,BKN,OVC,M,700.00,1100.00,3999.00,M,UP BR,KLWM 010130Z AUTO 07007KT 4SM UP BR BKN007 BKN011 OVC039 A3007 RMK P0003 MADISHF
LWM,2017-04-01 01:35,-71.1234,42.7172,M,M,M,70.00,9.00,0.04,30.07,M,4.00,M,BKN,BKN,OVC,M,700.00,1100.00,3500.00,M,UP BR,KLWM 010135Z AUTO 07009KT 4SM UP BR BKN007 BKN011 OVC035 A3007 RMK P0004 MADISHF
LWM,2017-04-01 01:40,-71.1234,42.7172,M,M,M,70.00,8.00,0.04,30.06,M,2.50,M,BKN,OVC,M,M,700.00,3300.00,M,M,UP BR,KLWM 010140Z AUTO 07008KT 2 1/2SM UP BR BKN007 OVC033 A3006 RMK P0004 MADISHF
LWM,2017-04-01 01:44,-71.1234,42.7172,32.00,32.00,100.00,60.00,9.00,0.05,30.06,M,1.75,M,BKN,OVC,M,M,700.00,2700.00,M,M,-SN BR,KLWM 010144Z 06009KT 1 3/4SM -SN BR BKN007 OVC027 00/00 A3006 RMK AO2 UPB06E42SNE06B42 P0005 T00000000
LWM,2017-04-01 01:45,-71.1234,42.7172,M,M,M,60.00,8.00,0.05,30.06,M,1.75,M,BKN,OVC,M,M,700.00,2700.00,M,M,-SN BR,KLWM 010145Z AUTO 06008KT 2SM -SN BR BKN007 OVC027 A3006 RMK P0005 MADISHF
LWM,2017-04-01 01:50,-71.1234,42.7172,M,M,M,60.00,8.00,0.05,30.06,M,1.25,M,OVC,M,M,M,700.00,M,M,M,-SN BR,KLWM 010150Z AUTO 06008KT 1 1/2SM -SN BR OVC007 A3006 RMK P0005 MADISHF
