#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
M33,2017-04-01 00:15,-86.4088,36.3768,55.40,48.20,76.66,320.00,9.00,0.00,29.96,M,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,KM33 010015Z AUTO 32009KT 10SM OVC023 13/09 A2996 RMK A01
M33,2017-04-01 00:35,-86.4088,36.3768,55.40,48.20,76.66,320.00,7.00,0.00,29.96,M,10.00,13.00,OVC,M,M,M,2200.00,M,M,M,M,KM33 010035Z AUTO 32007G13KT 10SM OVC022 13/09 A2996 RMK A01
M33,2017-04-01 00:55,-86.4088,36.3768,55.40,48.20,76.66,330.00,4.00,0.00,29.97,M,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,KM33 010055Z AUTO 33004KT 10SM OVC022 13/09 A2997 RMK A01
M33,2017-04-01 01:15,-86.4088,36.3768,55.40,48.20,76.66,320.00,7.00,0.00,29.98,M,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,KM33 010115Z AUTO 32007KT 10SM OVC022 13/09 A2998 RMK A01
M33,2017-04-01 01:35,-86.4088,36.3768,53.60,46.40,76.50,350.00,8.00,0.00,29.99,M,10.00,M,OVC,M,M,M,2000.00,M,M,M,M,KM33 010135Z AUTO 35008KT 10SM OVC020 12/08 A2999 RMK A01
M33,2017-04-01 01:55,-86.4088,36.3768,53.60,46.40,76.50,340.00,7.00,0.00,30.00,M,10.00,M,SCT,OVC,M,M,2000.00,3000.00,M,M,M,KM33 010155Z AUTO 34007KT 10SM SCT020 OVC030 12/08 A3000 RMK A01
M33,2017-04-01 02:15,-86.4088,36.3768,53.60,46.40,76.50,330.00,6.00,0.00,30.01,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KM33 010215Z AUTO 33006KT 10SM OVC032 12/08 A3001 RMK A01
M33,2017-04-01 02:35,-86.4088,36.3768,53.60,46.40,76.50,340.00,6.00,0.00,30.02,M,10.00,11.00,FEW,OVC,M,M,2200.00,3300.00,M,M,M,KM33 010235Z AUTO 34006G11KT 10SM FEW022 OVC033 12/08 A3002 RMK A01
M33,2017-04-01 02:55,-86.4088,36.3768,51.80,44.60,76.34,320.00,9.00,0.00,30.02,M,10.00,M,FEW,OVC,M,M,2100.00,3400.00,M,M,M,KM33 010255Z AUTO 32009KT 10SM FEW021 OVC034 11/07 A3002 RMK A01
M33,2017-04-01 03:15,-86.4088,36.3768,51.80,44.60,76.34,320.00,5.00,0.00,30.03,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KM33 010315Z AUTO 32005KT 10SM OVC032 11/07 A3003 RMK A01
