#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
MDH,2017-04-01 00:00,-89.2500,37.7800,M,M,M,10.00,7.00,M,29.98,M,10.00,M,SCT,OVC,M,M,1900.00,2700.00,M,M,M,KMDH 010000Z AUTO 01007KT 10SM SCT019 OVC027 A2998 RMK MADISHF
MDH,2017-04-01 00:05,-89.2500,37.7800,M,M,M,10.00,7.00,M,29.98,M,10.00,M,FEW,OVC,M,M,1900.00,2700.00,M,M,M,KMDH 010005Z AUTO 01007KT 10SM FEW019 OVC027 A2998 RMK MADISHF
MDH,2017-04-01 00:20,-89.2500,37.7800,M,M,M,360.00,5.00,M,29.98,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KMDH 010020Z AUTO 36005KT 10SM OVC029 A2998 RMK MADISHF
MDH,2017-04-01 00:25,-89.2500,37.7800,M,M,M,360.00,6.00,M,29.99,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KMDH 010025Z AUTO 36006KT 10SM OVC029 A2999 RMK MADISHF
MDH,2017-04-01 00:30,-89.2500,37.7800,M,M,M,340.00,6.00,M,29.99,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KMDH 010030Z AUTO 34006KT 10SM OVC029 A2999 RMK MADISHF
MDH,2017-04-01 00:35,-89.2500,37.7800,M,M,M,350.00,5.00,M,29.99,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KMDH 010035Z AUTO 35005KT 10SM OVC029 A2999 RMK MADISHF
MDH,2017-04-01 00:40,-89.2500,37.7800,M,M,M,350.00,6.00,M,29.99,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KMDH 010040Z AUTO 35006KT 10SM OVC029 A2999 RMK MADISHF
MDH,2017-04-01 00:45,-89.2500,37.7800,M,M,M,350.00,4.00,M,29.99,M,10.00,M,FEW,OVC,M,M,1999.00,2900.00,M,M,M,KMDH 010045Z AUTO 35004KT 10SM FEW019 OVC029 A2999 RMK MADISHF
MDH,2017-04-01 00:50,-89.2500,37.7800,M,M,M,350.00,5.00,M,30.00,M,10.00,M,FEW,OVC,M,M,1999.00,2900.00,M,M,M,KMDH 010050Z AUTO 35005KT 10SM FEW019 OVC029 A3000 RMK MADISHF
MDH,2017-04-01 00:52,-89.2500,37.7800,48.00,45.00,89.29,340.00,5.00,0.00,30.00,1015.90,10.00,M,FEW,OVC,M,M,2000.00,2800.00,M,M,M,KMDH 010052Z 34005KT 10SM FEW020 OVC028 09/07 A3000 RMK AO2 SLP159 T00890072
MDH,2017-04-01 00:55,-89.2500,37.7800,M,M,M,340.00,5.00,M,30.00,M,10.00,M,FEW,OVC,M,M,1999.00,2800.00,M,M,M,KMDH 010055Z AUTO 34005KT 10SM FEW019 OVC028 A3000 RMK MADISHF
