#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
MDS,2017-04-01 00:10,-97.0859,44.0160,50.00,32.00,49.81,60.00,8.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KMDS 010010Z AUTO 06008KT 10SM CLR 10/00 A3005 RMK AO2
MDS,2017-04-01 00:30,-97.0859,44.0160,50.00,32.00,49.81,50.00,8.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KMDS 010030Z AUTO 05008KT 10SM CLR 10/00 A3006 RMK AO2
MDS,2017-04-01 00:50,-97.0859,44.0160,48.20,32.00,53.27,40.00,5.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KMDS 010050Z AUTO 04005KT 10SM CLR 09/00 A3008 RMK AO2
MDS,2017-04-01 01:10,-97.0859,44.0160,46.40,32.00,57.00,50.00,9.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KMDS 010110Z AUTO 05009KT 10SM CLR 08/00 A3007 RMK AO2
MDS,2017-04-01 01:30,-97.0859,44.0160,44.60,32.00,61.03,60.00,6.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KMDS 010130Z AUTO 06006KT 10SM CLR 07/00 A3008 RMK AO2
MDS,2017-04-01 01:50,-97.0859,44.0160,44.60,32.00,61.03,50.00,6.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KMDS 010150Z AUTO 05006KT 10SM CLR 07/00 A3009 RMK AO2
MDS,2017-04-01 02:10,-97.0859,44.0160,41.00,32.00,70.08,40.00,5.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KMDS 010210Z AUTO 04005KT 10SM CLR 05/00 A3010 RMK AO2
MDS,2017-04-01 02:30,-97.0859,44.0160,39.20,35.60,86.79,40.00,6.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KMDS 010230Z AUTO 04006KT 10SM CLR 04/02 A3011 RMK AO2
MDS,2017-04-01 02:50,-97.0859,44.0160,41.00,32.00,70.08,0.00,0.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KMDS 010250Z AUTO 00000KT 10SM CLR 05/00 A3012 RMK AO2
MDS,2017-04-01 03:10,-97.0859,44.0160,41.00,33.80,75.33,30.00,4.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KMDS 010310Z AUTO 03004KT 10SM CLR 05/01 A3012 RMK AO2
MDS,2017-04-01 03:30,-97.0859,44.0160,41.00,35.60,80.93,10.00,4.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KMDS 010330Z AUTO 01004KT 10SM CLR 05/02 A3013 RMK AO2
MDS,2017-04-01 03:50,-97.0859,44.0160,41.00,35.60,80.93,10.00,4.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KMDS 010350Z AUTO 01004KT 10SM CLR 05/02 A3014 RMK AO2
