#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
MIV,2017-04-01 00:00,-75.0783,39.3661,M,M,M,160.00,4.00,M,29.62,M,2.50,M,OVC,M,M,M,200.00,M,M,M,BR,KMIV 010000Z AUTO 16004KT 2 1/2SM BR OVC002 A2962 RMK MADISHF
MIV,2017-04-01 00:05,-75.0783,39.3661,M,M,M,150.00,4.00,M,29.63,M,2.50,M,OVC,M,M,M,200.00,M,M,M,BR,KMIV 010005Z AUTO 15004KT 2 1/2SM BR OVC002 A2963 RMK MADISHF
MIV,2017-04-01 00:10,-75.0783,39.3661,M,M,M,170.00,4.00,M,29.63,M,2.00,M,OVC,M,M,M,200.00,M,M,M,BR,KMIV 010010Z AUTO 17004KT 2SM BR OVC002 A2963 RMK MADISHF
MIV,2017-04-01 00:15,-75.0783,39.3661,M,M,M,160.00,4.00,M,29.63,M,2.00,M,OVC,M,M,M,200.00,M,M,M,BR,KMIV 010015Z AUTO 16004KT 2SM BR OVC002 A2963 RMK MADISHF
MIV,2017-04-01 00:20,-75.0783,39.3661,M,M,M,160.00,3.00,M,29.63,M,1.75,M,OVC,M,M,M,200.00,M,M,M,BR,KMIV 010020Z AUTO 16003KT 2SM BR OVC002 A2963 RMK VRB03KT  MADISHF
MIV,2017-04-01 00:23,-75.0783,39.3661,53.10,53.10,100.00,150.00,4.00,0.00,29.62,M,1.50,M,OVC,M,M,M,200.00,M,M,M,BR,KMIV 010023Z AUTO 15004KT 1 1/2SM BR OVC002 12/12 A2962 RMK AO2 T01170117
MIV,2017-04-01 00:25,-75.0783,39.3661,M,M,M,160.00,4.00,M,29.62,M,1.50,M,OVC,M,M,M,200.00,M,M,M,BR,KMIV 010025Z AUTO 16004KT 1 1/2SM BR OVC002 A2962 RMK MADISHF
MIV,2017-04-01 00:30,-75.0783,39.3661,M,M,M,160.00,3.00,M,29.61,M,1.25,M,OVC,M,M,M,200.00,M,M,M,BR,KMIV 010030Z AUTO 16003KT 1 1/2SM BR OVC002 A2961 RMK MADISHF
MIV,2017-04-01 00:35,-75.0783,39.3661,M,M,M,0.00,0.00,M,29.62,M,1.25,M,OVC,M,M,M,200.00,M,M,M,BR,KMIV 010035Z AUTO 00000KT 1 1/2SM BR OVC002 A2962 RMK MADISHF
MIV,2017-04-01 00:40,-75.0783,39.3661,M,M,M,0.00,0.00,M,29.62,M,1.00,M,OVC,M,M,M,200.00,M,M,M,BR,KMIV 010040Z AUTO 00000KT 1SM BR OVC002 A2962 RMK MADISHF
MIV,2017-04-01 00:45,-75.0783,39.3661,M,M,M,150.00,3.00,M,29.62,M,1.00,M,OVC,M,M,M,200.00,M,M,M,BR,KMIV 010045Z AUTO 15003KT 1SM BR OVC002 A2962 RMK MADISHF
MIV,2017-04-01 00:50,-75.0783,39.3661,M,M,M,160.00,3.00,M,29.62,M,0.75,M,OVC,M,M,M,200.00,M,M,M,BR,KMIV 010050Z AUTO 16003KT 1SM BR OVC002 A2962 RMK MADISHF
MIV,2017-04-01 00:54,-75.0783,39.3661,53.10,53.10,100.00,0.00,0.00,0.00,29.62,1002.80,1.00,M,OVC,M,M,M,200.00,M,M,M,BR,KMIV 010054Z AUTO 00000KT 1SM BR OVC002 12/12 A2962 RMK AO2 SLP028 T01170117
MIV,2017-04-01 00:55,-75.0783,39.3661,M,M,M,160.00,3.00,M,29.62,M,1.00,M,OVC,M,M,M,200.00,M,M,M,BR,KMIV 010055Z AUTO 16003KT 1SM BR OVC002 A2962 RMK MADISHF
MIV,2017-04-01 01:00,-75.0783,39.3661,M,M,M,160.00,3.00,M,29.62,M,1.00,M,OVC,M,M,M,200.00,M,M,M,BR,KMIV 010100Z AUTO 16003KT 1SM BR OVC002 A2962 RMK MADISHF
MIV,2017-04-01 01:05,-75.0783,39.3661,M,M,M,0.00,0.00,M,29.61,M,1.25,M,OVC,M,M,M,200.00,M,M,M,BR,KMIV 010105Z AUTO 00000KT 1 1/2SM BR OVC002 A2961 RMK MADISHF
