#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
MIW,2017-04-01 00:00,-92.9163,42.1106,M,M,M,30.00,10.00,M,30.04,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KMIW 010000Z AUTO 03010KT 10SM OVC019 A3004 RMK MADISHF
MIW,2017-04-01 00:05,-92.9163,42.1106,M,M,M,30.00,9.00,M,30.04,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KMIW 010005Z AUTO 03009KT 10SM OVC019 A3004 RMK MADISHF
MIW,2017-04-01 00:10,-92.9163,42.1106,M,M,M,30.00,8.00,M,30.04,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KMIW 010010Z AUTO 03008KT 10SM OVC019 A3004 RMK MADISHF
MIW,2017-04-01 00:15,-92.9163,42.1106,M,M,M,30.00,10.00,M,30.04,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KMIW 010015Z AUTO 03010KT 10SM OVC019 A3004 RMK MADISHF
MIW,2017-04-01 00:20,-92.9163,42.1106,M,M,M,40.00,7.00,M,30.03,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,KMIW 010020Z AUTO 04007KT 10SM OVC019 A3003 RMK MADISHF
MIW,2017-04-01 00:25,-92.9163,42.1106,M,M,M,40.00,9.00,M,30.03,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,KMIW 010025Z AUTO 04009KT 10SM OVC019 A3003 RMK MADISHF
MIW,2017-04-01 00:30,-92.9163,42.1106,M,M,M,40.00,7.00,M,30.03,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,KMIW 010030Z AUTO 04007KT 10SM OVC019 A3003 RMK MADISHF
MIW,2017-04-01 00:35,-92.9163,42.1106,M,M,M,40.00,10.00,M,30.04,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,KMIW 010035Z AUTO 04010KT 10SM OVC019 A3004 RMK MADISHF
MIW,2017-04-01 00:40,-92.9163,42.1106,M,M,M,40.00,9.00,M,30.04,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,KMIW 010040Z AUTO 04009KT 10SM OVC019 A3004 RMK MADISHF
MIW,2017-04-01 00:45,-92.9163,42.1106,M,M,M,50.00,7.00,M,30.04,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,KMIW 010045Z AUTO 05007KT 10SM OVC019 A3004 RMK MADISHF
