#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
MMU,2017-04-01 00:45,-74.4149,40.7993,37.40,37.40,100.00,70.00,12.00,0.00,29.78,M,4.00,18.00,OVC,M,M,M,800.00,M,M,M,RA BR,KMMU 010045Z 07012G18KT 4SM RA BR OVC008 03/03 A2978
MMU,2017-04-01 01:45,-74.4149,40.7993,37.40,37.40,100.00,60.00,11.00,0.00,29.77,M,4.00,18.00,OVC,M,M,M,800.00,M,M,M,-RA BR,KMMU 010145Z 06011G18KT 4SM -RA BR OVC008 03/03 A2977
MMU,2017-04-01 03:15,-74.4149,40.7993,37.40,37.40,100.00,50.00,10.00,0.01,29.73,M,3.00,18.00,OVC,M,M,M,800.00,M,M,M,RA,KMMU 010315Z AUTO 05010G18KT 3SM RA OVC008 03/03 A2973 RMK AO2 P0001
MMU,2017-04-01 03:35,-74.4149,40.7993,37.40,37.40,100.00,50.00,9.00,0.02,29.72,M,5.00,15.00,OVC,M,M,M,800.00,M,M,M,-RA,KMMU 010335Z AUTO 05009G15KT 5SM -RA OVC008 03/03 A2972 RMK AO2 P0002
MMU,2017-04-01 03:55,-74.4149,40.7993,37.40,37.40,100.00,50.00,9.00,0.00,29.71,M,5.00,15.00,OVC,M,M,M,800.00,M,M,M,-RA,KMMU 010355Z AUTO 05009G15KT 5SM -RA OVC008 03/03 A2971 RMK AO2
MMU,2017-04-01 04:15,-74.4149,40.7993,37.40,37.40,100.00,50.00,10.00,0.00,29.71,M,5.00,18.00,OVC,M,M,M,800.00,M,M,M,-DZ,KMMU 010415Z AUTO 05010G18KT 5SM -DZ OVC008 03/03 A2971 RMK AO2
MMU,2017-04-01 04:35,-74.4149,40.7993,37.40,37.40,100.00,40.00,10.00,0.00,29.71,M,7.00,21.00,OVC,M,M,M,800.00,M,M,M,M,KMMU 010435Z AUTO 04010G21KT 7SM OVC008 03/03 A2971 RMK AO2
MMU,2017-04-01 04:55,-74.4149,40.7993,37.40,37.40,100.00,50.00,10.00,0.00,29.70,M,5.00,16.00,OVC,M,M,M,800.00,M,M,M,BR,KMMU 010455Z AUTO 05010G16KT 5SM BR OVC008 03/03 A2970 RMK AO2
MMU,2017-04-01 05:15,-74.4149,40.7993,37.40,37.40,100.00,40.00,11.00,0.00,29.70,M,4.00,15.00,OVC,M,M,M,800.00,M,M,M,BR,KMMU 010515Z AUTO 04011G15KT 4SM BR OVC008 03/03 A2970 RMK AO2
MMU,2017-04-01 05:35,-74.4149,40.7993,37.40,37.40,100.00,40.00,13.00,0.00,29.69,M,4.00,19.00,OVC,M,M,M,800.00,M,M,M,BR,KMMU 010535Z AUTO 04013G19KT 4SM BR OVC008 03/03 A2969 RMK AO2
