#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
MPV,2017-04-01 00:00,-72.5623,44.2035,M,M,M,150.00,7.00,M,M,M,1.00,M,VV ,M,M,M,1300.00,M,M,M,-SN BR,KMPV 010000Z AUTO 15007KT 1SM -SN BR VV013 RMK MADISHF
MPV,2017-04-01 00:10,-72.5623,44.2035,M,M,M,150.00,6.00,0.01,M,M,1.00,M,VV ,M,M,M,1200.00,M,M,M,-SN BR,KMPV 010010Z AUTO 15006KT 1SM -SN BR VV012 RMK P0001 MADISHF
MPV,2017-04-01 00:15,-72.5623,44.2035,M,M,M,150.00,5.00,0.02,M,M,1.00,M,VV ,M,M,M,1200.00,M,M,M,-SN BR,KMPV 010015Z AUTO 15005KT 1SM -SN BR VV012 RMK P0002 MADISHF
MPV,2017-04-01 00:20,-72.5623,44.2035,M,M,M,150.00,7.00,0.02,M,M,1.00,M,FEW,OVC,M,M,800.00,1200.00,M,M,-SN BR,KMPV 010020Z AUTO 15007KT 1SM -SN BR FEW008 OVC012 RMK P0002 MADISHF
MPV,2017-04-01 00:25,-72.5623,44.2035,M,M,M,150.00,6.00,0.03,M,M,1.00,M,FEW,OVC,M,M,800.00,1200.00,M,M,-SN BR,KMPV 010025Z AUTO 15006KT 1SM -SN BR FEW008 OVC012 RMK P0003 MADISHF
MPV,2017-04-01 00:30,-72.5623,44.2035,M,M,M,160.00,6.00,0.03,M,M,1.00,M,VV ,M,M,M,1100.00,M,M,M,-SN BR,KMPV 010030Z AUTO 16006KT 1SM -SN BR VV011 RMK P0003 MADISHF
MPV,2017-04-01 00:35,-72.5623,44.2035,M,M,M,160.00,7.00,0.03,M,M,1.00,M,FEW,OVC,M,M,600.00,1200.00,M,M,-SN BR,KMPV 010035Z AUTO 16007KT 1SM -SN BR FEW006 OVC012 RMK P0003 MADISHF
MPV,2017-04-01 00:40,-72.5623,44.2035,M,M,M,160.00,5.00,0.04,M,M,1.00,M,FEW,OVC,M,M,700.00,1200.00,M,M,-SN BR,KMPV 010040Z AUTO 16005KT 1SM -SN BR FEW007 OVC012 RMK P0004 MADISHF
MPV,2017-04-01 00:45,-72.5623,44.2035,M,M,M,150.00,7.00,0.04,M,M,1.00,M,FEW,OVC,M,M,700.00,1200.00,M,M,-SN BR,KMPV 010045Z AUTO 15007KT 1SM -SN BR FEW007 OVC012 RMK P0004 MADISHF
MPV,2017-04-01 00:50,-72.5623,44.2035,M,M,M,150.00,5.00,0.04,M,M,1.00,M,VV ,M,M,M,1300.00,M,M,M,-SN BR,KMPV 010050Z AUTO 15005KT 1SM -SN BR VV013 RMK P0004 MADISHF
