#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
MQE,2017-04-01 00:54,-71.1142,42.2121,30.90,30.00,96.41,80.00,13.00,0.08,29.99,1017.30,M,21.00,M,M,M,M,M,M,M,M,M,KMQE 010054Z AUTO 08013G21KT M01/M01 A2999 RMK AO1 SLP173 P0008 T10061011
MQE,2017-04-01 01:54,-71.1142,42.2121,30.90,30.90,100.00,80.00,16.00,0.13,29.97,1016.50,M,24.00,M,M,M,M,M,M,M,M,M,KMQE 010154Z AUTO 08016G24KT M01/M01 A2997 RMK AO1 SLP165 P0013 T10061006
MQE,2017-04-01 02:54,-71.1142,42.2121,30.90,30.90,100.00,90.00,17.00,0.12,29.93,1015.10,M,27.00,M,M,M,M,M,M,M,M,M,KMQE 010254Z AUTO 09017G27KT M01/M01 A2993 RMK AO1 PK WND 09027/0251 SLP151 P0012 60033 T10061006 58026
MQE,2017-04-01 03:54,-71.1142,42.2121,30.90,30.90,100.00,80.00,15.00,0.11,29.90,1014.20,M,25.00,M,M,M,M,M,M,M,M,M,KMQE 010354Z AUTO 08015G25KT M01/M01 A2990 RMK AO1 PK WND 08030/0314 SLP142 P0011 T10061006
MQE,2017-04-01 04:54,-71.1142,42.2121,32.00,30.90,95.65,80.00,16.00,0.10,29.88,1013.40,M,30.00,M,M,M,M,M,M,M,M,M,KMQE 010454Z AUTO 08016G30KT 00/M01 A2988 RMK AO1 PK WND 09030/0447 SLP134 P0010 T00001006 400221011
MQE,2017-04-01 05:54,-71.1142,42.2121,32.00,30.90,95.65,90.00,16.00,0.10,29.84,1012.20,M,32.00,M,M,M,M,M,M,M,M,M,KMQE 010554Z AUTO 09016G32KT 00/M01 A2984 RMK AO1 PK WND 09032/0547 SLP122 P0010 60064 T00001006 10000 21006 58028
MQE,2017-04-01 06:54,-71.1142,42.2121,32.00,32.00,100.00,80.00,19.00,0.10,29.80,1010.90,M,31.00,M,M,M,M,M,M,M,M,M,KMQE 010654Z AUTO 08019G31KT 00/00 A2980 RMK AO1 PK WND 08033/0628 SLP109 P0010 T00000000
MQE,2017-04-01 07:54,-71.1142,42.2121,33.10,33.10,100.00,80.00,18.00,0.12,29.78,1010.00,M,30.00,M,M,M,M,M,M,M,M,M,KMQE 010754Z AUTO 08018G30KT 01/01 A2978 RMK AO1 PK WND 08034/0718 SLP100 P0012 T00060006
MQE,2017-04-01 09:54,-71.1142,42.2121,34.00,34.00,100.00,60.00,21.00,0.15,29.74,1008.70,M,34.00,M,M,M,M,M,M,M,M,M,KMQE 010954Z AUTO 06021G34KT 01/01 A2974 RMK AO1 PK WND 06035/0919 SLP087 P0015 T00110011
MQE,2017-04-01 10:54,-71.1142,42.2121,M,M,M,60.00,21.00,0.12,29.71,M,M,32.00,M,M,M,M,M,M,M,M,M,KMQE 011054Z AUTO 06021G32KT A2971 RMK AO1 PK WND 06036/1013 SLPNO P0012 $
MQE,2017-04-01 11:54,-71.1142,42.2121,M,M,M,60.00,18.00,0.18,29.72,M,M,36.00,M,M,M,M,M,M,M,M,M,KMQE 011154Z AUTO 06018G36KT A2972 RMK AO1 PK WND 07036/1151 SLPNO P0018 60081 70192 55007 $
MQE,2017-04-01 12:54,-71.1142,42.2121,M,M,M,50.00,18.00,0.22,29.74,M,M,33.00,M,M,M,M,M,M,M,M,M,KMQE 011254Z AUTO 05018G33KT A2974 RMK AO1 PK WND 08033/1253 SLPNO P0022 $
MQE,2017-04-01 14:54,-71.1142,42.2121,M,M,M,40.00,19.00,0.10,29.76,M,M,33.00,M,M,M,M,M,M,M,M,M,KMQE 011454Z AUTO 04019G33KT A2976 RMK AO1 PK WND 03033/1449 SLPNO P0010 60061 51013 $
MQE,2017-04-01 15:54,-71.1142,42.2121,M,M,M,20.00,17.00,0.18,29.75,M,M,31.00,M,M,M,M,M,M,M,M,M,KMQE 011554Z AUTO 02017G31KT A2975 RMK AO1 PK WND 01031/1549 SLPNO P0018 $
MQE,2017-04-01 16:54,-71.1142,42.2121,1.00,M,M,20.00,19.00,0.19,29.76,1009.90,M,34.00,M,M,M,M,M,M,M,M,M,KMQE 011654Z AUTO 02019G34KT M17/ A2976 RMK AO1 PK WND 03034/1652 SLP099 P0019 T1172 $
MQE,2017-04-01 17:54,-71.1142,42.2121,1.00,M,M,20.00,19.00,0.10,29.76,1009.90,M,33.00,M,M,M,M,M,M,M,M,M,KMQE 011754Z AUTO 02019G33KT M17/ A2976 RMK AO1 PK WND 03033/1716 SLP099 P0010 60108 T1172 56002 $
MQE,2017-04-01 18:54,-71.1142,42.2121,1.00,M,M,20.00,19.00,0.08,29.76,1010.00,M,30.00,M,M,M,M,M,M,M,M,M,KMQE 011854Z AUTO 02019G30KT M17/ A2976 RMK AO1 PK WND 03036/1816 SLP100 P0008 T1172 $
MQE,2017-04-01 19:54,-71.1142,42.2121,1.00,M,M,20.00,15.00,0.02,29.78,1010.50,M,34.00,M,M,M,M,M,M,M,M,M,KMQE 011954Z AUTO 02015G34KT M17/ A2978 RMK AO1 PK WND 04035/1902 SLP105 P0002 T1172 $
MQE,2017-04-01 20:54,-71.1142,42.2121,1.00,M,M,10.00,16.00,0.02,29.83,1012.20,M,30.00,M,M,M,M,M,M,M,M,M,KMQE 012054Z AUTO 01016G30KT M17/ A2983 RMK AO1 PK WND 03032/2003 SLP122 P0002 60012 T1172 53023 $
