#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
MVY,2017-04-01 00:00,-70.6150,41.3931,M,M,M,100.00,13.00,M,30.01,M,8.00,M,SCT,BKN,OVC,M,1200.00,1999.00,3000.00,M,-RA,KMVY 010000Z AUTO 10013KT 8SM -RA SCT012 BKN019 OVC030 A3001 RMK MADISHF
MVY,2017-04-01 00:05,-70.6150,41.3931,M,M,M,90.00,14.00,M,30.01,M,8.00,20.00,FEW,BKN,OVC,M,1200.00,1999.00,3100.00,M,-RA,KMVY 010005Z AUTO 09014G20KT 8SM -RA FEW012 BKN019 OVC031 A3001 RMK MADISHF
MVY,2017-04-01 00:10,-70.6150,41.3931,M,M,M,100.00,16.00,0.01,30.00,M,7.00,M,SCT,SCT,OVC,M,1200.00,1999.00,3100.00,M,-RA,KMVY 010010Z AUTO 10016KT 7SM -RA SCT012 SCT019 OVC031 A3000 RMK P0001 MADISHF
MVY,2017-04-01 00:15,-70.6150,41.3931,M,M,M,90.00,14.00,0.01,30.00,M,6.00,M,SCT,BKN,OVC,M,1200.00,1999.00,3100.00,M,-RA BR,KMVY 010015Z AUTO 09014KT 6SM -RA BR SCT012 BKN019 OVC031 A3000 RMK P0001 MADISHF
MVY,2017-04-01 00:20,-70.6150,41.3931,M,M,M,100.00,16.00,0.01,30.00,M,6.00,M,BKN,BKN,OVC,M,1300.00,1999.00,3100.00,M,-RA BR,KMVY 010020Z AUTO 10016KT 6SM -RA BR BKN013 BKN019 OVC031 A3000 RMK P0001 MADISHF
MVY,2017-04-01 00:25,-70.6150,41.3931,M,M,M,90.00,14.00,0.02,30.00,M,7.00,M,BKN,BKN,OVC,M,1300.00,1999.00,3100.00,M,-RA,KMVY 010025Z AUTO 09014KT 7SM -RA BKN013 BKN019 OVC031 A3000 RMK P0002 MADISHF
MVY,2017-04-01 00:26,-70.6150,41.3931,37.00,33.10,85.64,90.00,15.00,0.02,30.00,M,7.00,24.00,FEW,BKN,OVC,M,1000.00,1300.00,3100.00,M,-RA,KMVY 010026Z AUTO 09015G24KT 7SM -RA FEW010 BKN013 OVC031 03/01 A3000 RMK AO2 P0002 T00280006 TSNO
MVY,2017-04-01 00:30,-70.6150,41.3931,M,M,M,90.00,14.00,0.02,30.00,M,7.00,M,FEW,BKN,OVC,M,999.00,1500.00,3100.00,M,-RA,KMVY 010030Z AUTO 09014KT 7SM -RA FEW009 BKN015 OVC031 A3000 RMK P0002 MADISHF
MVY,2017-04-01 00:35,-70.6150,41.3931,M,M,M,90.00,15.00,0.03,30.00,M,7.00,M,BKN,BKN,OVC,M,1200.00,1900.00,3100.00,M,-RA,KMVY 010035Z AUTO 09015KT 7SM -RA BKN012 BKN019 OVC031 A3000 RMK P0003 MADISHF
MVY,2017-04-01 00:40,-70.6150,41.3931,M,M,M,90.00,17.00,0.03,30.00,M,8.00,M,SCT,BKN,OVC,M,1200.00,1900.00,3100.00,M,-RA,KMVY 010040Z AUTO 09017KT 8SM -RA SCT012 BKN019 OVC031 A3000 RMK P0003 MADISHF
MVY,2017-04-01 00:45,-70.6150,41.3931,M,M,M,90.00,17.00,0.03,29.99,M,8.00,M,SCT,BKN,OVC,M,1200.00,2200.00,3100.00,M,-RA,KMVY 010045Z AUTO 09017KT 8SM -RA SCT012 BKN022 OVC031 A2999 RMK P0003 MADISHF
MVY,2017-04-01 00:50,-70.6150,41.3931,37.40,33.80,86.69,90.00,12.00,0.04,30.00,M,7.00,23.00,SCT,BKN,OVC,M,1200.00,2000.00,3100.00,M,-RA,KMVY 010050Z AUTO 09012G23KT 7SM -RA SCT012 BKN020 OVC031 03/01 A3000 RMK AO2 P0004 TSNO
MVY,2017-04-01 00:53,-70.6150,41.3931,37.00,34.00,88.78,100.00,13.00,0.04,29.99,1015.70,7.00,23.00,SCT,BKN,OVC,M,1200.00,2000.00,3100.00,M,-RA,KMVY 010053Z AUTO 10013G23KT 7SM -RA SCT012 BKN020 OVC031 03/01 A2999 RMK AO2 SLP157 P0004 T00280011 TSNO
MVY,2017-04-01 00:55,-70.6150,41.3931,M,M,M,100.00,16.00,M,29.99,M,7.00,M,SCT,BKN,OVC,M,1200.00,1999.00,3100.00,M,-RA,KMVY 010055Z AUTO 10016KT 7SM -RA SCT012 BKN019 OVC031 A2999 RMK MADISHF
MVY,2017-04-01 01:00,-70.6150,41.3931,M,M,M,100.00,15.00,0.01,29.99,M,7.00,M,SCT,BKN,OVC,M,1200.00,1999.00,3000.00,M,-RA,KMVY 010100Z AUTO 10015KT 7SM -RA SCT012 BKN019 OVC030 A2999 RMK P0001 MADISHF
MVY,2017-04-01 01:05,-70.6150,41.3931,M,M,M,90.00,17.00,0.02,29.98,M,6.00,M,SCT,BKN,OVC,M,1200.00,1999.00,3000.00,M,RA BR,KMVY 010105Z AUTO 09017KT 6SM RA BR SCT012 BKN019 OVC030 A2998 RMK P0002 MADISHF
MVY,2017-04-01 01:10,-70.6150,41.3931,M,M,M,100.00,17.00,0.02,29.98,M,6.00,M,SCT,BKN,OVC,M,1200.00,1900.00,3000.00,M,RA BR,KMVY 010110Z AUTO 10017KT 6SM RA BR SCT012 BKN019 OVC030 A2998 RMK P0002 MADISHF
MVY,2017-04-01 01:15,-70.6150,41.3931,M,M,M,90.00,14.00,0.03,29.97,M,6.00,M,SCT,BKN,OVC,M,1200.00,2100.00,3000.00,M,RA BR,KMVY 010115Z AUTO 09014KT 6SM RA BR SCT012 BKN021 OVC030 A2997 RMK P0003 MADISHF
MVY,2017-04-01 01:20,-70.6150,41.3931,M,M,M,90.00,12.00,0.04,29.97,M,6.00,M,SCT,BKN,OVC,M,999.00,1400.00,3000.00,M,RA BR,KMVY 010120Z AUTO 09012KT 6SM RA BR SCT009 BKN014 OVC030 A2997 RMK P0004 MADISHF
MVY,2017-04-01 01:22,-70.6150,41.3931,37.00,34.00,88.78,90.00,17.00,0.04,29.97,M,6.00,23.00,SCT,BKN,OVC,M,1000.00,1400.00,3000.00,M,RA BR,KMVY 010122Z AUTO 09017G23KT 6SM RA BR SCT010 BKN014 OVC030 03/01 A2997 RMK AO2 P0004 T00280011 TSNO
MVY,2017-04-01 01:25,-70.6150,41.3931,M,M,M,100.00,18.00,0.05,29.97,M,5.00,M,SCT,BKN,OVC,M,1200.00,1900.00,3000.00,M,RA BR,KMVY 010125Z AUTO 10018KT 5SM RA BR SCT012 BKN019 OVC030 A2997 RMK P0005 MADISHF
