#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
N03,2017-04-01 00:15,-76.2149,42.5926,37.40,37.40,100.00,100.00,3.00,0.00,29.73,M,7.00,M,OVC,M,M,M,1300.00,M,M,M,RA,KN03 010015Z AUTO 10003KT 7SM RA OVC013 03/03 A2973 RMK AO2
N03,2017-04-01 00:35,-76.2149,42.5926,37.40,37.40,100.00,0.00,0.00,0.00,29.74,M,4.00,M,BKN,BKN,OVC,M,1300.00,1700.00,2300.00,M,RA,KN03 010035Z AUTO 00000KT 4SM RA BKN013 BKN017 OVC023 03/03 A2974 RMK AO2
N03,2017-04-01 00:55,-76.2149,42.5926,37.40,37.40,100.00,0.00,0.00,0.00,29.74,M,4.00,M,SCT,BKN,OVC,M,1000.00,1600.00,2300.00,M,-RA,KN03 010055Z AUTO 00000KT 4SM -RA SCT010 BKN016 OVC023 03/03 A2974 RMK AO2
N03,2017-04-01 01:15,-76.2149,42.5926,37.40,37.40,100.00,0.00,0.00,0.00,29.74,M,5.00,M,SCT,BKN,OVC,M,1100.00,1500.00,2800.00,M,-RA,KN03 010115Z AUTO 00000KT 5SM -RA SCT011 BKN015 OVC028 03/03 A2974 RMK AO2
N03,2017-04-01 01:35,-76.2149,42.5926,37.40,35.60,93.14,130.00,3.00,0.00,29.74,M,5.00,M,BKN,OVC,M,M,1400.00,2500.00,M,M,-RA,KN03 010135Z AUTO 13003KT 5SM -RA BKN014 OVC025 03/02 A2974 RMK AO2
N03,2017-04-01 01:55,-76.2149,42.5926,37.40,37.40,100.00,0.00,0.00,0.00,29.74,M,7.00,M,BKN,OVC,M,M,1400.00,2500.00,M,M,-RA,KN03 010155Z AUTO 00000KT 7SM -RA BKN014 OVC025 03/03 A2974 RMK AO2
N03,2017-04-01 02:15,-76.2149,42.5926,35.60,35.60,100.00,0.00,0.00,0.00,29.74,M,5.00,M,BKN,BKN,OVC,M,1200.00,2600.00,3100.00,M,-RA,KN03 010215Z AUTO 00000KT 5SM -RA BKN012 BKN026 OVC031 02/02 A2974 RMK AO2
N03,2017-04-01 02:35,-76.2149,42.5926,35.60,35.60,100.00,0.00,0.00,0.00,29.74,M,4.00,M,SCT,BKN,OVC,M,1000.00,1400.00,2600.00,M,RA,KN03 010235Z AUTO 00000KT 4SM RA SCT010 BKN014 OVC026 02/02 A2974 RMK AO2
N03,2017-04-01 02:55,-76.2149,42.5926,35.60,35.60,100.00,0.00,0.00,0.00,29.74,M,5.00,M,OVC,M,M,M,1400.00,M,M,M,DZ,KN03 010255Z AUTO 00000KT 5SM DZ OVC014 02/02 A2974 RMK AO2
N03,2017-04-01 03:15,-76.2149,42.5926,35.60,35.60,100.00,90.00,3.00,0.00,29.73,M,10.00,M,BKN,OVC,M,M,1000.00,1700.00,M,M,-RA,KN03 010315Z AUTO 09003KT 10SM -RA BKN010 OVC017 02/02 A2973 RMK AO2
N03,2017-04-01 03:35,-76.2149,42.5926,35.60,35.60,100.00,100.00,5.00,0.00,29.73,M,10.00,M,BKN,OVC,M,M,1200.00,2500.00,M,M,-DZ,KN03 010335Z AUTO 10005KT 10SM -DZ BKN012 OVC025 02/02 A2973 RMK AO2
N03,2017-04-01 03:55,-76.2149,42.5926,35.60,35.60,100.00,100.00,6.00,0.00,29.73,M,10.00,M,BKN,OVC,M,M,1400.00,2300.00,M,M,DZ,KN03 010355Z AUTO 10006KT 10SM DZ BKN014 OVC023 02/02 A2973 RMK AO2
N03,2017-04-01 04:15,-76.2149,42.5926,35.60,35.60,100.00,110.00,3.00,0.00,29.73,M,10.00,M,SCT,OVC,M,M,1400.00,2500.00,M,M,-RA,KN03 010415Z AUTO 11003KT 10SM -RA SCT014 OVC025 02/02 A2973 RMK AO2
N03,2017-04-01 04:35,-76.2149,42.5926,35.60,35.60,100.00,110.00,3.00,0.00,29.74,M,10.00,M,BKN,OVC,M,M,1400.00,2300.00,M,M,-RA,KN03 010435Z AUTO 11003KT 10SM -RA BKN014 OVC023 02/02 A2974 RMK AO2
N03,2017-04-01 04:55,-76.2149,42.5926,35.60,35.60,100.00,110.00,3.00,0.00,29.74,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,-RA,KN03 010455Z AUTO 11003KT 10SM -RA OVC012 02/02 A2974 RMK AO2
N03,2017-04-01 05:15,-76.2149,42.5926,35.60,35.60,100.00,0.00,0.00,0.00,29.74,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,-RA,KN03 010515Z AUTO 00000KT 10SM -RA OVC012 02/02 A2974 RMK AO2
N03,2017-04-01 05:35,-76.2149,42.5926,35.60,35.60,100.00,0.00,0.00,0.00,29.74,M,7.00,M,OVC,M,M,M,1200.00,M,M,M,-RA,KN03 010535Z AUTO 00000KT 7SM -RA OVC012 02/02 A2974 RMK AO2
N03,2017-04-01 05:55,-76.2149,42.5926,35.60,35.60,100.00,0.00,0.00,0.00,29.74,M,4.00,M,OVC,M,M,M,1000.00,M,M,M,-RA,KN03 010555Z AUTO 00000KT 4SM -RA OVC010 02/02 A2974 RMK AO2
N03,2017-04-01 06:15,-76.2149,42.5926,35.60,35.60,100.00,0.00,0.00,0.00,29.74,M,3.00,M,OVC,M,M,M,800.00,M,M,M,-RA,KN03 010615Z AUTO 00000KT 3SM -RA OVC008 02/02 A2974 RMK AO2
N03,2017-04-01 06:35,-76.2149,42.5926,35.60,35.60,100.00,0.00,0.00,0.00,29.74,M,3.00,M,SCT,OVC,M,M,200.00,800.00,M,M,-RA,KN03 010635Z AUTO 00000KT 3SM -RA SCT002 OVC008 02/02 A2974 RMK AO2
N03,2017-04-01 06:55,-76.2149,42.5926,35.60,35.60,100.00,0.00,0.00,0.00,29.75,M,2.50,M,SCT,OVC,M,M,200.00,800.00,M,M,-SN,KN03 010655Z AUTO 00000KT 2 1/2SM -SN SCT002 OVC008 02/02 A2975 RMK AO2
N03,2017-04-01 07:15,-76.2149,42.5926,35.60,35.60,100.00,70.00,3.00,0.00,29.75,M,3.00,M,SCT,BKN,OVC,M,400.00,800.00,1300.00,M,-RA,KN03 010715Z AUTO 07003KT 3SM -RA SCT004 BKN008 OVC013 02/02 A2975 RMK AO2
N03,2017-04-01 07:35,-76.2149,42.5926,35.60,35.60,100.00,100.00,3.00,0.00,29.75,M,5.00,M,SCT,SCT,OVC,M,400.00,700.00,1300.00,M,RA,KN03 010735Z AUTO 10003KT 5SM RA SCT004 SCT007 OVC013 02/02 A2975 RMK AO2
N03,2017-04-01 07:55,-76.2149,42.5926,35.60,35.60,100.00,0.00,0.00,0.00,29.76,M,4.00,M,SCT,BKN,OVC,M,500.00,900.00,1300.00,M,-RA,KN03 010755Z AUTO 00000KT 4SM -RA SCT005 BKN009 OVC013 02/02 A2976 RMK AO2
N03,2017-04-01 08:15,-76.2149,42.5926,35.60,35.60,100.00,0.00,0.00,0.00,29.77,M,4.00,M,SCT,OVC,M,M,500.00,800.00,M,M,-RA,KN03 010815Z AUTO 00000KT 4SM -RA SCT005 OVC008 02/02 A2977 RMK AO2
N03,2017-04-01 08:35,-76.2149,42.5926,35.60,35.60,100.00,0.00,0.00,0.00,29.77,M,7.00,M,SCT,OVC,M,M,400.00,1200.00,M,M,-SN,KN03 010835Z AUTO 00000KT 7SM -SN SCT004 OVC012 02/02 A2977 RMK AO2
N03,2017-04-01 08:55,-76.2149,42.5926,33.80,33.80,100.00,0.00,0.00,0.00,29.77,M,10.00,M,BKN,OVC,M,M,600.00,1400.00,M,M,-RA,KN03 010855Z AUTO 00000KT 10SM -RA BKN006 OVC014 01/01 A2977 RMK AO2
N03,2017-04-01 09:15,-76.2149,42.5926,33.80,33.80,100.00,0.00,0.00,0.00,29.78,M,10.00,M,SCT,BKN,OVC,M,800.00,1800.00,2800.00,M,M,KN03 010915Z AUTO 00000KT 10SM SCT008 BKN018 OVC028 01/01 A2978 RMK AO2
N03,2017-04-01 09:35,-76.2149,42.5926,33.80,33.80,100.00,0.00,0.00,0.00,29.79,M,10.00,M,BKN,BKN,OVC,M,1000.00,1800.00,2600.00,M,-SN,KN03 010935Z AUTO 00000KT 10SM -SN BKN010 BKN018 OVC026 01/01 A2979 RMK AO2
N03,2017-04-01 09:55,-76.2149,42.5926,33.80,33.80,100.00,0.00,0.00,0.00,29.80,M,10.00,M,SCT,BKN,OVC,M,800.00,1400.00,2500.00,M,-SN,KN03 010955Z AUTO 00000KT 10SM -SN SCT008 BKN014 OVC025 01/01 A2980 RMK AO2
N03,2017-04-01 10:15,-76.2149,42.5926,33.80,33.80,100.00,0.00,0.00,0.00,29.81,M,10.00,M,SCT,BKN,OVC,M,1400.00,2600.00,3500.00,M,-SN,KN03 011015Z AUTO 00000KT 10SM -SN SCT014 BKN026 OVC035 01/01 A2981 RMK AO2
N03,2017-04-01 10:35,-76.2149,42.5926,33.80,33.80,100.00,0.00,0.00,0.00,29.82,M,10.00,M,BKN,OVC,M,M,1600.00,2600.00,M,M,-RA,KN03 011035Z AUTO 00000KT 10SM -RA BKN016 OVC026 01/01 A2982 RMK AO2
N03,2017-04-01 10:55,-76.2149,42.5926,33.80,33.80,100.00,0.00,0.00,0.00,29.82,M,10.00,M,SCT,OVC,M,M,1100.00,1600.00,M,M,-RA,KN03 011055Z AUTO 00000KT 10SM -RA SCT011 OVC016 01/01 A2982 RMK AO2
N03,2017-04-01 11:15,-76.2149,42.5926,33.80,33.80,100.00,0.00,0.00,0.00,29.84,M,10.00,M,BKN,OVC,M,M,1500.00,2900.00,M,M,-RA,KN03 011115Z AUTO 00000KT 10SM -RA BKN015 OVC029 01/01 A2984 RMK AO2
N03,2017-04-01 11:35,-76.2149,42.5926,33.80,33.80,100.00,0.00,0.00,0.00,29.84,M,10.00,M,BKN,OVC,M,M,1500.00,2900.00,M,M,M,KN03 011135Z AUTO 00000KT 10SM BKN015 OVC029 01/01 A2984 RMK AO2
N03,2017-04-01 11:55,-76.2149,42.5926,35.60,35.60,100.00,0.00,0.00,0.00,29.85,M,10.00,M,BKN,BKN,OVC,M,1500.00,2200.00,2900.00,M,M,KN03 011155Z AUTO 00000KT 10SM BKN015 BKN022 OVC029 02/02 A2985 RMK AO2
N03,2017-04-01 12:15,-76.2149,42.5926,35.60,35.60,100.00,0.00,0.00,0.00,29.85,M,10.00,M,BKN,OVC,M,M,1500.00,2100.00,M,M,M,KN03 011215Z AUTO 00000KT 10SM BKN015 OVC021 02/02 A2985 RMK AO2
N03,2017-04-01 12:35,-76.2149,42.5926,35.60,35.60,100.00,0.00,0.00,0.00,29.86,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KN03 011235Z AUTO 00000KT 10SM OVC013 02/02 A2986 RMK AO2
N03,2017-04-01 12:55,-76.2149,42.5926,35.60,35.60,100.00,0.00,0.00,0.00,29.87,M,5.00,M,BKN,OVC,M,M,800.00,1100.00,M,M,BR,KN03 011255Z AUTO 00000KT 5SM BR BKN008 OVC011 02/02 A2987 RMK AO2
