#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
NBC,2017-04-01 00:56,-80.7232,32.4774,73.90,54.00,49.79,260.00,5.00,0.00,29.78,1008.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KNBC 010056Z AUTO 26005KT 10SM CLR 23/12 A2978 RMK AO2 SLP086 T02330122
NBC,2017-04-01 01:56,-80.7232,32.4774,71.10,54.00,54.73,260.00,5.00,0.00,29.81,1009.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KNBC 010156Z AUTO 26005KT 10SM CLR 22/12 A2981 RMK AO2 SLP096 T02170122
NBC,2017-04-01 02:56,-80.7232,32.4774,71.10,53.10,52.96,280.00,6.00,0.00,29.83,1010.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KNBC 010256Z AUTO 28006KT 10SM CLR 22/12 A2983 RMK AO2 SLP102 T02170117 51026
NBC,2017-04-01 03:56,-80.7232,32.4774,69.10,53.10,56.70,290.00,6.00,0.00,29.85,1010.90,10.00,M,CLR,M,M,M,M,M,M,M,M,KNBC 010356Z AUTO 29006KT 10SM CLR 21/12 A2985 RMK AO2 SLP109 T02060117
NBC,2017-04-01 04:56,-80.7232,32.4774,66.90,53.10,61.16,260.00,4.00,0.00,29.87,1011.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KNBC 010456Z AUTO 26004KT 10SM CLR 19/12 A2987 RMK AO2 SLP116 T01940117 403000189
NBC,2017-04-01 05:56,-80.7232,32.4774,64.90,52.00,62.96,290.00,5.00,0.00,29.88,1011.90,10.00,M,CLR,M,M,M,M,M,M,M,M,KNBC 010556Z AUTO 29005KT 10SM CLR 18/11 A2988 RMK AO2 SLP119 T01830111 10250 20167 51018
NBC,2017-04-01 06:56,-80.7232,32.4774,64.00,51.10,62.85,280.00,4.00,0.00,29.89,1012.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KNBC 010656Z AUTO 28004KT 10SM CLR 18/11 A2989 RMK AO2 SLP122 T01780106
NBC,2017-04-01 07:56,-80.7232,32.4774,61.00,51.10,69.86,270.00,5.00,0.00,29.90,1012.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KNBC 010756Z AUTO 27005KT 10SM CLR 16/11 A2990 RMK AO2 SLP126 T01610106
NBC,2017-04-01 08:56,-80.7232,32.4774,59.00,50.00,72.01,280.00,4.00,0.00,29.92,1013.00,10.00,M,CLR,M,M,M,M,M,M,M,M,KNBC 010856Z AUTO 28004KT 10SM CLR 15/10 A2992 RMK AO2 SLP130 T01500100 53011
NBC,2017-04-01 09:56,-80.7232,32.4774,57.90,50.00,74.91,280.00,4.00,0.00,29.93,1013.50,10.00,M,CLR,M,M,M,M,M,M,M,M,KNBC 010956Z AUTO 28004KT 10SM CLR 14/10 A2993 RMK AO2 SLP135 T01440100 $
NBC,2017-04-01 10:56,-80.7232,32.4774,54.00,48.90,82.82,250.00,4.00,0.00,29.96,1014.40,10.00,M,CLR,M,M,M,M,M,M,M,M,KNBC 011056Z AUTO 25004KT 10SM CLR 12/09 A2996 RMK AO2 SLP144 T01220094 $
NBC,2017-04-01 11:56,-80.7232,32.4774,55.90,52.00,86.71,250.00,3.00,0.00,29.98,1015.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KNBC 011156Z AUTO 25003KT 10SM CLR 13/11 A2998 RMK AO2 SLP153 T01330111 10183 20117 53022 $
NBC,2017-04-01 12:56,-80.7232,32.4774,64.00,52.00,64.97,300.00,5.00,0.00,30.00,1015.90,10.00,M,CLR,M,M,M,M,M,M,M,M,KNBC 011256Z AUTO 30005KT 10SM CLR 18/11 A3000 RMK AO2 SLP159 T01780111 $
