#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
NKT,2017-04-01 00:54,-76.8800,34.9000,68.00,63.00,84.03,210.00,12.00,0.00,29.68,1004.70,7.00,M,FEW,BKN,M,M,8000.00,9500.00,M,M,M,KNKT 010054Z 21012KT 7SM FEW080 BKN095 20/17 A2968 RMK PK WND 2026/2358 SLP047 T02000172
NKT,2017-04-01 01:54,-76.8800,34.9000,66.90,62.10,84.56,220.00,12.00,0.00,29.68,1004.70,7.00,20.00,SCT,M,M,M,10000.00,M,M,M,M,KNKT 010154Z 22012G20KT 7SM SCT100 19/17 A2968 RMK SLP047 T01940167
NKT,2017-04-01 02:54,-76.8800,34.9000,64.90,61.00,87.18,260.00,11.00,0.00,29.71,1005.80,7.00,M,FEW,FEW,M,M,7000.00,9500.00,M,M,M,KNKT 010254Z 26011KT 7SM FEW070 FEW095 18/16 A2971 RMK SLP058 T01830161 53016
NKT,2017-04-01 03:54,-76.8800,34.9000,66.00,55.90,69.88,300.00,11.00,0.00,29.75,1007.00,7.00,M,FEW,M,M,M,4200.00,M,M,M,M,KNKT 010354Z 30011KT 7SM FEW042 19/13 A2975 RMK SLP070 T01890133
NKT,2017-04-01 04:54,-76.8800,34.9000,64.00,52.00,64.97,290.00,8.00,0.00,29.76,1007.60,7.00,M,CLR,M,M,M,M,M,M,M,M,KNKT 010454Z 29008KT 7SM CLR 18/11 A2976 RMK SLP076 T01780111
NKT,2017-04-01 06:54,-76.8800,34.9000,59.00,48.90,69.12,280.00,8.00,0.00,29.78,1007.90,7.00,M,CLR,M,M,M,M,M,M,M,M,KNKT 010654Z 28008KT 7SM CLR 15/09 A2978 RMK SLP079 T01500094
NKT,2017-04-01 07:54,-76.8800,34.9000,57.00,46.90,68.90,280.00,6.00,0.00,29.77,1007.80,7.00,M,CLR,M,M,M,M,M,M,M,M,KNKT 010754Z 28006KT 7SM SKC 14/08 A2977 RMK SLP078 T01390083
NKT,2017-04-01 08:54,-76.8800,34.9000,55.00,46.00,71.60,270.00,7.00,0.00,29.80,1008.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KNKT 010854Z AUTO 27007KT 10SM CLR 13/08 A2980 RMK AO2 SLP086 T01280078 53007
NKT,2017-04-01 10:54,-76.8800,34.9000,54.00,45.00,71.50,270.00,9.00,0.00,29.86,1010.80,7.00,M,CLR,M,M,M,M,M,M,M,M,KNKT 011054Z 27009KT 7SM SKC 12/07 A2986 RMK SLP108 T01220072
NKT,2017-04-01 11:54,-76.8800,34.9000,55.90,46.00,69.30,270.00,7.00,0.00,29.88,1011.60,7.00,M,CLR,M,M,M,M,M,M,M,M,KNKT 011154Z 27007KT 7SM SKC 13/08 A2988 RMK SLP116 70051 T01330078 10167 20122 51030
