#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
OLU,2017-04-01 00:00,-97.3426,41.4480,M,M,M,40.00,7.00,M,30.04,M,10.00,M,OVC,M,M,M,3999.00,M,M,M,M,KOLU 010000Z AUTO 04007KT 10SM OVC039 A3004 RMK MADISHF
OLU,2017-04-01 00:05,-97.3426,41.4480,M,M,M,40.00,6.00,M,30.04,M,10.00,M,OVC,M,M,M,3999.00,M,M,M,M,KOLU 010005Z AUTO 04006KT 10SM OVC039 A3004 RMK MADISHF
OLU,2017-04-01 00:10,-97.3426,41.4480,M,M,M,40.00,6.00,M,30.04,M,10.00,M,OVC,M,M,M,3999.00,M,M,M,M,KOLU 010010Z AUTO 04006KT 10SM OVC039 A3004 RMK MADISHF
OLU,2017-04-01 00:15,-97.3426,41.4480,50.00,37.40,61.76,30.00,6.00,0.00,30.05,M,10.00,M,OVC,M,M,M,4000.00,M,M,M,M,KOLU 010015Z AUTO 03006KT 10SM OVC040 10/03 A3005 RMK AO2 RVRNO
OLU,2017-04-01 00:20,-97.3426,41.4480,M,M,M,30.00,6.00,M,30.05,M,10.00,M,OVC,M,M,M,3999.00,M,M,M,M,KOLU 010020Z AUTO 03006KT 10SM OVC039 A3005 RMK MADISHF
OLU,2017-04-01 00:25,-97.3426,41.4480,M,M,M,30.00,7.00,M,30.05,M,10.00,M,OVC,M,M,M,3999.00,M,M,M,M,KOLU 010025Z AUTO 03007KT 10SM OVC039 A3005 RMK MADISHF
OLU,2017-04-01 00:30,-97.3426,41.4480,M,M,M,30.00,7.00,M,30.05,M,10.00,M,OVC,M,M,M,3999.00,M,M,M,M,KOLU 010030Z AUTO 03007KT 10SM OVC039 A3005 RMK MADISHF
OLU,2017-04-01 00:35,-97.3426,41.4480,50.00,37.40,61.76,20.00,8.00,0.00,30.05,M,10.00,M,OVC,M,M,M,4000.00,M,M,M,M,KOLU 010035Z AUTO 02008KT 10SM OVC040 10/03 A3005 RMK AO2 RVRNO
OLU,2017-04-01 00:40,-97.3426,41.4480,M,M,M,20.00,7.00,M,30.06,M,10.00,M,OVC,M,M,M,3999.00,M,M,M,M,KOLU 010040Z AUTO 02007KT 10SM OVC039 A3006 RMK MADISHF
OLU,2017-04-01 00:45,-97.3426,41.4480,M,M,M,30.00,6.00,M,30.06,M,10.00,M,OVC,M,M,M,3999.00,M,M,M,M,KOLU 010045Z AUTO 03006KT 10SM OVC039 A3006 RMK MADISHF
OLU,2017-04-01 00:50,-97.3426,41.4480,M,M,M,30.00,4.00,M,30.06,M,10.00,M,OVC,M,M,M,3999.00,M,M,M,M,KOLU 010050Z AUTO 03004KT 10SM OVC039 A3006 RMK MADISHF
OLU,2017-04-01 00:55,-97.3426,41.4480,48.20,37.40,66.05,30.00,4.00,0.00,30.06,M,10.00,M,OVC,M,M,M,4000.00,M,M,M,M,KOLU 010055Z AUTO 03004KT 10SM OVC040 09/03 A3006 RMK AO2 RVRNO
OLU,2017-04-01 01:00,-97.3426,41.4480,M,M,M,0.00,0.00,M,30.06,M,10.00,M,OVC,M,M,M,3999.00,M,M,M,M,KOLU 010100Z AUTO 00000KT 10SM OVC039 A3006 RMK MADISHF
OLU,2017-04-01 01:05,-97.3426,41.4480,M,M,M,0.00,0.00,M,30.06,M,10.00,M,OVC,M,M,M,3999.00,M,M,M,M,KOLU 010105Z AUTO 00000KT 10SM OVC039 A3006 RMK MADISHF
OLU,2017-04-01 01:10,-97.3426,41.4480,M,M,M,0.00,0.00,M,30.06,M,10.00,M,BKN,M,M,M,3999.00,M,M,M,M,KOLU 010110Z AUTO 00000KT 10SM BKN039 A3006 RMK MADISHF
OLU,2017-04-01 01:15,-97.3426,41.4480,48.20,37.40,66.05,40.00,3.00,0.00,30.06,M,10.00,M,BKN,M,M,M,4000.00,M,M,M,M,KOLU 010115Z AUTO 04003KT 10SM BKN040 09/03 A3006 RMK AO2 RVRNO
OLU,2017-04-01 01:20,-97.3426,41.4480,M,M,M,40.00,5.00,M,30.06,M,10.00,M,SCT,M,M,M,3999.00,M,M,M,M,KOLU 010120Z AUTO 04005KT 10SM SCT039 A3006 RMK MADISHF
OLU,2017-04-01 01:25,-97.3426,41.4480,M,M,M,40.00,5.00,M,30.05,M,10.00,M,SCT,M,M,M,3999.00,M,M,M,M,KOLU 010125Z AUTO 04005KT 10SM SCT039 A3005 RMK MADISHF
OLU,2017-04-01 01:30,-97.3426,41.4480,M,M,M,30.00,5.00,M,30.05,M,10.00,M,FEW,M,M,M,3999.00,M,M,M,M,KOLU 010130Z AUTO 03005KT 10SM FEW039 A3005 RMK MADISHF
OLU,2017-04-01 01:35,-97.3426,41.4480,44.60,35.60,70.48,40.00,4.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOLU 010135Z AUTO 04004KT 10SM CLR 07/02 A3005 RMK AO2 RVRNO
OLU,2017-04-01 01:40,-97.3426,41.4480,M,M,M,0.00,0.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOLU 010140Z AUTO 00000KT 10SM CLR A3006 RMK MADISHF
OLU,2017-04-01 01:45,-97.3426,41.4480,M,M,M,0.00,0.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOLU 010145Z AUTO 00000KT 10SM CLR A3006 RMK MADISHF
OLU,2017-04-01 01:50,-97.3426,41.4480,M,M,M,0.00,0.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOLU 010150Z AUTO 00000KT 10SM CLR A3006 RMK MADISHF
OLU,2017-04-01 01:55,-97.3426,41.4480,44.60,35.60,70.48,0.00,0.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOLU 010155Z AUTO 00000KT 10SM CLR 07/02 A3006 RMK AO2 RVRNO
OLU,2017-04-01 02:00,-97.3426,41.4480,M,M,M,0.00,0.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOLU 010200Z AUTO 00000KT 10SM CLR A3006 RMK MADISHF
