#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
OTM,2017-04-01 00:00,-92.4446,41.1008,M,M,M,30.00,9.00,M,30.03,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010000Z AUTO 03009KT 10SM OVC016 A3003 RMK MADISHF
OTM,2017-04-01 00:05,-92.4446,41.1008,M,M,M,10.00,6.00,M,30.04,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010005Z AUTO 01006KT 10SM OVC016 A3004 RMK MADISHF
OTM,2017-04-01 00:10,-92.4446,41.1008,M,M,M,360.00,7.00,M,30.04,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010010Z AUTO 36007KT 10SM OVC016 A3004 RMK MADISHF
OTM,2017-04-01 00:15,-92.4446,41.1008,M,M,M,10.00,7.00,M,30.04,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010015Z AUTO 01007KT 10SM OVC016 A3004 RMK MADISHF
OTM,2017-04-01 00:30,-92.4446,41.1008,M,M,M,10.00,6.00,M,30.04,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010030Z AUTO 01006KT 10SM OVC016 A3004 RMK MADISHF
OTM,2017-04-01 00:35,-92.4446,41.1008,M,M,M,360.00,7.00,M,30.05,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010035Z AUTO 36007KT 10SM OVC016 A3005 RMK MADISHF
OTM,2017-04-01 00:40,-92.4446,41.1008,M,M,M,360.00,7.00,M,30.05,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010040Z AUTO 36007KT 10SM OVC016 A3005 RMK MADISHF
OTM,2017-04-01 00:45,-92.4446,41.1008,M,M,M,10.00,8.00,M,30.06,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010045Z AUTO 01008KT 10SM OVC016 A3006 RMK MADISHF
OTM,2017-04-01 00:50,-92.4446,41.1008,M,M,M,30.00,8.00,M,30.06,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010050Z AUTO 03008KT 10SM OVC016 A3006 RMK MADISHF
OTM,2017-04-01 00:53,-92.4446,41.1008,43.00,37.00,79.19,10.00,6.00,0.00,30.07,1018.60,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,KOTM 010053Z AUTO 01006KT 10SM OVC017 06/03 A3007 RMK AO2 SLP186 T00610028
OTM,2017-04-01 00:55,-92.4446,41.1008,M,M,M,10.00,8.00,M,30.07,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010055Z AUTO 01008KT 10SM OVC016 A3007 RMK MADISHF
OTM,2017-04-01 01:00,-92.4446,41.1008,M,M,M,10.00,8.00,M,30.07,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010100Z AUTO 01008KT 10SM OVC016 A3007 RMK MADISHF
OTM,2017-04-01 01:15,-92.4446,41.1008,M,M,M,360.00,6.00,M,30.08,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010115Z AUTO 36006KT 10SM OVC016 A3008 RMK MADISHF
OTM,2017-04-01 01:20,-92.4446,41.1008,M,M,M,360.00,6.00,M,30.08,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010120Z AUTO 36006KT 10SM OVC016 A3008 RMK MADISHF
OTM,2017-04-01 01:25,-92.4446,41.1008,M,M,M,360.00,8.00,M,30.07,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010125Z AUTO 36008KT 10SM OVC016 A3007 RMK MADISHF
OTM,2017-04-01 01:30,-92.4446,41.1008,M,M,M,10.00,8.00,M,30.08,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010130Z AUTO 01008KT 10SM OVC016 A3008 RMK MADISHF
OTM,2017-04-01 01:35,-92.4446,41.1008,M,M,M,20.00,6.00,M,30.08,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010135Z AUTO 02006KT 10SM OVC016 A3008 RMK MADISHF
OTM,2017-04-01 01:40,-92.4446,41.1008,M,M,M,10.00,5.00,M,30.09,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010140Z AUTO 01005KT 10SM OVC016 A3009 RMK MADISHF
OTM,2017-04-01 01:50,-92.4446,41.1008,M,M,M,30.00,6.00,M,30.08,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010150Z AUTO 03006KT 10SM OVC016 A3008 RMK MADISHF
OTM,2017-04-01 01:53,-92.4446,41.1008,43.00,37.90,82.04,30.00,6.00,0.00,30.08,1019.20,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,KOTM 010153Z AUTO 03006KT 10SM OVC017 06/03 A3008 RMK AO2 SLP192 T00610033
OTM,2017-04-01 01:55,-92.4446,41.1008,M,M,M,30.00,5.00,M,30.08,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010155Z AUTO 03005KT 10SM OVC016 A3008 RMK MADISHF
OTM,2017-04-01 02:00,-92.4446,41.1008,M,M,M,20.00,5.00,M,30.08,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010200Z AUTO 02005KT 10SM OVC016 A3008 RMK MADISHF
OTM,2017-04-01 02:05,-92.4446,41.1008,M,M,M,30.00,7.00,M,30.09,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010205Z AUTO 03007KT 10SM OVC016 A3009 RMK MADISHF
OTM,2017-04-01 02:10,-92.4446,41.1008,M,M,M,10.00,7.00,M,30.09,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010210Z AUTO 01007KT 10SM OVC016 A3009 RMK MADISHF
OTM,2017-04-01 02:15,-92.4446,41.1008,M,M,M,20.00,8.00,M,30.08,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010215Z AUTO 02008KT 10SM OVC016 A3008 RMK MADISHF
OTM,2017-04-01 02:30,-92.4446,41.1008,M,M,M,50.00,6.00,M,30.10,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010230Z AUTO 05006KT 10SM OVC016 A3010 RMK MADISHF
OTM,2017-04-01 02:35,-92.4446,41.1008,M,M,M,30.00,7.00,M,30.11,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KOTM 010235Z AUTO 03007KT 10SM OVC016 A3011 RMK MADISHF
OTM,2017-04-01 02:40,-92.4446,41.1008,M,M,M,30.00,4.00,M,30.11,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOTM 010240Z AUTO 03004KT 10SM OVC018 A3011 RMK MADISHF
OTM,2017-04-01 02:45,-92.4446,41.1008,M,M,M,30.00,5.00,M,30.11,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOTM 010245Z AUTO 03005KT 10SM OVC018 A3011 RMK MADISHF
OTM,2017-04-01 02:50,-92.4446,41.1008,M,M,M,30.00,6.00,M,30.10,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOTM 010250Z AUTO 03006KT 10SM OVC018 A3010 RMK MADISHF
OTM,2017-04-01 02:53,-92.4446,41.1008,43.00,37.00,79.19,30.00,8.00,0.00,30.10,1019.90,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOTM 010253Z AUTO 03008KT 10SM OVC018 06/03 A3010 RMK AO2 SLP199 T00610028 51026
OTM,2017-04-01 03:00,-92.4446,41.1008,M,M,M,40.00,7.00,M,30.10,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOTM 010300Z AUTO 04007KT 10SM OVC018 A3010 RMK MADISHF
OTM,2017-04-01 03:05,-92.4446,41.1008,M,M,M,30.00,7.00,M,30.10,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOTM 010305Z AUTO 03007KT 10SM OVC018 A3010 RMK MADISHF
OTM,2017-04-01 03:10,-92.4446,41.1008,M,M,M,30.00,8.00,M,30.11,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOTM 010310Z AUTO 03008KT 10SM OVC018 A3011 RMK MADISHF
OTM,2017-04-01 03:15,-92.4446,41.1008,M,M,M,40.00,8.00,M,30.11,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOTM 010315Z AUTO 04008KT 10SM OVC018 A3011 RMK MADISHF
OTM,2017-04-01 03:20,-92.4446,41.1008,M,M,M,40.00,6.00,M,30.11,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOTM 010320Z AUTO 04006KT 10SM OVC018 A3011 RMK MADISHF
OTM,2017-04-01 03:25,-92.4446,41.1008,M,M,M,40.00,4.00,M,30.11,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOTM 010325Z AUTO 04004KT 10SM OVC018 A3011 RMK MADISHF
OTM,2017-04-01 03:30,-92.4446,41.1008,M,M,M,10.00,3.00,M,30.11,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KOTM 010330Z AUTO 01003KT 10SM OVC019 A3011 RMK MADISHF
OTM,2017-04-01 03:50,-92.4446,41.1008,M,M,M,40.00,3.00,M,30.11,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KOTM 010350Z AUTO 04003KT 10SM OVC019 A3011 RMK MADISHF
OTM,2017-04-01 03:53,-92.4446,41.1008,43.00,37.00,79.19,30.00,4.00,0.00,30.11,1020.20,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KOTM 010353Z AUTO 03004KT 10SM OVC019 06/03 A3011 RMK AO2 SLP202 T00610028
OTM,2017-04-01 03:55,-92.4446,41.1008,M,M,M,40.00,5.00,M,30.11,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KOTM 010355Z AUTO 04005KT 10SM OVC019 A3011 RMK MADISHF
OTM,2017-04-01 04:00,-92.4446,41.1008,M,M,M,30.00,5.00,M,30.11,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KOTM 010400Z AUTO 03005KT 10SM OVC019 A3011 RMK MADISHF
OTM,2017-04-01 04:05,-92.4446,41.1008,M,M,M,40.00,6.00,M,30.12,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KOTM 010405Z AUTO 04006KT 10SM OVC019 A3012 RMK MADISHF
OTM,2017-04-01 04:15,-92.4446,41.1008,M,M,M,50.00,5.00,M,30.11,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOTM 010415Z AUTO 05005KT 10SM OVC018 A3011 RMK MADISHF
OTM,2017-04-01 04:20,-92.4446,41.1008,M,M,M,50.00,7.00,M,30.11,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOTM 010420Z AUTO 05007KT 10SM OVC018 A3011 RMK MADISHF
OTM,2017-04-01 04:25,-92.4446,41.1008,M,M,M,50.00,5.00,M,30.11,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOTM 010425Z AUTO 05005KT 10SM OVC018 A3011 RMK MADISHF
OTM,2017-04-01 04:30,-92.4446,41.1008,M,M,M,50.00,6.00,M,30.11,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOTM 010430Z AUTO 05006KT 10SM OVC018 A3011 RMK MADISHF
OTM,2017-04-01 04:35,-92.4446,41.1008,M,M,M,50.00,5.00,M,30.11,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KOTM 010435Z AUTO 05005KT 10SM OVC019 A3011 RMK MADISHF
OTM,2017-04-01 04:40,-92.4446,41.1008,M,M,M,60.00,5.00,M,30.11,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KOTM 010440Z AUTO 06005KT 10SM OVC019 A3011 RMK MADISHF
OTM,2017-04-01 04:45,-92.4446,41.1008,M,M,M,70.00,4.00,M,30.11,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KOTM 010445Z AUTO 07004KT 10SM OVC019 A3011 RMK MADISHF
OTM,2017-04-01 04:50,-92.4446,41.1008,M,M,M,50.00,3.00,M,30.11,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,KOTM 010450Z AUTO 05003KT 10SM OVC019 A3011 RMK MADISHF
OTM,2017-04-01 04:53,-92.4446,41.1008,42.10,37.00,81.98,50.00,3.00,0.00,30.11,1020.10,10.00,M,BKN,M,M,M,2000.00,M,M,M,M,KOTM 010453Z AUTO 05003KT 10SM BKN020 06/03 A3011 RMK AO2 SLP201 T00560028
OTM,2017-04-01 05:00,-92.4446,41.1008,M,M,M,0.00,0.00,M,30.10,M,10.00,M,SCT,M,M,M,1999.00,M,M,M,M,KOTM 010500Z AUTO 00000KT 10SM SCT019 A3010 RMK MADISHF
OTM,2017-04-01 05:05,-92.4446,41.1008,M,M,M,0.00,0.00,M,30.12,M,10.00,M,SCT,M,M,M,1999.00,M,M,M,M,KOTM 010505Z AUTO 00000KT 10SM SCT019 A3012 RMK MADISHF
OTM,2017-04-01 05:06,-92.4446,41.1008,41.00,36.00,82.22,0.00,0.00,0.00,30.12,M,10.00,M,SCT,M,M,M,2000.00,M,M,M,M,KOTM 010506Z AUTO 00000KT 10SM SCT020 05/02 A3012 RMK AO2 T00500022
OTM,2017-04-01 05:10,-92.4446,41.1008,M,M,M,0.00,0.00,M,30.12,M,10.00,M,FEW,M,M,M,1999.00,M,M,M,M,KOTM 010510Z AUTO 00000KT 10SM FEW019 A3012 RMK MADISHF
OTM,2017-04-01 05:15,-92.4446,41.1008,M,M,M,0.00,0.00,M,30.13,M,10.00,M,FEW,M,M,M,1999.00,M,M,M,M,KOTM 010515Z AUTO 00000KT 10SM FEW019 A3013 RMK MADISHF
OTM,2017-04-01 05:20,-92.4446,41.1008,M,M,M,0.00,0.00,M,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOTM 010520Z AUTO 00000KT 10SM CLR A3013 RMK MADISHF
OTM,2017-04-01 05:25,-92.4446,41.1008,M,M,M,0.00,0.00,M,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOTM 010525Z AUTO 00000KT 10SM CLR A3013 RMK MADISHF
OTM,2017-04-01 05:30,-92.4446,41.1008,M,M,M,0.00,0.00,M,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOTM 010530Z AUTO 00000KT 10SM CLR A3013 RMK MADISHF
OTM,2017-04-01 05:35,-92.4446,41.1008,M,M,M,0.00,0.00,M,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOTM 010535Z AUTO 00000KT 10SM CLR A3013 RMK MADISHF
OTM,2017-04-01 05:40,-92.4446,41.1008,M,M,M,0.00,0.00,M,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOTM 010540Z AUTO 00000KT 10SM CLR A3013 RMK MADISHF
OTM,2017-04-01 05:45,-92.4446,41.1008,M,M,M,0.00,0.00,M,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOTM 010545Z AUTO 00000KT 10SM CLR A3013 RMK MADISHF
OTM,2017-04-01 05:50,-92.4446,41.1008,M,M,M,0.00,0.00,M,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOTM 010550Z AUTO 00000KT 10SM CLR A3013 RMK MADISHF
OTM,2017-04-01 05:53,-92.4446,41.1008,39.00,37.00,92.45,0.00,0.00,0.00,30.14,1020.90,10.00,M,CLR,M,M,M,M,M,M,M,M,KOTM 010553Z AUTO 00000KT 10SM CLR 04/03 A3014 RMK AO2 SLP209 T00390028 10061 20017 400610017 53010
OTM,2017-04-01 05:55,-92.4446,41.1008,M,M,M,0.00,0.00,M,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOTM 010555Z AUTO 00000KT 10SM CLR A3014 RMK MADISHF
