#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
OVS,2017-04-01 00:00,-90.6775,43.1561,M,M,M,220.00,3.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010000Z AUTO 22003KT 10SM CLR A3002 RMK MADISHF
OVS,2017-04-01 00:05,-90.6775,43.1561,M,M,M,230.00,4.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010005Z AUTO 23004KT 10SM CLR A3002 RMK MADISHF
OVS,2017-04-01 00:10,-90.6775,43.1561,M,M,M,220.00,4.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010010Z AUTO 22004KT 10SM CLR A3002 RMK MADISHF
OVS,2017-04-01 00:15,-90.6775,43.1561,M,M,M,220.00,6.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010015Z AUTO 22006KT 10SM CLR A3002 RMK MADISHF
OVS,2017-04-01 00:20,-90.6775,43.1561,M,M,M,230.00,5.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010020Z AUTO 23005KT 10SM CLR A3002 RMK MADISHF
OVS,2017-04-01 00:25,-90.6775,43.1561,M,M,M,220.00,5.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010025Z AUTO 22005KT 10SM CLR A3003 RMK MADISHF
OVS,2017-04-01 00:30,-90.6775,43.1561,M,M,M,220.00,5.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010030Z AUTO 22005KT 10SM CLR A3003 RMK MADISHF
OVS,2017-04-01 00:35,-90.6775,43.1561,M,M,M,210.00,4.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010035Z AUTO 21004KT 10SM CLR A3002 RMK MADISHF
OVS,2017-04-01 00:40,-90.6775,43.1561,M,M,M,200.00,4.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010040Z AUTO 20004KT 10SM CLR A3002 RMK MADISHF
OVS,2017-04-01 00:45,-90.6775,43.1561,M,M,M,220.00,4.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010045Z AUTO 22004KT 10SM CLR A3003 RMK MADISHF
OVS,2017-04-01 00:50,-90.6775,43.1561,M,M,M,190.00,4.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010050Z AUTO 19004KT 10SM CLR A3002 RMK MADISHF
OVS,2017-04-01 00:53,-90.6775,43.1561,45.00,34.00,65.13,190.00,3.00,0.00,30.02,1017.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010053Z AUTO 19003KT 10SM CLR 07/01 A3002 RMK AO2 SLP172 T00720011
OVS,2017-04-01 00:55,-90.6775,43.1561,M,M,M,190.00,3.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010055Z AUTO 19003KT 10SM CLR A3002 RMK MADISHF
OVS,2017-04-01 01:00,-90.6775,43.1561,M,M,M,0.00,0.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010100Z AUTO 00000KT 10SM CLR A3002 RMK MADISHF
OVS,2017-04-01 01:05,-90.6775,43.1561,M,M,M,0.00,0.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010105Z AUTO 00000KT 10SM CLR A3002 RMK MADISHF
OVS,2017-04-01 01:10,-90.6775,43.1561,M,M,M,0.00,0.00,M,30.03,M,6.00,M,CLR,M,M,M,M,M,M,M,HZ,KOVS 010110Z AUTO 00000KT 6SM HZ CLR A3003 RMK MADISHF
OVS,2017-04-01 01:15,-90.6775,43.1561,M,M,M,260.00,3.00,M,30.04,M,6.00,M,CLR,M,M,M,M,M,M,M,HZ,KOVS 010115Z AUTO 26003KT 6SM HZ CLR A3004 RMK MADISHF
OVS,2017-04-01 01:20,-90.6775,43.1561,M,M,M,0.00,0.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010120Z AUTO 00000KT 10SM CLR A3004 RMK MADISHF
OVS,2017-04-01 01:25,-90.6775,43.1561,M,M,M,220.00,3.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010125Z AUTO 22003KT 10SM CLR A3004 RMK MADISHF
OVS,2017-04-01 01:30,-90.6775,43.1561,M,M,M,0.00,0.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010130Z AUTO 00000KT 10SM CLR A3003 RMK MADISHF
OVS,2017-04-01 01:35,-90.6775,43.1561,M,M,M,170.00,3.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010135Z AUTO 17003KT 10SM CLR A3003 RMK MADISHF
OVS,2017-04-01 01:40,-90.6775,43.1561,M,M,M,0.00,0.00,M,30.03,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010140Z AUTO 00000KT 9SM CLR A3003 RMK MADISHF
OVS,2017-04-01 01:45,-90.6775,43.1561,M,M,M,0.00,0.00,M,30.04,M,6.00,M,CLR,M,M,M,M,M,M,M,HZ,KOVS 010145Z AUTO 00000KT 6SM HZ CLR A3004 RMK MADISHF
OVS,2017-04-01 01:50,-90.6775,43.1561,M,M,M,220.00,3.00,M,30.04,M,5.00,M,CLR,M,M,M,M,M,M,M,HZ,KOVS 010150Z AUTO 22003KT 5SM HZ CLR A3004 RMK MADISHF
OVS,2017-04-01 01:53,-90.6775,43.1561,39.90,34.00,79.25,210.00,4.00,0.00,30.04,1017.90,5.00,M,CLR,M,M,M,M,M,M,M,HZ,KOVS 010153Z AUTO 21004KT 5SM HZ CLR 04/01 A3004 RMK AO2 SLP179 T00440011
OVS,2017-04-01 01:55,-90.6775,43.1561,M,M,M,230.00,3.00,M,30.04,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010155Z AUTO 23003KT 7SM CLR A3004 RMK MADISHF
OVS,2017-04-01 02:00,-90.6775,43.1561,M,M,M,0.00,0.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010200Z AUTO 00000KT 10SM CLR A3004 RMK MADISHF
OVS,2017-04-01 02:05,-90.6775,43.1561,M,M,M,0.00,0.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010205Z AUTO 00000KT 10SM CLR A3005 RMK MADISHF
OVS,2017-04-01 02:10,-90.6775,43.1561,M,M,M,200.00,3.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KOVS 010210Z AUTO 20003KT 10SM CLR A3005 RMK MADISHF
