#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
OZS,2017-04-01 00:15,-92.6912,37.9740,48.20,41.00,76.01,340.00,5.00,0.00,30.00,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOZS 010015Z AUTO 34005KT 10SM OVC018 09/05 A3000 RMK AO2
OZS,2017-04-01 00:35,-92.6912,37.9740,48.20,41.00,76.01,350.00,5.00,0.00,30.00,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOZS 010035Z AUTO 35005KT 10SM OVC018 09/05 A3000 RMK AO2
OZS,2017-04-01 00:55,-92.6912,37.9740,46.40,41.00,81.34,50.00,5.00,0.00,30.00,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOZS 010055Z AUTO 05005KT 10SM OVC018 08/05 A3000 RMK AO2
OZS,2017-04-01 01:15,-92.6912,37.9740,46.40,41.00,81.34,20.00,4.00,0.00,30.01,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOZS 010115Z AUTO 02004KT 10SM OVC018 08/05 A3001 RMK AO2
OZS,2017-04-01 01:35,-92.6912,37.9740,46.40,41.00,81.34,20.00,4.00,0.00,30.02,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOZS 010135Z AUTO 02004KT 10SM OVC018 08/05 A3002 RMK AO2
OZS,2017-04-01 01:55,-92.6912,37.9740,46.40,41.00,81.34,10.00,3.00,0.00,30.03,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOZS 010155Z AUTO 01003KT 10SM OVC018 08/05 A3003 RMK AO2
OZS,2017-04-01 02:15,-92.6912,37.9740,46.40,41.00,81.34,20.00,3.00,0.00,30.04,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KOZS 010215Z AUTO 02003KT 10SM OVC016 08/05 A3004 RMK AO2
OZS,2017-04-01 02:35,-92.6912,37.9740,46.40,41.00,81.34,60.00,4.00,0.00,30.05,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KOZS 010235Z AUTO 06004KT 10SM OVC016 08/05 A3005 RMK AO2
OZS,2017-04-01 02:55,-92.6912,37.9740,46.40,41.00,81.34,30.00,4.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KOZS 010255Z AUTO 03004KT 10SM OVC016 08/05 A3006 RMK AO2
OZS,2017-04-01 03:15,-92.6912,37.9740,46.40,41.00,81.34,60.00,4.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOZS 010315Z AUTO 06004KT 10SM OVC018 08/05 A3006 RMK AO2
OZS,2017-04-01 03:35,-92.6912,37.9740,46.40,41.00,81.34,60.00,4.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOZS 010335Z AUTO 06004KT 10SM OVC018 08/05 A3006 RMK AO2
OZS,2017-04-01 03:55,-92.6912,37.9740,46.40,41.00,81.34,40.00,3.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KOZS 010355Z AUTO 04003KT 10SM OVC018 08/05 A3006 RMK AO2
OZS,2017-04-01 04:15,-92.6912,37.9740,46.40,41.00,81.34,40.00,3.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KOZS 010415Z AUTO 04003KT 10SM OVC016 08/05 A3006 RMK AO2
OZS,2017-04-01 04:35,-92.6912,37.9740,46.40,41.00,81.34,50.00,5.00,0.00,30.07,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KOZS 010435Z AUTO 05005KT 10SM OVC016 08/05 A3007 RMK AO2
OZS,2017-04-01 04:55,-92.6912,37.9740,46.40,41.00,81.34,40.00,4.00,0.00,30.07,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KOZS 010455Z AUTO 04004KT 10SM OVC016 08/05 A3007 RMK AO2
